LeadID,DateFloated,EventDate,ClientName,EventType,GuestCount,PricePerGuestUSD,EstimatedRevenueUSD,Source,Status,Notes
L-0117,2025-03-04,2025-05-17,Meredith Alcorn,Wedding rehearsal dinner,30,22,660,Instagram DM,Completed,First fusion tourtiere order
L-0119,2025-03-22,2025-06-14,Portland Preservation Society,Fundraiser,55,22,1210,Lisa Chen,Completed,Repeat client
L-0124,2025-04-08,2025-07-19,Alcorn family,Birthday,25,15,375,Instagram DM,Completed,
L-0131,2025-05-11,2025-08-02,Beaverton Tech Coop,Company potluck,40,15,600,Lisa Chen,Completed,
L-0138,2025-06-06,2025-08-30,Kim family,Anniversary,20,22,440,Instagram DM,Completed,Sienna referral
L-0149,2025-07-14,2025-10-11,Cascadia Legal,Firm dinner,45,22,990,Lisa Chen,Completed,
L-0161,2025-08-30,2025-11-22,Vasquez wedding,Wedding,80,22,1760,Instagram DM,Completed,Yves' first 80 cover
L-0172,2025-10-17,2025-12-14,Ambervale Properties,Corporate holiday lunch,35,22,770,Lisa Chen,Completed,Repeat lead
L-0184,2026-01-19,2026-03-14,St. Johns Parish,Reception,60,15,900,Papa Luc referral,Completed,
L-0189,2026-02-04,2026-04-25,Doyle family,Graduation,50,22,1100,Patrick Doyle,Completed,Patrick's niece
L-0195,2026-03-11,2026-05-16,Cascade Public Library,Donor thank-you,65,22,1430,Lisa Chen,Completed,
L-0201,2026-04-08,2026-06-13,Wong-Ferreira wedding,Wedding,100,22,2200,Instagram DM,Completed,Biggest job to date at time of quote
L-0208,2026-05-14,2026-07-18,Pearl District Design,Studio open house,40,22,880,Lisa Chen,Completed,
L-0214,2026-06-22,2026-08-15,Reeves birthday,50th birthday,35,22,770,Instagram DM,Completed,
L-0221,2026-07-19,2026-09-19,Marston-Kim,Engagement,45,22,990,Sienna referral,Completed,
L-0227,2026-08-14,2026-10-24,Beaverton engagement,Engagement party,60,22,1320,Lisa Chen,Confirmed,Quoted in USER heartbeat
L-0231,2026-08-30,2026-11-13,Ambervale Properties,Corporate lunch,40,22,880,Lisa Chen,Confirmed,Repeat
L-0234,2026-09-11,2026-11-26,Home,US Thanksgiving,12,0,0,Family,Held,"Internal, no charge"
L-0238,2026-09-22,2026-12-12,Northeast Aviation,Corporate holiday party,120,22,2640,Lisa Chen,Confirmed,"Biggest to date, crew Emile Sienna Luc"
L-0241,2026-10-04,2026-12-31,Klein private dinner,Private NYE,14,45,630,Instagram DM,Pending decision,Yves is torn on this one
L-0244,2026-10-11,2027-03-06,Le Sirop Nordique,Sugar shack tasting event,55,22,1210,Instagram DM,Quoted,Maple sourcing tied to trip
L-0247,2026-10-19,2027-04-11,Bridgeport Vineyards,Spring wine club dinner,70,22,1540,Lisa Chen,Quoted,
L-0250,2026-11-02,2027-05-01,Casey-Nolan wedding,Wedding,90,22,1980,Instagram DM,Deposit received,Deposit 500 held
L-0253,2026-11-14,2027-05-30,Portland Design Week,Panel reception,80,22,1760,Lisa Chen,Quoted,
L-0256,2026-11-29,2027-06-12,Ambervale Properties,Summer corporate lunch,45,22,990,Lisa Chen,Confirmed,"Repeat client, deposit received"
L-0259,2026-12-08,2027-06-27,Hu-Wallace wedding,Wedding,110,22,2420,Instagram DM,Deposit received,
L-0261,2026-12-15,2027-07-04,Overland Homeowners,Independence Day catering,60,15,900,Lisa Chen,Quoted,
L-0264,2026-12-19,2027-07-18,Corridor Studios,Team offsite dinner,40,22,880,Lisa Chen,Floated,Lisa checking availability
L-0266,2026-12-27,2027-07-25,Marlow-Sato wedding,Wedding,95,22,2090,Instagram DM,Floated,Deposit not yet requested
L-0269,2027-01-08,2027-07-31,Cascade Public Library,Donor thank-you (annual),70,22,1540,Lisa Chen,Floated,IN TRIP WINDOW
L-0272,2027-01-14,2027-08-01,Lansdowne birthday,60th birthday,40,22,880,Instagram DM,Floated,"IN TRIP WINDOW, Yves not yet responded"
L-0273,2027-01-17,2027-08-02,Portland Preservation Society,Annual benefit,90,22,1980,Lisa Chen,Floated,"IN TRIP WINDOW, repeat client"
L-0275,2027-01-22,2027-08-08,Ferreira family,Anniversary dinner,30,22,660,Instagram DM,Floated,IN TRIP WINDOW
L-0277,2027-01-28,2027-08-14,Ambervale Properties,August corporate lunch,40,22,880,Lisa Chen,Floated,"IN TRIP WINDOW, repeat client"
L-0279,2027-02-04,2027-08-22,Wu-Silva wedding,Wedding,105,22,2310,Instagram DM,Quoted,"Outside trip window, just after"
L-0281,2027-02-11,2027-08-29,Cascade Legal (September?),TBD,55,22,1210,Lisa Chen,Floated,
L-0283,2027-02-19,2027-09-05,Overland Homeowners,Fall potluck,60,15,900,Lisa Chen,Floated,
L-0287,2027-03-01,2027-09-19,Kim-Alvarez wedding,Wedding,85,22,1870,Instagram DM,Floated,
L-0290,2027-03-14,2027-10-10,Ambervale Properties,October corporate lunch,40,22,880,Lisa Chen,Floated,Repeat client
L-0293,2027-03-22,2027-11-14,Meredith Alcorn,Second wedding,60,22,1320,Lisa Chen,Floated,Repeat client from 2025
L-0296,2027-04-04,2027-12-11,Northeast Aviation,Corporate holiday party,130,22,2860,Lisa Chen,Floated,"Repeat client, larger this year"
