ReferenceID,DateSent,FromEmail,Recipient,SourceCurrency,SourceAmount,TargetCurrency,TargetAmount,Purpose,Status
WIS-202401,2024-01-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.9,Family support -- monthly,Completed
WIS-202402,2024-02-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.8,Family support -- monthly,Completed
WIS-202403,2024-03-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.7,Family support -- monthly,Completed
WIS-202404,2024-04-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.6,Family support -- monthly,Completed
WIS-202405,2024-05-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.5,Family support -- monthly,Completed
WIS-202406,2024-06-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.4,Family support -- monthly,Completed
WIS-202407,2024-07-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.3,Family support -- monthly,Completed
WIS-202408,2024-08-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.2,Family support -- monthly,Completed
WIS-202409,2024-09-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.1,Family support -- monthly,Completed
WIS-202410,2024-10-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.0,Family support -- monthly,Completed
WIS-202411,2024-11-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,406.9,Family support -- monthly,Completed
WIS-202412,2024-12-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,406.8,Family support -- monthly,Completed
WIS-202501,2025-01-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.4,Family support -- monthly,Completed
WIS-202502,2025-02-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.3,Family support -- monthly,Completed
WIS-202503,2025-03-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.2,Family support -- monthly,Completed
WIS-202504,2025-04-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.1,Family support -- monthly,Completed
WIS-202505,2025-05-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.0,Family support -- monthly,Completed
WIS-202506,2025-06-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.9,Family support -- monthly,Completed
WIS-202507,2025-07-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.8,Family support -- monthly,Completed
WIS-202508,2025-08-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.7,Family support -- monthly,Completed
WIS-202509,2025-09-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.6,Family support -- monthly,Completed
WIS-202510,2025-10-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.5,Family support -- monthly,Completed
WIS-202511,2025-11-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.4,Family support -- monthly,Completed
WIS-202512,2025-12-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,407.3,Family support -- monthly,Completed
WIS-202601,2026-01-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.9,Family support -- monthly,Completed
WIS-202602,2026-02-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.8,Family support -- monthly,Completed
WIS-202603,2026-03-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.7,Family support -- monthly,Completed
WIS-202604,2026-04-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.6,Family support -- monthly,Completed
WIS-202605,2026-05-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.5,Family support -- monthly,Completed
WIS-202606,2026-06-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.4,Family support -- monthly,Completed
WIS-202607,2026-07-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.3,Family support -- monthly,Completed
WIS-202608,2026-08-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.2,Family support -- monthly,Completed
WIS-202609,2026-09-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.1,Family support -- monthly,Completed
WIS-202610,2026-10-15,yves.quinn@voissync.ai,Nathalie Quinn (Montreal),USD,300.0,CAD,408.0,Family support -- monthly,Completed
