date	purpose	origin	destination	miles	note
2026-01-05	Office	Home, 4127 Garrison Blvd	BCDSS, 1910 N Broadway	7.8	
2026-01-06	Field visit	BCDSS, 1910 N Broadway	NE district	11.2	safety assessment
2026-01-08	Court	BCDSS, 1910 N Broadway	Juvenile Court, 300 N Gay St	2.1	AM docket
2026-01-12	Office	Home, 4127 Garrison Blvd	BCDSS, 1910 N Broadway	7.8	
2026-01-13	Field visit	BCDSS, 1910 N Broadway	SW district	9.4	
2026-01-15	Court	BCDSS, 1910 N Broadway	Juvenile Court, 300 N Gay St	2.1	continuance
2026-01-20	Field visit	BCDSS, 1910 N Broadway	E district	6.7	school coordination
2026-01-22	Office	Home, 4127 Garrison Blvd	BCDSS, 1910 N Broadway	7.8	
2026-01-27	Court	BCDSS, 1910 N Broadway	Juvenile Court, 300 N Gay St	2.1	testimony, long day
2026-01-29	Field visit	BCDSS, 1910 N Broadway	NW district	5.3	
2026-02-03	Office	Home, 4127 Garrison Blvd	BCDSS, 1910 N Broadway	7.8	
2026-02-10	Court	BCDSS, 1910 N Broadway	Juvenile Court, 300 N Gay St	2.1	
2026-02-12	Field visit	BCDSS, 1910 N Broadway	SE district	8.9	
2026-02-19	Court	BCDSS, 1910 N Broadway	Juvenile Court, 300 N Gay St	2.1	
2026-02-24	Training prep	Home, 4127 Garrison Blvd	Community room	4.0	PRIDE cohort closeout
2026-02-27	Training	Home, 4127 Garrison Blvd	Community room	4.0	final session, graduation
