name	relationship	phone	email
Derek Chapman	Son	919-555-0214	derek.chapman.rdu@gmail.com
Jenna Chapman	Daughter-in-law	919-555-0215	jenna.chapman.design@gmail.com
Megan Chapman	Daughter	828-555-0187	megan.chapman.avl@gmail.com
Patsy Greenwood	Best friend	704-555-0422	patsy.greenwood.np@gmail.com
Linda Frazier	Coworker	704-555-0438	linda.frazier.rn@gmail.com
Donna Ostrander	Supervisor	704-555-0501	via hospital email
Pastor James Whitley	Church pastor	704-555-0560	via church office
Dr. Helen Woodard	Primary care	704-555-0601	via Lakemont portal
Dr. Anita Rajan	Rheumatologist	704-555-0620	via Charlotte Rheum portal
Dr. Beth Calloway	Endocrinologist	704-555-0635	via Piedmont Endocrine
Dr. Franklin Hu	Gastroenterologist	704-555-0650	via Carolina Digestive
Dr. Grace Tolliver	Therapist	704-555-0670	via Pinecrest Counseling
Dr. Mark Stafford	Dentist	704-555-0685	via Mint Hill Family Dental
Dr. Carolyn Jeffers	Eye doctor	704-555-0700	via Matthews Eye Assoc
Ray Pruitt	Handyman	704-555-0815	phone only
Beth Greenwood	Patsy sister	704-555-0425	n/a
