"applicant_id","full_name","applied_date","source","years_brewing_experience","prior_breweries","certifications","stage","recruiter_rating_1_5","greg_rating_1_5","larry_rating_1_5","availability_start","hourly_rate_expected","notes"
"BBC-APP-2026-2701","Jordan Mclaren","2026-08-12","Returning candidate (direct outreach by Greg)","6","Bates Brewing (2024 season, 2025 season); Black Mountain Brewing (2022–2023)","Siebel Institute basic brewing certificate, 2023","Offer Recommended","5","5","5","2026-11-02","$22.00","Returning seasonal — previously hired Nov 2024 and Nov 2025. Greg's top recommendation. Knows the brewhouse, knows the SOPs, requires zero ramp-up. Ready for opening day."
"BBC-APP-2026-2702","Naomi Bridgers","2026-08-15","Returning candidate (direct outreach)","4","Bates Brewing (2024 season, 2025 season); Hendersonville Brewing Collective (2023)","BJCP recognized judge, 2023","Offer Recommended","5","5","4","2026-11-02","$22.00","Returning seasonal — previously hired Nov 2024 and Nov 2025. Detail-oriented on sanitation cycles, strong on the bottling line."
"BBC-APP-2026-2703","Maya Chen","2026-08-22","Greenhouse — Brewers Association job board","5","Wicked Weed Brewing (2021–2025); homebrew prior","Cicerone Certified Beer Server, 2022; Siebel Institute, 2024","Offer Recommended","5","4","4","2026-11-02","$22.50","Strong on-site interview. Wants to learn the saison program. Open to staying on past season if a role opens."
"BBC-APP-2026-2704","Patrick Holloway","2026-08-19","Greg (referral, no relation)","3","Catawba Brewing (2023–2026); Highland Brewing intern (2022)","Cicerone Certified Beer Server, 2024","Offer Recommended","4","5","4","2026-11-02","$21.50","Quiet, careful, Greg-style work. Greg vouches. No relation to Greg despite shared surname."
"BBC-APP-2026-2705","Marcus Penley","2026-09-04","Greenhouse — Indeed","4","Smoky Mountain Beverage — currently employed as warehouse supervisor (NOT brewer role); Burial Beer (2022–2023)","None","Offer Recommended","4","3","3","2026-11-02","$22.00","CONFLICT OF INTEREST FLAGGED: Currently employed by Smoky Mountain Beverage, one of our wholesale distributors. Penley says role is warehouse-side not commercial. Greenhouse process moved him to Offer Recommended because his brewhouse skills check out, but the distributor relationship hazard has not been resolved. Needs Larry's call."
"BBC-APP-2026-2706","Ellen Sayers","2026-09-12","Greenhouse — Brewers Association job board","7","Wedge Brewing (2019–2024); New Belgium Asheville (2024–2026)","Siebel Institute advanced certificate, 2022; BJCP recognized judge","Offer Recommended","5","5","4","2026-11-16","$23.00","AVAILABILITY ISSUE: cannot start until November 16 (current employer notice period). Strong candidate on every other axis. Would miss opening week. Greg flagged whether the timing works."
"BBC-APP-2026-2707","Theo Aragon","2026-09-18","Greenhouse — Brewers Association job board","3","Green Man Brewery (2023–2026); homebrew prior","Cicerone Certified Beer Server, 2025","Offer Recommended","4","4","4","2026-11-02","$21.50","Solid on-site interview. Younger, energetic, learns fast. Greg comfortable with him on the mash side."
"BBC-APP-2026-2708","Lucia Romero","2026-09-22","Greenhouse — Brewers Association job board","2","Highland Brewing (2024–2026)","None","On-Site","4","4",,"2026-11-02","$21.50","On-site scheduled for Oct 9. Greg liked the phone screen."
"BBC-APP-2026-2709","Damon Webster","2026-09-15","Greenhouse — LinkedIn","5","Sierra Nevada Mills River (2020–2024); freelance contract brewing (2024–2026)","Siebel Institute basic certificate, 2021","On-Site","4",,,"2026-11-02","$22.00","On-site rescheduled to Oct 11. Strong on the cold side, weaker on the saison fermentation conversation."
"BBC-APP-2026-2710","Kenji Yamada","2026-09-08","Greenhouse — Brewers Association job board","4","Hi-Wire Brewing (2022–2026)","Cicerone Certified Beer Server, 2024","On-Site","4","4",,"2026-11-02","$22.00","On-site completed Oct 2. Awaiting Larry's read."
