First Name	Last Name	Email	Join Date	Last Visit Date	Visit Count (Total)	Loyalty Tier	Birthday/Nameday Month	Notes
Elaine	Morrison	elaine.morrison47@gmail.com	2019-10-12	2025-04-08	38	VIP	November	Snowbird from Ohio. Returns every October.
Harold	Patterson	hpatterson.fl@outlook.com	2020-11-03	2025-04-15	29	Gold	March	Retired, Dunedin. Visits twice monthly.
Maria	Angelopoulos	m.angelopoulos@aol.com	2018-09-22	2025-03-31	52	VIP	June	Greek-American local. Knows Aaron personally.
Theodore	Kimball	ted.kimball@gmail.com	2021-10-28	2025-04-21	18	Bronze	December	Snowbird from Michigan. First season at Alt 19 but started at Original.
Joan	Whitfield	joanwhit1951@yahoo.com	2019-11-14	2025-04-03	31	Gold	August	Comes with husband Richard every Saturday during season.
Richard	Whitfield	rwhitfield.golf@gmail.com	2019-11-14	2025-04-03	31	Gold	January	See Joan Whitfield.
Sophia	Constantinou	sconstantinou@hotmail.com	2022-01-08	2025-03-20	14	Bronze	September	Greek community member. Good tipper.
James	Harrington	jamesh.tarpon@gmail.com	2020-10-05	2025-04-18	24	Gold	April	Regular during snowbird season. Palm Harbor resident.
Patricia	Nolan	pnolan.fl@gmail.com	2021-11-19	2025-04-12	16	Bronze	October	Comes with her sister alternating weeks.
Barbara	Demetriou	barbara.demetriou@gmail.com	2018-10-31	2025-04-27	49	VIP	February	Local Greek community. Nameday-based greeting sent.
George	Karakostas	gkarakostas@comcast.net	2019-10-17	2025-04-19	33	Gold	July	Restaurant industry background. Appreciates the souvlaki quality.
Linda	Carmichael	linda.carmichael@gmail.com	2023-10-02	2025-04-01	11	Bronze	March	New snowbird this season. Added to list Oct 2023.
Constantine	Vasilakis	c.vasilakis@outlook.com	2018-11-05	2025-04-25	44	VIP	December (nameday Dec 21)	Long-standing VIP. Always requests same patio table.
Helen	Stavropoulos	h.stavropoulos@gmail.com	2020-10-22	2025-04-22	27	Gold	May	Close friend of Eleni. Aaron approved VIP upgrade request.
Nicholas	Andreou	nickandreou@yahoo.com	2021-10-14	2025-04-14	19	Bronze	November	Comes with wife Catherine.
Catherine	Andreou	cath.andreou@gmail.com	2021-10-14	2025-04-14	19	Bronze	April	See Nicholas Andreou.
Robert	Fenwick	rfenwick.naples@gmail.com	2019-11-07	2025-04-28	26	Gold	June	Snowbird from Naples. Drives up every other week.
Margaret	Fenwick	margaret.fenwick@gmail.com	2019-11-07	2025-04-28	26	Gold	September	See Robert Fenwick.
Anastasia	Papageorgiou	a.papageorgiou@gmail.com	2022-10-19	2025-04-05	13	Bronze	October	Greek community. Young family. Brings children.
Peter	Drakos	peterdrakos@aol.com	2020-10-27	2025-03-28	22	Gold	March	Tarpon Springs native. Enthusiastic about the wine list.
Karen	Sullivan	karen.sul52@gmail.com	2021-11-02	2025-04-10	17	Bronze	December	Snowbird from New York. Loves the baklava.
Michael	Stavros	mstavros.realty@gmail.com	2018-10-09	2025-04-17	41	VIP	January	Local business owner. Knows Aaron well.
Dimitra	Kanellopoulos	d.kanellopoulos@gmail.com	2019-11-18	2025-04-24	28	Gold	November (nameday Nov 2)	Greek-American regular. Nameday card sent.
Frank	Riccio	frankriccio@comcast.net	2023-10-11	2025-04-13	9	Bronze	July	New snowbird. Italian-American but loves Greek food.
Dorothy	Harrison	dorothy.h.harrison@gmail.com	2020-10-30	2025-04-06	21	Gold	August	Comes solo. Orders the same thing every visit: moussaka and Assyrtiko.
Elias	Papantoniou	e.papantoniou@gmail.com	2018-10-03	2025-04-30	55	VIP	July	Longest-running club member. Brought in by Aaron directly in 2018.
Susan	Kourtis	susan.kourtis@yahoo.com	2022-11-01	2025-04-02	12	Bronze	February	Local. Joined after the Greek Festival 2022.
Thomas	Callahan	tom.callahan.ts@gmail.com	2021-10-08	2025-04-20	20	Gold	March	Tarpon Springs Police retired. Very loyal. Always leaves good Yelp review.
Irene	Georgiou	irene.georgiou55@gmail.com	2019-10-25	2025-04-11	30	Gold	December (nameday Dec 5)	Greek-American. Comes with different family members each time.
William	Sanders	wsanders.clearwater@gmail.com	2020-11-10	2025-04-16	23	Gold	May	Snowbird from Chicago. Retired professor. Long conversations with Aaron about Greek history.
Exported by: Klaviyo / Mykonos Taverna Loyalty Program	Export Date: April 30, 2025	Segment: Snowbird Season Cohort (Active October 2024 through April 2025)	Total in segment: 30	VIP: 7 | Gold: 14 | Bronze: 9
