Date	Time	Reservation Name	Party Size	Table	Indoor/Patio	Occasion	Dietary Notes	Server Assigned	Seated	No-Show	Notes
04/01/2025	6:00 PM	Papadakis	4	T-12	Indoor	None	None	Okafor	Yes	No	-
04/01/2025	6:00 PM	Johnson	2	T-04	Indoor	Anniversary	None	Nikolaou	Yes	No	Brought own wine (corkage waived per Maria)
04/01/2025	6:30 PM	Thompson	6	T-08	Indoor	Birthday	Gluten-free x1	Reyes	Yes	No	GF pita substituted
04/01/2025	7:00 PM	Stavros	3	T-15	Indoor	None	None	Petrakis	Yes	No	Regular guests, know the menu well
04/01/2025	7:00 PM	Hernandez	5	T-21	Patio	None	Vegetarian x2	Mbeki	Yes	No	Noted vegetarian options
04/01/2025	7:30 PM	Karras	2	T-05	Indoor	Anniversary	None	Konstantinidis	Yes	No	10th anniversary - Maria arranged complimentary baklava
04/01/2025	8:00 PM	Wilson	8	T-18	Indoor	Birthday	Shellfish allergy x1	Okafor	Yes	No	Flagged to kitchen - no octopus near this table
04/01/2025	8:00 PM	Georgiou	4	T-14	Patio	None	None	Mbeki	Yes	No	-
04/02/2025	6:00 PM	Martinez	3	T-09	Indoor	None	Pescatarian x3	Nikolaou	Yes	No	Full pescatarian table
04/02/2025	6:30 PM	Patel	6	T-17	Indoor	Birthday	Vegetarian x2	Reyes	Yes	No	-
04/02/2025	7:00 PM	Economou	4	T-11	Indoor	None	None	Petrakis	Yes	No	Regular. Know Father Konstantinos - not related.
04/02/2025	7:30 PM	Nakamura	2	T-03	Indoor	None	None	Konstantinidis	Yes	No	First time at Alt 19
04/02/2025	8:00 PM	Vasquez	10	T-22	Indoor	Large Party	Gluten-free x1, vegetarian x1	Okafor + Reyes	Yes	No	Private corner table reserved - coordinated with Maria
04/03/2025	6:00 PM	Theodorakis	4	T-13	Indoor	None	None	Nikolaou	Yes	No	Same last name as composer - they always laugh about it
04/03/2025	7:00 PM	Andersen	2	T-06	Patio	Anniversary	None	Mbeki	Yes	No	Silver anniversary. Sent complimentary wine per Maria.
04/03/2025	7:30 PM	Papadimitriou	6	T-16	Indoor	None	None	Reyes	Yes	No	Family reunion subset
04/03/2025	8:00 PM	Lee	4	T-07	Indoor	None	Nut allergy x1	Petrakis	Yes	No	Baklava flagged - no walnut desserts
04/04/2025	6:30 PM	Michalopoulos	8	T-20	Indoor	Birthday	None	Okafor + Konstantinidis	Yes	No	Reserved back room area
04/04/2025	7:00 PM	Bennett	3	T-10	Indoor	None	Vegan x1 (Lent)	Nikolaou	Yes	No	Guest observing Orthodox Lent fast
04/04/2025	7:30 PM	Koukoulis	2	T-04	Indoor	None	None	Reyes	Yes	No	-
04/05/2025	12:30 PM	Santos	4	T-09	Indoor	None	None	Nikolaou	Yes	No	Sunday lunch - less common but accommodated
04/06/2025	6:00 PM	Petrakis	4	T-12	Indoor	None	None	Okafor	Yes	No	Same name as our expeditor - no relation
04/06/2025	6:30 PM	Morrison	2	T-05	Patio	None	Gluten-free x2	Mbeki	Yes	No	Full GF meal requested
04/06/2025	7:00 PM	Doukas	6	T-17	Indoor	Birthday	None	Reyes	Yes	No	Brought birthday cake from outside - coordinated with Maria
04/06/2025	7:00 PM	Kim	3	T-14	Indoor	None	None	Petrakis	Yes	No	-
04/06/2025	7:30 PM	Papadakis	5	T-19	Indoor	None	Pescatarian x1	Konstantinidis	Yes	No	-
04/06/2025	8:00 PM	Walker	2	T-03	Indoor	None	None	Nikolaou	Yes	No	-
04/07/2025	6:00 PM	Harris	4	T-11	Indoor	None	None	Okafor	Yes	No	-
04/07/2025	6:30 PM	Anagnos	4	T-08	Indoor	None	None	Reyes	Yes	No	Asked about Greek Easter events
04/07/2025	7:00 PM	Gonzalez	6	T-20	Indoor	Birthday	None	Mbeki + Petrakis	Yes	No	Large group
04/07/2025	7:30 PM	Ioannou	2	T-06	Indoor	None	None	Konstantinidis	Yes	No	Regular
04/07/2025	8:00 PM	Campbell	8	T-22	Indoor	None	Shellfish allergy x2	Okafor	Yes	No	Kitchen alerted
04/08/2025	6:00 PM	Christodoulou	4	T-13	Indoor	None	None	Nikolaou	Yes	No	-
04/08/2025	6:30 PM	Morales	3	T-07	Indoor	None	None	Reyes	Yes	No	-
04/08/2025	7:00 PM	Kalogeropoulos	6	T-16	Indoor	None	Vegetarian x2	Petrakis	Yes	No	-
04/08/2025	7:30 PM	Taylor	2	T-04	Patio	Anniversary	None	Mbeki	Yes	No	Requested patio specific
04/08/2025	8:00 PM	Voulgarakis	4	T-09	Indoor	None	None	Konstantinidis	Yes	No	-
04/09/2025	6:00 PM	Davis	6	T-18	Indoor	Birthday	Gluten-free x1	Okafor	Yes	No	-
04/09/2025	7:00 PM	Simonidis	4	T-12	Indoor	None	None	Reyes	Yes	No	-
04/09/2025	7:30 PM	Foster	2	T-05	Indoor	None	None	Nikolaou	Yes	No	-
04/09/2025	8:00 PM	Angelopoulos	8	T-21	Indoor	Large Party	None	Petrakis + Mbeki	Yes	No	Easter pre-celebration family dinner
04/10/2025	6:30 PM	Katsouras	4	T-10	Indoor	None	None	Konstantinidis	Yes	No	Pre-Pascha dinner
04/10/2025	7:00 PM	Robinson	2	T-03	Patio	None	None	Okafor	No	Yes	No-show. No call. Table released at 7:20 PM.
04/10/2025	7:00 PM	Economou	2	T-06	Indoor	None	None	Reyes	Yes	No	-
04/10/2025	7:30 PM	Hill	4	T-14	Indoor	None	None	Nikolaou	Yes	No	-
04/13/2025	6:00 PM	Mavrakis	4	T-11	Indoor	None	None	Reyes	Yes	No	First dinner after Easter. Very lively.
04/13/2025	7:00 PM	Sarris	6	T-17	Indoor	None	None	Petrakis	Yes	No	Post-Pascha family gathering
04/13/2025	7:30 PM	Cooper	2	T-04	Indoor	None	None	Okafor	Yes	No	-
04/13/2025	8:00 PM	Fountoulakis	8	T-20	Indoor	Birthday	None	Konstantinidis + Mbeki	Yes	No	Birthday dinner night after Easter
Month: April 2025	Location: Mykonos Taverna Alt 19, 4847 Alternate 19 N, Palm Harbor FL 34683	Export Source: Yelp Reservations + OpenTable	Prepared by: Maria Kostopoulos (FOH Manager)
