Employee ID	Last Name	First Name	Location	Role	Pay Type	Hours	Hourly Rate ($)	Annual Salary ($)	Gross Pay ($)	Federal Tax ($)	FL State Tax ($)	Social Security ($)	Medicare ($)	Health Insurance ($)	Net Pay ($)
EMP-001	Garcia	Aaron	Both	Owner/Managing Member	Salary	-	-	120000.00	4615.38	924.00	0.00	286.15	66.92	0.00	3338.31
EMP-002	Garcia	Andreas	Original	General Manager	Salary	-	-	65000.00	2500.00	426.00	0.00	155.00	36.25	145.00	1737.75
EMP-003	Hatzis	George	Original	Head Chef	Salary	-	-	55000.00	2115.38	336.00	0.00	131.15	30.67	145.00	1472.56
EMP-004	Economou	Stavros	Alt 19	Head Chef	Salary	-	-	52000.00	2000.00	308.00	0.00	124.00	29.00	145.00	1394.00
EMP-005	Kostopoulos	Maria	Alt 19	FOH Manager	Salary	-	-	48000.00	1846.15	272.00	0.00	114.46	26.77	145.00	1287.92
EMP-006	Demetriou	Elena	Original	Lead Server	Hourly	80	18.50	-	1480.00	192.40	0.00	91.76	21.46	145.00	1029.38
EMP-007	Antonopoulos	Nikos	Original	Server	Hourly	76	17.00	-	1292.00	167.96	0.00	80.10	18.73	145.00	880.21
EMP-008	Vasquez	Carmen	Original	Server	Hourly	80	17.00	-	1360.00	176.80	0.00	84.32	19.72	0.00	1079.16
EMP-009	Panagiotopoulos	Maria	Original	Host/Cashier	Hourly	72	16.00	-	1152.00	149.76	0.00	71.42	16.70	0.00	914.12
EMP-010	Koukoulis	Petros	Original	Line Cook	Hourly	80	16.50	-	1320.00	171.60	0.00	81.84	19.14	0.00	1047.42
EMP-011	Williams	Derek	Original	Line Cook	Hourly	76	15.50	-	1178.00	153.14	0.00	73.04	17.08	0.00	934.74
EMP-012	Flores	Miguel	Original	Dishwasher/Prep	Hourly	80	14.00	-	1120.00	145.60	0.00	69.44	16.24	0.00	888.72
EMP-013	Papadimitriou	Stavros	Alt 19	Sous Chef	Hourly	80	18.00	-	1440.00	187.20	0.00	89.28	20.88	145.00	997.64
EMP-014	Okafor	Chioma	Alt 19	Lead Server	Hourly	80	18.00	-	1440.00	187.20	0.00	89.28	20.88	145.00	997.64
EMP-015	Nikolaou	Ioanna	Alt 19	Server	Hourly	76	17.00	-	1292.00	167.96	0.00	80.10	18.73	0.00	1025.21
EMP-016	Reyes	Julio	Alt 19	Server	Hourly	80	17.00	-	1360.00	176.80	0.00	84.32	19.72	0.00	1079.16
EMP-017	Thompson	Kayla	Alt 19	Server	Hourly	72	17.00	-	1224.00	159.12	0.00	75.89	17.75	0.00	971.24
EMP-018	Petrakis	Dimitris	Alt 19	Server	Hourly	68	17.00	-	1156.00	150.28	0.00	71.67	16.76	0.00	917.29
EMP-019	Konstantinidis	Sofia	Alt 19	Server	Hourly	80	17.00	-	1360.00	176.80	0.00	84.32	19.72	0.00	1079.16
EMP-020	Mbeki	Thandiwe	Alt 19	Server (Patio)	Hourly	72	17.00	-	1224.00	159.12	0.00	75.89	17.75	0.00	971.24
EMP-021	Cruz	Alejandro	Alt 19	Expeditor	Hourly	80	15.50	-	1240.00	161.20	0.00	76.88	17.98	0.00	983.94
EMP-022	Georgiou	Nikos	Alt 19	Host	Hourly	72	15.00	-	1080.00	140.40	0.00	66.96	15.66	0.00	856.98
EMP-023	Ahmed	Fatima	Alt 19	Host / Takeout	Hourly	72	15.00	-	1080.00	140.40	0.00	66.96	15.66	0.00	856.98
EMP-024	Papageorgiou	Thanos	Alt 19	Line Cook	Hourly	80	16.00	-	1280.00	166.40	0.00	79.36	18.56	0.00	1015.68
EMP-025	Sanchez	Luis	Alt 19	Line Cook	Hourly	80	15.50	-	1240.00	161.20	0.00	76.88	17.98	0.00	983.94
EMP-026	Moreau	Jean-Paul	Alt 19	Prep Cook	Hourly	80	14.50	-	1160.00	150.80	0.00	71.92	16.82	0.00	920.46
EMP-027	Jackson	Tyrone	Alt 19	Dishwasher	Hourly	80	14.00	-	1120.00	145.60	0.00	69.44	16.24	0.00	888.72
EMP-028	Mitropoulos	Yannis	Original	Prep Cook	Hourly	72	14.00	-	1008.00	131.04	0.00	62.50	14.62	0.00	799.84
Pay Period	March 7 to March 20, 2025	Pay Date: March 20, 2025	Processed by: Gusto Payroll	EIN (Mykonos Taverna LLC): 82-4739156	EIN (Mykonos Taverna II LLC): 84-7239514
