Date	Type	Hours	Reason	Approved By	Balance After
01/17/2025	PTO	8.0	Sophie volleyball tournament	Frank Nowicki	112.0
02/14/2025	PTO	4.0	Dr. Brewer appointment afternoon	Frank Nowicki	108.0
04/18/2025	PTO	8.0	Kenosha visit with Rita	Frank Nowicki	100.0
05/23/2025	PTO	8.0	Sophie school event	Frank Nowicki	92.0
06/20/2025	PTO	8.0	Fishing trip, Lake DuPage all day	Frank Nowicki	84.0
07/04/2025	Holiday	8.0	Independence Day	Company	84.0
08/29/2025	PTO	8.0	Kenosha visit with Rita	Frank Nowicki	76.0
09/01/2025	Holiday	8.0	Labor Day	Company	76.0
10/10/2025	PTO	4.0	Dental cleaning, Dr. Hoffman	Frank Nowicki	72.0
11/07/2025	PTO	8.0	Birthday, Sophie custody weekend	Frank Nowicki	64.0
11/27/2025	Holiday	8.0	Thanksgiving	Company	64.0
11/28/2025	PTO	8.0	Day after Thanksgiving	Frank Nowicki	56.0
12/24/2025	Holiday	8.0	Christmas Eve	Company	56.0
12/25/2025	Holiday	8.0	Christmas Day	Company	56.0
12/31/2025	PTO	8.0	New Year's Eve	Frank Nowicki	48.0
01/01/2026	Holiday	8.0	New Year's Day	Company	48.0
01/19/2026	Holiday	8.0	MLK Day	Company	48.0
02/06/2026	PTO	4.0	Dr. Brewer lab follow-up	Frank Nowicki	44.0
02/16/2026	Holiday	8.0	Presidents Day	Company	44.0
