Name	Relation	Phone	Email	Address	Notes
Sophie Perry	Daughter	(630) 555-0147	sophie.perry10@gmail.com	With Kevin, Naperville	Texts daily, custody every other weekend
Kevin Perry	Ex-Husband	(630) 555-0219	kevin.novak.perry@gmail.com	Naperville	Co-parenting contact only
Rita Perry	Mother	(262) 555-0334	No email	Kenosha, WI	Monthly visits, calls only
Steve Perry	Brother	(414) 555-0401	steve.perry77@gmail.com	Milwaukee, WI	Phone calls couple times monthly
Mike Darnell	Best Friend	(630) 555-0518	mikedarnell70@gmail.com	Naperville area	Fishing partner, plumber, Bears games
Tony Ruiz	Coworker	(630) 555-0523	tony.ruiz.hvac@gmail.com	Naperville area	HVAC tech, rides to commercial jobs
Frank Nowicki	Supervisor	(630) 555-0610	fnowicki@heartlandmechanical.com	2200 Industrial Drive, Naperville, IL 60563	Service manager at Heartland
Dr. Alan Brewer	Primary Care	(630) 555-0700	Prairie Health portal	Naperville	Cholesterol and knee follow-up
Dr. Lisa Engel	Therapist	(630) 555-0740	Midwest Counseling portal	Naperville	Biweekly sessions
Dr. Patricia Hoffman	Dentist	(630) 555-0715	Naperville Family Dental portal	Naperville	Every six months cleaning
