id,username,full_name,email,initials
mem-gloria,ggross,Gloria Gross,gloria.gross@nordmeer-mu.de,GG
mem-nils,njohansen,Nils Johansen,nils@frisian-dive.example.de,NJ
mem-karin,khenriksen,Karin Henriksen,karin@nf7.example.de,KH
id-00004,Cedar jade 4,River river 4,sage.vogel004@example.com,orbit-4
id-00005,Harbor delta 5,Ember river 5,paul.richter005@example.com,pine-5
id-00006,Willow ember 6,Delta violet 6,sven.meyer006@example.com,kelp-6
id-00007,Alpha zephyr 7,Jade delta 7,nora.arnold007@example.com,frost-7
id-00008,Delta alpha 8,Violet meadow 8,emil.haas008@example.com,cedar-8
id-00009,Quartz grove 9,Coral quartz 9,rowan.berg009@example.com,violet-9
id-00010,Quartz alpha 10,Tidal kelp 10,jordan.haas010@example.com,coral-10
id-00011,Orbit zephyr 11,Kelp ember 11,mara.berg011@example.com,willow-11
id-00012,Bravo grove 12,Tidal quartz 12,timo.sommer012@example.com,delta-12
id-00013,Violet harbor 13,Iris summit 13,reese.braun013@example.com,orbit-13
id-00014,Frost summit 14,Harbor kelp 14,paul.wolf014@example.com,violet-14
id-00015,Cedar ember 15,Frost pine 15,rowan.arnold015@example.com,bravo-15
id-00016,Zephyr violet 16,Summit pine 16,reese.koch016@example.com,tidal-16
id-00017,Coral frost 17,Jade jade 17,sam.arnold017@example.com,willow-17
id-00018,Harbor coral 18,Haze haze 18,jordan.winter018@example.com,quartz-18
id-00019,Cedar willow 19,Summit kelp 19,casey.sommer019@example.com,summit-19
id-00020,Jade summit 20,Cedar pine 20,emil.busch020@example.com,alpha-20
id-00021,Alpha meadow 21,Jade bravo 21,parker.klein021@example.com,orbit-21
id-00022,River harbor 22,Frost violet 22,sven.sommer022@example.com,meadow-22
id-00023,Kelp zephyr 23,Pine pine 23,devon.haas023@example.com,coral-23
id-00024,Willow orbit 24,Harbor ember 24,riley.wolf024@example.com,jade-24
id-00025,Kelp jade 25,Violet river 25,riley.busch025@example.com,umber-25
id-00026,Violet iris 26,Kelp ember 26,rowan.winter026@example.com,delta-26
id-00027,Quartz summit 27,Grove umber 27,casey.haas027@example.com,frost-27
id-00028,Harbor grove 28,Harbor orbit 28,riley.richter028@example.com,umber-28
id-00029,Umber meadow 29,Summit orbit 29,reese.schulz029@example.com,jade-29
id-00030,River haze 30,Meadow willow 30,paul.haas030@example.com,summit-30
id-00031,Grove kelp 31,Haze meadow 31,avery.vogel031@example.com,tidal-31
id-00032,Cedar bravo 32,Iris coral 32,parker.vogel032@example.com,bravo-32
id-00033,Meadow cedar 33,Meadow tidal 33,sam.klein033@example.com,kelp-33
id-00034,Quartz summit 34,Orbit quartz 34,mara.richter034@example.com,willow-34
id-00035,Violet umber 35,Ember umber 35,lena.arnold035@example.com,coral-35
id-00036,Umber cedar 36,Haze meadow 36,inga.sommer036@example.com,orbit-36
id-00037,Haze grove 37,Umber jade 37,alex.haas037@example.com,bravo-37
id-00038,Iris zephyr 38,Quartz bravo 38,casey.meyer038@example.com,grove-38
id-00039,Meadow jade 39,Violet ember 39,reese.berg039@example.com,frost-39
id-00040,Delta haze 40,Umber summit 40,parker.busch040@example.com,river-40
id-00041,Kelp bravo 41,Iris meadow 41,emil.busch041@example.com,pine-41
id-00042,Pine delta 42,Frost ember 42,jamie.haas042@example.com,umber-42
id-00043,Tidal jade 43,Meadow meadow 43,sam.koch043@example.com,jade-43
id-00044,Quartz delta 44,Harbor tidal 44,emil.richter044@example.com,zephyr-44
id-00045,Pine tidal 45,Orbit bravo 45,jamie.richter045@example.com,bravo-45
id-00046,Grove orbit 46,Cedar summit 46,parker.haas046@example.com,summit-46
id-00047,Frost jade 47,Coral haze 47,sven.haas047@example.com,willow-47
id-00048,Summit meadow 48,Umber kelp 48,rowan.meyer048@example.com,summit-48
id-00049,Ember delta 49,Jade harbor 49,blair.klein049@example.com,orbit-49
id-00050,Frost frost 50,Iris ember 50,taylor.lorenz050@example.com,orbit-50
id-00051,Orbit iris 51,Ember coral 51,reese.klein051@example.com,pine-51
id-00052,Kelp umber 52,Delta ember 52,emil.wolf052@example.com,quartz-52
id-00053,Frost alpha 53,Umber quartz 53,riley.winter053@example.com,delta-53
id-00054,Umber meadow 54,Grove pine 54,alex.vogel054@example.com,grove-54
id-00055,Summit summit 55,Jade ember 55,blair.busch055@example.com,quartz-55
id-00056,Tidal orbit 56,Willow ember 56,quinn.braun056@example.com,frost-56
id-00057,Quartz violet 57,Delta coral 57,sven.meyer057@example.com,jade-57
id-00058,Ember summit 58,Iris summit 58,timo.klein058@example.com,willow-58
id-00059,Grove ember 59,Alpha river 59,morgan.berg059@example.com,bravo-59
id-00060,Haze haze 60,Haze frost 60,rowan.koch060@example.com,kelp-60
id-00061,Violet delta 61,Ember harbor 61,alex.haas061@example.com,willow-61
id-00062,Kelp summit 62,Haze violet 62,reese.richter062@example.com,frost-62
id-00063,Iris quartz 63,Grove meadow 63,taylor.meyer063@example.com,bravo-63
