id,customer,amount,currency,status,paid,refunded,amount_refunded,description,payment_intent,created
ch_001001,cus_michelle_trevino,110000,usd,succeeded,True,False,0,Sliding-scale midwifery invoice 2026-04,pi_001001,1743644932
ch_001002,cus_hannah_walker,90000,usd,succeeded,True,False,0,Sliding-scale midwifery invoice 2026-04,pi_001002,1741114064
ch_001003,cus_sarah_chenpark,130000,usd,succeeded,True,False,0,Sliding-scale midwifery invoice 2026-04,pi_001003,1748340356
ch_001004,cus_emily_ross,30000,usd,succeeded,True,False,0,Sliding-scale midwifery invoice 2026-04,pi_001004,1748993418
ch_001005,cus_woo_001,110000,usd,succeeded,True,False,0,Sliding-scale midwifery invoice 2026-05,pi_001005,1750118526
ch_001006,cus_woo_002,90000,usd,succeeded,True,False,0,Sliding-scale midwifery invoice 2026-05,pi_001006,1747961735
ch_001007,cus_woo_003,130000,usd,succeeded,True,False,0,Sliding-scale midwifery invoice 2026-05,pi_001007,1741442924
ch_001008,cus_woo_004,30000,usd,succeeded,True,False,0,Sliding-scale midwifery invoice 2026-05,pi_001008,1742506174
ch_001009,cus_woo_005,110000,usd,succeeded,True,False,0,Sliding-scale midwifery invoice 2026-06,pi_001009,1751857562
ch_001010,cus_michelle_trevino,90000,usd,succeeded,True,False,0,Sliding-scale midwifery invoice 2026-06,pi_001010,1740287907
ch_001011,cus_hannah_walker,130000,usd,succeeded,True,False,0,Sliding-scale midwifery invoice 2026-06,pi_001011,1743435294
ch_001012,cus_sarah_chenpark,30000,usd,succeeded,True,False,0,Sliding-scale midwifery invoice 2026-06,pi_001012,1741258408
ch_001013,cus_emily_ross,7946,usd,succeeded,True,False,0,WooCommerce order capture,pi_001013,1745792765
ch_001014,cus_woo_001,9513,usd,succeeded,True,False,0,WooCommerce order capture,pi_001014,1746888675
ch_001015,cus_woo_002,7717,usd,succeeded,True,False,0,WooCommerce order capture,pi_001015,1751983297
ch_001016,cus_woo_003,10955,usd,succeeded,True,False,0,WooCommerce order capture,pi_001016,1742475292
ch_001017,cus_woo_004,7149,usd,succeeded,True,False,0,WooCommerce order capture,pi_001017,1750418393
ch_001018,cus_woo_005,3779,usd,succeeded,True,False,0,WooCommerce order capture,pi_001018,1745238289
ch_001019,cus_michelle_trevino,4756,usd,succeeded,True,False,0,WooCommerce order capture,pi_001019,1750896924
ch_001020,cus_hannah_walker,12435,usd,succeeded,True,False,0,WooCommerce order capture,pi_001020,1749639796
ch_001021,cus_sarah_chenpark,7902,usd,succeeded,True,False,0,WooCommerce order capture,pi_001021,1749935287
ch_001022,cus_emily_ross,5348,usd,succeeded,True,False,0,WooCommerce order capture,pi_001022,1743109016
ch_001023,cus_woo_001,8153,usd,succeeded,True,False,0,WooCommerce order capture,pi_001023,1750968247
ch_001024,cus_woo_002,9517,usd,succeeded,True,False,0,WooCommerce order capture,pi_001024,1742903750
ch_001025,cus_woo_003,8835,usd,succeeded,True,False,0,WooCommerce order capture,pi_001025,1749648007
ch_001026,cus_woo_004,4400,usd,succeeded,True,False,0,WooCommerce order capture,pi_001026,1749281800
ch_001027,cus_woo_005,12595,usd,succeeded,True,False,0,WooCommerce order capture,pi_001027,1745875611
ch_001028,cus_michelle_trevino,4288,usd,succeeded,True,False,0,WooCommerce order capture,pi_001028,1742295083
ch_001029,cus_hannah_walker,14130,usd,succeeded,True,False,0,WooCommerce order capture,pi_001029,1740756238
ch_001030,cus_sarah_chenpark,10096,usd,succeeded,True,False,0,WooCommerce order capture,pi_001030,1746712930
ch_001031,cus_emily_ross,4509,usd,succeeded,True,False,0,WooCommerce order capture,pi_001031,1748123847
ch_001032,cus_woo_001,6910,usd,succeeded,True,False,0,WooCommerce order capture,pi_001032,1745520093
ch_001033,cus_woo_002,10996,usd,succeeded,True,False,0,WooCommerce order capture,pi_001033,1748506699
ch_001034,cus_woo_003,3120,usd,succeeded,True,False,0,WooCommerce order capture,pi_001034,1743431645
ch_001035,cus_woo_004,4035,usd,succeeded,True,False,0,WooCommerce order capture,pi_001035,1751950539
ch_001036,cus_woo_005,5650,usd,succeeded,True,False,0,WooCommerce order capture,pi_001036,1743402391
