id,name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,start_date,kudos_count,segment_id
11221001,River path before shift,Run,6800,2340,2340,18,2.91,2026-11-03T05:20:00Z,0,
11221002,Recovery jog,Run,5100,1980,1980,10,2.58,2026-11-05T06:00:00Z,0,
11221003,Long run,Run,14200,5820,5820,42,2.44,2026-11-08T09:15:00Z,0,
11221004,River path steady,Run,7100,2460,2460,20,2.89,2026-11-11T05:20:00Z,0,
11221005,Recovery jog,Run,5300,2040,2040,12,2.6,2026-11-17T06:30:00Z,0,
11221006,Long run,Run,15400,6240,6240,58,2.47,2026-11-22T09:00:00Z,0,
11221007,Bike commute,Hike,6262,4080,4080,78,1.53,2025-01-26T00:00:00Z,0,
11221008,Bike commute,Ride,5465,4244,4244,32,1.29,2026-11-08T00:00:00Z,0,
11221009,Trail run,Run,6707,2613,2613,78,2.57,2026-05-29T00:00:00Z,0,
11221010,Interval workout,Run,3770,2919,2919,10,1.29,2026-07-13T00:00:00Z,0,
11221011,Yoga cool-down,Yoga,13389,4788,4788,65,2.8,2025-02-19T00:00:00Z,0,
11221012,Trail run,Hike,15038,3513,3513,34,4.28,2025-01-23T00:00:00Z,0,
11221013,River path steady,Run,6784,6297,6297,3,1.08,2026-02-23T00:00:00Z,0,
11221014,Recovery jog,Run,3901,5267,5267,54,0.74,2025-06-30T00:00:00Z,0,
11221015,River path steady,Run,13483,4296,4296,77,3.14,2026-06-09T00:00:00Z,0,
11221016,Bike commute,Run,7414,2805,2805,46,2.64,2025-06-16T00:00:00Z,0,
11221017,Hill session,Run,6624,1507,1507,50,4.4,2025-09-11T00:00:00Z,0,
11221018,Yoga cool-down,Run,11330,3533,3533,50,3.21,2025-09-16T00:00:00Z,0,
11221019,Yoga cool-down,Run,8781,3196,3196,31,2.75,2025-05-07T00:00:00Z,0,
11221020,Long run,Run,7835,5619,5619,14,1.39,2026-08-13T00:00:00Z,0,
11221021,River path steady,Hike,8435,2649,2649,40,3.18,2026-07-25T00:00:00Z,0,
11221022,River path steady,Run,14382,4196,4196,51,3.43,2025-11-21T00:00:00Z,0,
11221023,Yoga cool-down,Run,8669,4167,4167,71,2.08,2026-01-27T00:00:00Z,0,
11221024,Yoga cool-down,Run,14871,4592,4592,18,3.24,2025-03-18T00:00:00Z,0,
11221025,Weekend hike,Hike,8407,6170,6170,57,1.36,2025-01-09T00:00:00Z,0,
11221026,Trail run,Yoga,7156,1826,1826,41,3.92,2025-01-29T00:00:00Z,0,
11221027,Interval workout,Hike,17402,1854,1854,32,9.39,2026-05-03T00:00:00Z,0,
11221028,Weekend hike,Run,9108,2051,2051,4,4.44,2025-01-12T00:00:00Z,0,
11221029,Recovery jog,Hike,14735,6024,6024,11,2.45,2026-08-18T00:00:00Z,0,
11221030,Interval workout,Run,12086,6387,6387,60,1.89,2026-06-01T00:00:00Z,0,
11221031,Recovery jog,Run,6244,3844,3844,19,1.62,2026-05-26T00:00:00Z,0,
11221032,Yoga cool-down,Run,6168,3802,3802,57,1.62,2026-03-04T00:00:00Z,0,
11221033,Bike commute,Run,16895,5381,5381,24,3.14,2025-10-23T00:00:00Z,0,
11221034,Trail run,Run,12511,1865,1865,42,6.71,2026-05-21T00:00:00Z,0,
11221035,Bike commute,Hike,16824,6295,6295,22,2.67,2026-07-22T00:00:00Z,0,
11221036,Recovery jog,Run,4379,5527,5527,37,0.79,2025-01-16T00:00:00Z,0,
11221037,Hill session,Run,7414,3150,3150,78,2.35,2026-08-30T00:00:00Z,0,
11221038,Easy morning run,Run,11369,1648,1648,38,6.9,2026-09-10T00:00:00Z,0,
11221039,River path steady,Run,14938,1705,1705,51,8.76,2026-08-27T00:00:00Z,0,
11221040,Yoga cool-down,Yoga,12501,2189,2189,16,5.71,2026-09-30T00:00:00Z,0,
11221041,Recovery jog,Hike,13917,3278,3278,52,4.25,2025-12-30T00:00:00Z,0,
11221042,Long run,Run,9280,5484,5484,16,1.69,2026-08-17T00:00:00Z,0,
11221043,River path steady,Run,13880,1847,1847,47,7.51,2026-03-03T00:00:00Z,0,
11221044,River path steady,Run,10720,1882,1882,14,5.7,2025-08-06T00:00:00Z,0,
11221045,Long run,Run,15596,5100,5100,64,3.06,2026-07-08T00:00:00Z,0,
11221046,Easy morning run,Yoga,14940,4548,4548,49,3.28,2025-04-12T00:00:00Z,0,
11221047,Hill session,Run,3697,6425,6425,1,0.58,2025-06-15T00:00:00Z,0,
11221048,Easy morning run,Run,7675,2860,2860,33,2.68,2025-05-22T00:00:00Z,0,
11221049,Hill session,Ride,11523,2368,2368,59,4.87,2026-10-27T00:00:00Z,0,
11221050,River path steady,Ride,10640,4751,4751,15,2.24,2025-09-15T00:00:00Z,0,
11221051,Bike commute,Run,13668,2287,2287,19,5.98,2026-05-05T00:00:00Z,0,
11221052,Recovery jog,Ride,5765,3437,3437,32,1.68,2025-01-26T00:00:00Z,0,
11221053,Long run,Yoga,6796,6448,6448,61,1.05,2026-07-12T00:00:00Z,0,
11221054,Long run,Hike,17659,3704,3704,54,4.77,2026-01-16T00:00:00Z,0,
11221055,Weekend hike,Ride,11987,2211,2211,3,5.42,2026-10-02T00:00:00Z,0,
11221056,Yoga cool-down,Ride,3998,2004,2004,50,2,2026-04-08T00:00:00Z,0,
11221057,Yoga cool-down,Hike,8734,3249,3249,29,2.69,2025-02-14T00:00:00Z,0,
11221058,Weekend hike,Run,17215,4336,4336,57,3.97,2025-04-09T00:00:00Z,0,
11221059,Bike commute,Run,13090,5506,5506,27,2.38,2026-07-31T00:00:00Z,0,
11221060,Recovery jog,Ride,5120,2703,2703,37,1.89,2026-06-07T00:00:00Z,0,
11221061,Weekend hike,Yoga,11834,6372,6372,71,1.86,2026-07-02T00:00:00Z,0,
11221062,Bike commute,Run,8486,5911,5911,45,1.44,2025-01-04T00:00:00Z,0,
11221063,Recovery jog,Run,10141,3343,3343,60,3.03,2025-12-24T00:00:00Z,0,
11221064,Trail run,Ride,6309,5376,5376,45,1.17,2025-07-05T00:00:00Z,0,
11221065,Long run,Run,15774,5507,5507,59,2.86,2025-09-20T00:00:00Z,0,
11221066,Weekend hike,Hike,4867,5935,5935,17,0.82,2026-11-01T00:00:00Z,0,
11221067,Bike commute,Ride,3952,2637,2637,73,1.5,2026-11-17T00:00:00Z,0,
11221068,Recovery jog,Run,3306,2823,2823,35,1.17,2026-01-23T00:00:00Z,0,
11221069,Weekend hike,Yoga,12424,3543,3543,23,3.51,2026-11-18T00:00:00Z,0,
11221070,Hill session,Ride,12842,1912,1912,2,6.72,2026-07-10T00:00:00Z,0,
11221071,Interval workout,Run,5019,6207,6207,50,0.81,2025-02-27T00:00:00Z,0,
11221072,Recovery jog,Run,12087,3616,3616,28,3.34,2026-05-11T00:00:00Z,0,
11221073,Long run,Run,4565,2652,2652,19,1.72,2026-10-12T00:00:00Z,0,
11221074,Yoga cool-down,Run,16820,3549,3549,70,4.74,2025-12-10T00:00:00Z,0,
11221075,Long run,Yoga,15206,2529,2529,51,6.01,2025-09-11T00:00:00Z,0,
11221076,Easy morning run,Yoga,7262,6486,6486,43,1.12,2025-08-21T00:00:00Z,0,
11221077,Trail run,Hike,15762,5983,5983,58,2.63,2026-03-21T00:00:00Z,0,
11221078,Easy morning run,Ride,4247,3306,3306,42,1.28,2026-04-18T00:00:00Z,0,
11221079,Weekend hike,Run,5235,3606,3606,68,1.45,2025-04-29T00:00:00Z,0,
11221080,Weekend hike,Hike,13434,3131,3131,39,4.29,2026-05-28T00:00:00Z,0,
11221081,Yoga cool-down,Run,9260,2320,2320,8,3.99,2025-12-23T00:00:00Z,0,
11221082,River path steady,Run,12937,1514,1514,32,8.54,2025-11-15T00:00:00Z,0,
11221083,River path steady,Run,6345,2999,2999,15,2.12,2025-12-08T00:00:00Z,0,
11221084,Interval workout,Run,4760,6285,6285,9,0.76,2026-04-17T00:00:00Z,0,
11221085,Bike commute,Ride,11004,2719,2719,50,4.05,2026-08-14T00:00:00Z,0,
11221086,Bike commute,Hike,7841,5094,5094,52,1.54,2025-04-15T00:00:00Z,0,
11221087,Trail run,Run,6514,3372,3372,37,1.93,2026-06-28T00:00:00Z,0,
11221088,Interval workout,Hike,13976,6445,6445,40,2.17,2026-07-19T00:00:00Z,0,
11221089,Trail run,Hike,7714,5705,5705,37,1.35,2026-02-12T00:00:00Z,0,
11221090,River path steady,Run,13446,4022,4022,55,3.34,2025-10-28T00:00:00Z,0,
