id,name,login,role,status,language,timezone,space_amount,space_used,max_upload_size,job_title,phone,created_at
box-greg,Greg Howard,greg.howard@gmail.com,user,active,en,America/New_York,10737418240,204812000,5368709120,Pediatric Physical Therapist,614-555-0101,2019-06-01
box-u-0,Priya Diaz,priya.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100000000,5368709120,Physical Therapist,614-555-1000,2020-01-01
box-u-1,Marcus Diaz,marcus.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100001000,5368709120,Billing Specialist,614-555-1001,2020-01-02
box-u-2,Dana Diaz,dana.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100002000,5368709120,Physical Therapist,614-555-1002,2020-01-03
box-u-3,Evan Diaz,evan.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100003000,5368709120,Physical Therapist,614-555-1003,2020-01-04
box-u-4,Grace Diaz,grace.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100004000,5368709120,Care Coordinator,614-555-1004,2020-01-05
box-u-5,Nadia Diaz,nadia.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100005000,5368709120,Billing Specialist,614-555-1005,2020-01-06
box-u-6,Sam Diaz,sam.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100006000,5368709120,Physical Therapist,614-555-1006,2020-01-07
box-u-7,Tomas Diaz,tomas.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100007000,5368709120,Physical Therapist,614-555-1007,2020-01-08
box-u-8,Wendy Diaz,wendy.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100008000,5368709120,Billing Specialist,614-555-1008,2020-01-09
box-u-9,Leo Diaz,leo.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100009000,5368709120,Physical Therapist,614-555-1009,2020-01-10
box-u-10,Aisha Diaz,aisha.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100010000,5368709120,Billing Specialist,614-555-1010,2020-01-11
box-u-11,Ravi Diaz,ravi.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100011000,5368709120,Care Coordinator,614-555-1011,2020-01-12
box-u-12,Mia Diaz,mia.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100012000,5368709120,Physical Therapist,614-555-1012,2020-01-13
box-u-13,Owen Diaz,owen.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100013000,5368709120,Physical Therapist,614-555-1013,2020-01-14
box-u-14,Lena Diaz,lena.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100014000,5368709120,Billing Specialist,614-555-1014,2020-01-15
box-u-15,Kai Diaz,kai.diaz@kestrelhealth.example.org,user,active,en,America/New_York,10737418240,100015000,5368709120,Physical Therapist,614-555-1015,2020-01-16
