Id,FirstName,LastName,Company,Email,Phone,Status,LeadSource,Industry,Rating
00QL001,Lead1,Org1,Prospect 1,lead1@org.org,(410)555-3001,Open,Community Event,Healthcare,Hot
00QL002,Lead2,Org2,Prospect 2,lead2@org.org,(410)555-3002,Open,Community Event,Healthcare,Cold
00QL003,Lead3,Org3,Prospect 3,lead3@org.org,(410)555-3003,Qualified,Community Event,Healthcare,Cold
00QL004,Lead4,Org4,Prospect 4,lead4@org.org,(410)555-3004,Qualified,Community Event,Healthcare,Hot
00QL005,Lead5,Org5,Prospect 5,lead5@org.org,(410)555-3005,Working,Community Event,Healthcare,Warm
00QL006,Lead6,Org6,Prospect 6,lead6@org.org,(410)555-3006,Qualified,Community Event,Healthcare,Hot
00QL007,Lead7,Org7,Prospect 7,lead7@org.org,(410)555-3007,Working,Community Event,Healthcare,Cold
00QL008,Lead8,Org8,Prospect 8,lead8@org.org,(410)555-3008,Working,Community Event,Healthcare,Cold
00QL009,Lead9,Org9,Prospect 9,lead9@org.org,(410)555-3009,Qualified,Community Event,Healthcare,Warm
00QL010,Lead10,Org10,Prospect 10,lead10@org.org,(410)555-3010,Working,Community Event,Healthcare,Cold
00QL011,Lead11,Org11,Prospect 11,lead11@org.org,(410)555-3011,Working,Community Event,Healthcare,Warm
00QL012,Lead12,Org12,Prospect 12,lead12@org.org,(410)555-3012,Qualified,Community Event,Healthcare,Warm
00QL013,Lead13,Org13,Prospect 13,lead13@org.org,(410)555-3013,Working,Community Event,Healthcare,Cold
00QL014,Lead14,Org14,Prospect 14,lead14@org.org,(410)555-3014,Working,Community Event,Healthcare,Hot
00QL015,Lead15,Org15,Prospect 15,lead15@org.org,(410)555-3015,Qualified,Community Event,Healthcare,Warm
00QL016,Lead16,Org16,Prospect 16,lead16@org.org,(410)555-3016,Qualified,Community Event,Healthcare,Hot
00QL017,Lead17,Org17,Prospect 17,lead17@org.org,(410)555-3017,Working,Community Event,Healthcare,Hot
00QL018,Lead18,Org18,Prospect 18,lead18@org.org,(410)555-3018,Open,Community Event,Healthcare,Cold
00QL019,Lead19,Org19,Prospect 19,lead19@org.org,(410)555-3019,Open,Community Event,Healthcare,Cold
00QL020,Lead20,Org20,Prospect 20,lead20@org.org,(410)555-3020,Open,Community Event,Healthcare,Hot
00QL021,Lead21,Org21,Prospect 21,lead21@org.org,(410)555-3021,Open,Community Event,Healthcare,Cold
00QL022,Lead22,Org22,Prospect 22,lead22@org.org,(410)555-3022,Open,Community Event,Healthcare,Cold
00QL023,Lead23,Org23,Prospect 23,lead23@org.org,(410)555-3023,Working,Community Event,Healthcare,Cold
00QL024,Lead24,Org24,Prospect 24,lead24@org.org,(410)555-3024,Working,Community Event,Healthcare,Cold
00QL025,Lead25,Org25,Prospect 25,lead25@org.org,(410)555-3025,Qualified,Community Event,Healthcare,Cold
00QL026,Lead26,Org26,Prospect 26,lead26@org.org,(410)555-3026,Open,Community Event,Healthcare,Cold
00QL027,Lead27,Org27,Prospect 27,lead27@org.org,(410)555-3027,Qualified,Community Event,Healthcare,Warm
00QL028,Lead28,Org28,Prospect 28,lead28@org.org,(410)555-3028,Working,Community Event,Healthcare,Cold
00QL029,Lead29,Org29,Prospect 29,lead29@org.org,(410)555-3029,Working,Community Event,Healthcare,Warm
00QL030,Lead30,Org30,Prospect 30,lead30@org.org,(410)555-3030,Open,Community Event,Healthcare,Hot
00QL031,Lead31,Org31,Prospect 31,lead31@org.org,(410)555-3031,Open,Community Event,Healthcare,Cold
00QL032,Lead32,Org32,Prospect 32,lead32@org.org,(410)555-3032,Working,Community Event,Healthcare,Cold
00QL033,Lead33,Org33,Prospect 33,lead33@org.org,(410)555-3033,Open,Community Event,Healthcare,Hot
00QL034,Lead34,Org34,Prospect 34,lead34@org.org,(410)555-3034,Working,Community Event,Healthcare,Cold
00QL035,Lead35,Org35,Prospect 35,lead35@org.org,(410)555-3035,Qualified,Community Event,Healthcare,Warm
00QL036,Lead36,Org36,Prospect 36,lead36@org.org,(410)555-3036,Working,Community Event,Healthcare,Hot
00QL037,Lead37,Org37,Prospect 37,lead37@org.org,(410)555-3037,Qualified,Community Event,Healthcare,Cold
00QL038,Lead38,Org38,Prospect 38,lead38@org.org,(410)555-3038,Open,Community Event,Healthcare,Cold
00QL039,Lead39,Org39,Prospect 39,lead39@org.org,(410)555-3039,Qualified,Community Event,Healthcare,Cold
00QL040,Lead40,Org40,Prospect 40,lead40@org.org,(410)555-3040,Open,Community Event,Healthcare,Cold
