Name	Relationship	Phone	Email	Location	Notes
Carol Dillard	Mother	(615) 555-0312	carol.dillard@gmail.com	Murfreesboro, TN	Sunday 4:45 PM call, visits every 6 to 8 weeks
Robert Whitfield	Father	(615) 555-0287	robert.whitfield@gmail.com	Franklin, TN	Phone plan primary, sends art books
Dorothy Whitfield	Grandmother	(615) 555-0291		Franklin, TN	Grandma Dot, reach through Dad or Frank
Frank Whitfield	Uncle	(615) 555-0294	frank.whitfield@gmail.com	Franklin, TN	Handles family finances
Jake Sullivan	Best friend	(615) 555-0318	jake.sullivan@gmail.com	Nashville, TN	Studio partner, Signal preferred
Derek Callahan	Roommate	(629) 555-0327	derek.callahan@gmail.com	Nashville, TN	Splits the apartment, cooks weeknights
Marcus Hayes	Friend	(615) 555-1152	marcus.hayes@gmail.com	Nashville, TN	Thursday D and D, runs the campaign
Chris Morton	Shift manager	(615) 555-0341	chris.morton@gmail.com	Nashville, TN	Copper Kettle schedule
Dennis Hargrove	Mentor	(615) 555-9808	dennis.hargrove@gmail.com	Nashville, TN	Thornfield faculty, novel feedback
Benny Crawford	Client	(615) 555-0362	benny.crawford@gmail.com	Nashville, TN	Dawnstone Labs Records
Allie Foster	Friend	(629) 555-0378	allie.foster@gmail.com	Nashville, TN	Works at the bookstore
Dr. Steven Holt	Therapist	(615) 555-0385		Telehealth	Every other Wednesday, 3 PM
