gid,name,email,workspace_gid
au-1000,Mary Vasquez,mary.vasquez@Finthesiss.ai,ws-ridgewood
au-1001,Hassan Costa,hassan.costa1001@ridgewoodcollegiate.ca,ws-ridgewood
au-1002,Sofia Chen,sofia.chen1002@ridgewoodcollegiate.ca,ws-ridgewood
au-1003,Carlos Mensah,carlos.mensah1003@ridgewoodcollegiate.ca,ws-ridgewood
au-1004,Nina Dupont,nina.dupont1004@ridgewoodcollegiate.ca,ws-ridgewood
au-1005,Ravi Vasquez,ravi.vasquez1005@ridgewoodcollegiate.ca,ws-ridgewood
au-1006,Diego Novak,diego.novak1006@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-7,Lucia Sharma,asana.user7@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-8,Talia Mensah,asana.user8@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-9,Maya Bauer,asana.user9@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-10,Lucia Dupont,asana.user10@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-11,Hiro Petrov,asana.user11@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-12,Yuki Hernandez,asana.user12@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-13,Leah Bello,asana.user13@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-14,Wei Dupont,asana.user14@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-15,Lucia Patel,asana.user15@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-16,Olivia Rivera,asana.user16@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-17,Liam Vasquez,asana.user17@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-18,Bruno Park,asana.user18@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-19,Owen Costa,asana.user19@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-20,Eduardo Santos,asana.user20@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-21,Lucas Adeyemi,asana.user21@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-22,Hassan Thompson,asana.user22@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-23,Diego Wallace,asana.user23@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-24,Emma Petrov,asana.user24@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-25,Talia Chen,asana.user25@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-26,Lucia Serrano,asana.user26@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-27,Marcus Antoine,asana.user27@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-28,Leah Dupont,asana.user28@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-29,Ethan Boateng,asana.user29@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-30,Diego Ivanov,asana.user30@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-31,Lucia Dubois,asana.user31@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-32,James Silva,asana.user32@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-33,Nina Wallace,asana.user33@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-34,Ravi Adeyemi,asana.user34@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-35,Lucas Patel,asana.user35@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-36,Daniel Mbeki,asana.user36@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-37,Elena Thompson,asana.user37@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-38,Kofi Santos,asana.user38@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-39,Tariq Fernandez,asana.user39@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-40,Diego Haddad,asana.user40@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-41,Lena Ali,asana.user41@ridgewoodcollegiate.ca,ws-ridgewood
