id,list_id,type,status,subject_line,from_name,reply_to,title,emails_sent,send_time,create_time
cp_holiday_kickoff,list_holiday_rsvp,regular,sent,"Save the Date: Grace Community Church Holiday Celebration Dec 12, 2026",Matt Coleman,matt.coleman@gracechurchelpaso.org,Holiday Kickoff Save the Date,182,2026-10-05T14:00:00Z,2026-10-05T13:45:00Z
cp_pledge_push,list_congregation,regular,sent,Holiday Pledge Drive - We Need Your Help,Matt Coleman,matt.coleman@gracechurchelpaso.org,Pledge Push,318,2026-11-02T15:00:00Z,2026-11-02T14:45:00Z
cp_volunteer_call,list_congregation,regular,sent,Volunteers Needed for Dec 12 Celebration,Matt Coleman,matt.coleman@gracechurchelpaso.org,Volunteer Call,320,2026-11-20T15:00:00Z,2026-11-20T14:45:00Z
cp_final_details,list_holiday_rsvp,regular,draft,Final Details: Grace Community Church Holiday Celebration Dec 12,Matt Coleman,matt.coleman@gracechurchelpaso.org,Final Details,0,,2026-12-06T09:00:00Z
cp_0005,list_committee,regular,sent,Sunday Bulletin - Jan 04 2026,Deacon Ruth,events@gracechurchelpaso.org,Sunday Bulletin - Jan 04 2026,203,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0006,list_congregation,regular,sent,Weekly Prayer Chain - Jan 04 2026,Deacon Ruth,events@gracechurchelpaso.org,Weekly Prayer Chain - Jan 04 2026,238,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0007,list_clinic_vol,regular,sent,Youth Group Meeting - Jan 04 2026,Rosa Villarreal,events@gracechurchelpaso.org,Youth Group Meeting - Jan 04 2026,184,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0008,list_wellness_clients,regular,sent,Council Update - Jan 04 2026,Rosa Villarreal,events@gracechurchelpaso.org,Council Update - Jan 04 2026,200,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0009,list_choir,regular,sent,Prayer Chain Update - Jan 04 2026,Matt Coleman,matt.coleman@gracechurchelpaso.org,Prayer Chain Update - Jan 04 2026,279,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0010,list_congregation,regular,sent,Committee Notes - Jan 04 2026,Matt Coleman,matt.coleman@gracechurchelpaso.org,Committee Notes - Jan 04 2026,232,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0011,list_choir,regular,sent,Choir Rehearsal - Jan 04 2026,Grace Church Office,office@gracechurchelpaso.org,Choir Rehearsal - Jan 04 2026,218,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0012,list_committee,regular,sent,Sunday School - Jan 04 2026,Pastor David Henning,pastor@gracechurchelpaso.org,Sunday School - Jan 04 2026,263,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0013,list_congregation,regular,sent,Bible Study Reminder - Jan 04 2026,Deacon Maria,events@gracechurchelpaso.org,Bible Study Reminder - Jan 04 2026,284,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0014,list_grief,regular,sent,Fellowship Hall Reservation,Rosa Villarreal,events@gracechurchelpaso.org,Fellowship Hall Reservation,262,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0015,list_youth,regular,sent,Building Fund Update,Deacon Maria,events@gracechurchelpaso.org,Building Fund Update,291,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0016,list_wellness_clients,regular,sent,Missions Newsletter,Matt Coleman,matt.coleman@gracechurchelpaso.org,Missions Newsletter,271,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0017,list_congregation,regular,sent,Grief Support Group Meeting,Deacon Maria,events@gracechurchelpaso.org,Grief Support Group Meeting,247,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0018,list_youth,regular,sent,Diabetes Education Class,Deacon Ruth,events@gracechurchelpaso.org,Diabetes Education Class,195,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0019,list_choir,regular,sent,BP Screening Clinic,Matt Coleman,matt.coleman@gracechurchelpaso.org,BP Screening Clinic,267,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0020,list_prayer,regular,sent,Volunteer Schedule,Deacon Maria,events@gracechurchelpaso.org,Volunteer Schedule,313,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0021,list_diabetes_ed,regular,sent,Advent Preparation,Rosa Villarreal,events@gracechurchelpaso.org,Advent Preparation,339,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0022,list_clinic_vol,regular,sent,Lenten Reflections,Rosa Villarreal,events@gracechurchelpaso.org,Lenten Reflections,251,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0023,list_youth,regular,sent,Easter Preparation,Deacon Ruth,events@gracechurchelpaso.org,Easter Preparation,223,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0024,list_council,regular,sent,Christmas Eve Service Notice,Matt Coleman,matt.coleman@gracechurchelpaso.org,Christmas Eve Service Notice,182,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0025,list_youth,regular,sent,Vacation Bible School,Pastor David Henning,pastor@gracechurchelpaso.org,Vacation Bible School,303,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0026,list_grief,regular,sent,Back-to-School Drive,Matt Coleman,matt.coleman@gracechurchelpaso.org,Back-to-School Drive,204,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0027,list_choir,regular,sent,Thanksgiving Meal Signup,Deacon Ruth,events@gracechurchelpaso.org,Thanksgiving Meal Signup,313,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0028,list_diabetes_ed,regular,sent,Guadalupe Feast Details,Grace Church Office,office@gracechurchelpaso.org,Guadalupe Feast Details,335,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0029,list_council,regular,sent,Weekly Tithe Reminder,Rosa Villarreal,events@gracechurchelpaso.org,Weekly Tithe Reminder,249,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0030,list_diabetes_ed,regular,sent,Newsletter Article Deadline,Rosa Villarreal,events@gracechurchelpaso.org,Newsletter Article Deadline,267,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0031,list_council,regular,sent,Nursery Schedule,Rosa Villarreal,events@gracechurchelpaso.org,Nursery Schedule,203,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0032,list_council,regular,sent,Ushers Needed,Matt Coleman,matt.coleman@gracechurchelpaso.org,Ushers Needed,224,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0033,list_congregation,regular,sent,Communion Setup,Deacon Maria,events@gracechurchelpaso.org,Communion Setup,204,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0034,list_wellness_clients,regular,sent,Altar Guild Notes,Rosa Villarreal,events@gracechurchelpaso.org,Altar Guild Notes,286,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0035,list_diabetes_ed,regular,sent,Music Director Notes,Grace Church Office,office@gracechurchelpaso.org,Music Director Notes,206,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0036,list_clinic_vol,regular,sent,Piano Tuning Reminder,Grace Church Office,office@gracechurchelpaso.org,Piano Tuning Reminder,290,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0037,list_youth,regular,sent,Directory Update,Pastor David Henning,pastor@gracechurchelpaso.org,Directory Update,282,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0038,list_wellness_clients,regular,sent,Photo Directory Photos Due,Deacon Ruth,events@gracechurchelpaso.org,Photo Directory Photos Due,309,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0039,list_grief,regular,sent,Christmas Caroling Sign-up,Pastor David Henning,pastor@gracechurchelpaso.org,Christmas Caroling Sign-up,185,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0040,list_committee,regular,sent,Poinsettia Order Deadline,Pastor David Henning,pastor@gracechurchelpaso.org,Poinsettia Order Deadline,211,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0041,list_prayer,regular,sent,Cemetery Care Reminder,Deacon Maria,events@gracechurchelpaso.org,Cemetery Care Reminder,289,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0042,list_council,regular,sent,Annual Meeting Notice,Matt Coleman,matt.coleman@gracechurchelpaso.org,Annual Meeting Notice,253,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0043,list_committee,regular,sent,Budget Review,Pastor David Henning,pastor@gracechurchelpaso.org,Budget Review,318,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0044,list_committee,regular,sent,Financial Report,Rosa Villarreal,events@gracechurchelpaso.org,Financial Report,180,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0045,list_choir,regular,sent,Wellness Room Notes,Grace Church Office,office@gracechurchelpaso.org,Wellness Room Notes,182,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0046,list_prayer,regular,sent,Curandera Practice Update,Matt Coleman,matt.coleman@gracechurchelpaso.org,Curandera Practice Update,266,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0047,list_prayer,regular,sent,Herbal Preparation Workshop,Matt Coleman,matt.coleman@gracechurchelpaso.org,Herbal Preparation Workshop,326,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0048,list_congregation,regular,sent,Community Healers Gathering,Deacon Maria,events@gracechurchelpaso.org,Community Healers Gathering,293,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0049,list_wellness_clients,regular,sent,Prayer Shawl Ministry,Deacon Maria,events@gracechurchelpaso.org,Prayer Shawl Ministry,180,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0050,list_committee,regular,sent,Cookbook Sales,Grace Church Office,office@gracechurchelpaso.org,Cookbook Sales,255,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0051,list_council,regular,sent,Youth Camp Registration,Deacon Maria,events@gracechurchelpaso.org,Youth Camp Registration,200,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0052,list_prayer,regular,sent,Retreat Sign-up,Deacon Maria,events@gracechurchelpaso.org,Retreat Sign-up,338,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
cp_0053,list_wellness_clients,regular,sent,Baptism Class,Deacon Maria,events@gracechurchelpaso.org,Baptism Class,210,2026-01-04T15:00:00Z,2026-01-04T14:00:00Z
