id,name,company,from_name,from_email,subject,member_count,unsubscribe_count,date_created
list_congregation,Grace Community Church Congregation,Grace Community Church,Grace Community Church,office@gracechurchelpaso.org,Grace Church Weekly Newsletter,324,12,2019-01-15
list_holiday_rsvp,Holiday 2026 RSVP List,Grace Community Church,Matt Coleman,matt.coleman@gracechurchelpaso.org,Holiday 2026 Updates,188,3,2026-09-01
list_wellness_clients,Curandera Practice Clients,Matt Coleman Curandera,Matt Coleman,matt.coleman@Finthesiss.ai,Wellness Practice Notes,42,1,2023-03-15
list_council,Church Council Members,Grace Community Church,Grace Church Council,council@gracechurchelpaso.org,Council Notices,9,0,2020-06-01
list_committee,Holiday Events Committee,Grace Community Church,Matt Coleman,events@gracechurchelpaso.org,Committee Updates,12,0,2026-08-15
list_prayer,Prayer Chain,Grace Community Church,Deacon Ruth,ruth.aguirre@gracechurchelpaso.org,Prayer Chain,67,2,2018-05-20
list_youth,Youth Group Families,Grace Community Church,Deacon Maria,maria.solis@gracechurchelpaso.org,Youth Updates,48,1,2019-09-01
list_choir,Church Choir,Grace Community Church,Music Director,music@gracechurchelpaso.org,Choir Notes,22,0,2018-01-10
list_clinic_vol,Eastside Clinic Volunteers,Eastside Community Clinic,Volunteer Coordinator,volunteers@eastsideclinic.org,Volunteer Schedule,34,2,2015-06-01
list_diabetes_ed,Diabetes Education Group,Eastside Community Clinic,Matt Coleman,matt.coleman@eastsideclinic.org,Diabetes Ed Updates,58,4,2016-03-15
list_grief,Grief Support Ministry,Grace Community Church,Deacon Ruth,ruth.aguirre@gracechurchelpaso.org,Grief Support Notices,23,1,2022-06-01
list_directory,Church Directory,Grace Community Church,Grace Church Office,office@gracechurchelpaso.org,Directory Update,334,15,2019-01-15
