id,display_name,given_name,surname,email,job_title,company,mobile_phone
oc_001,Denise Holt,Denise,Holt,denise.holt@lakeviewmedical.org,Nurse Manager,Lakeview Medical Center,937-555-0440
oc_002,Natasha Okonkwo,Natasha,Okonkwo,natasha.okonkwo@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-0267
oc_003,HR Department,,,hr@lakeviewmedical.org,,Lakeview Medical Center,
oc_004,Scheduling,,,scheduling@lakeviewmedical.org,,Lakeview Medical Center,
oc_005,Dr. Anita Patel,Anita,Patel,dr.patel@ketteringhealth.org,PCP,Kettering Health,937-555-0601
oc_006,Dr. Brian Fox,Brian,Fox,dr.fox@ketteringdental.com,DDS,Kettering Dental,937-555-0602
oc_0100,Staff Member 0,Staff,Member{i},staff0@lakeviewmedical.org,NP,Lakeview Medical Center,937-555-2694
oc_0101,Staff Member 1,Staff,Member{i},staff1@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-8522
oc_0102,Staff Member 2,Staff,Member{i},staff2@lakeviewmedical.org,PA,Lakeview Medical Center,937-555-3010
oc_0103,Staff Member 3,Staff,Member{i},staff3@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-3323
oc_0104,Staff Member 4,Staff,Member{i},staff4@lakeviewmedical.org,LPN,Lakeview Medical Center,937-555-5292
oc_0105,Staff Member 5,Staff,Member{i},staff5@lakeviewmedical.org,CNA,Lakeview Medical Center,937-555-2520
oc_0106,Staff Member 6,Staff,Member{i},staff6@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-9097
oc_0107,Staff Member 7,Staff,Member{i},staff7@lakeviewmedical.org,Admin,Lakeview Medical Center,937-555-6921
oc_0108,Staff Member 8,Staff,Member{i},staff8@lakeviewmedical.org,Admin,Lakeview Medical Center,937-555-4407
oc_0109,Staff Member 9,Staff,Member{i},staff9@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-2649
oc_0110,Staff Member 10,Staff,Member{i},staff10@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-1359
oc_0111,Staff Member 11,Staff,Member{i},staff11@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-2205
oc_0112,Staff Member 12,Staff,Member{i},staff12@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-2250
oc_0113,Staff Member 13,Staff,Member{i},staff13@lakeviewmedical.org,CNA,Lakeview Medical Center,937-555-7879
oc_0114,Staff Member 14,Staff,Member{i},staff14@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-6137
oc_0115,Staff Member 15,Staff,Member{i},staff15@lakeviewmedical.org,NP,Lakeview Medical Center,937-555-8387
oc_0116,Staff Member 16,Staff,Member{i},staff16@lakeviewmedical.org,Admin,Lakeview Medical Center,937-555-3639
oc_0117,Staff Member 17,Staff,Member{i},staff17@lakeviewmedical.org,CNA,Lakeview Medical Center,937-555-5894
oc_0118,Staff Member 18,Staff,Member{i},staff18@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-3927
oc_0119,Staff Member 19,Staff,Member{i},staff19@lakeviewmedical.org,NP,Lakeview Medical Center,937-555-1515
oc_0120,Staff Member 20,Staff,Member{i},staff20@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-6616
oc_0121,Staff Member 21,Staff,Member{i},staff21@lakeviewmedical.org,LPN,Lakeview Medical Center,937-555-8928
oc_0122,Staff Member 22,Staff,Member{i},staff22@lakeviewmedical.org,PA,Lakeview Medical Center,937-555-9953
oc_0123,Staff Member 23,Staff,Member{i},staff23@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-3595
oc_0124,Staff Member 24,Staff,Member{i},staff24@lakeviewmedical.org,PA,Lakeview Medical Center,937-555-5169
oc_0125,Staff Member 25,Staff,Member{i},staff25@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-4159
oc_0126,Staff Member 26,Staff,Member{i},staff26@lakeviewmedical.org,PA,Lakeview Medical Center,937-555-1484
oc_0127,Staff Member 27,Staff,Member{i},staff27@lakeviewmedical.org,PA,Lakeview Medical Center,937-555-1377
oc_0128,Staff Member 28,Staff,Member{i},staff28@lakeviewmedical.org,PA,Lakeview Medical Center,937-555-9384
oc_0129,Staff Member 29,Staff,Member{i},staff29@lakeviewmedical.org,Admin,Lakeview Medical Center,937-555-3496
oc_0130,Staff Member 30,Staff,Member{i},staff30@lakeviewmedical.org,CNA,Lakeview Medical Center,937-555-6978
oc_0131,Staff Member 31,Staff,Member{i},staff31@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-4554
oc_0132,Staff Member 32,Staff,Member{i},staff32@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-6366
oc_0133,Staff Member 33,Staff,Member{i},staff33@lakeviewmedical.org,CNA,Lakeview Medical Center,937-555-4600
oc_0134,Staff Member 34,Staff,Member{i},staff34@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-3073
oc_0135,Staff Member 35,Staff,Member{i},staff35@lakeviewmedical.org,LPN,Lakeview Medical Center,937-555-5483
oc_0136,Staff Member 36,Staff,Member{i},staff36@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-4264
oc_0137,Staff Member 37,Staff,Member{i},staff37@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-6710
oc_0138,Staff Member 38,Staff,Member{i},staff38@lakeviewmedical.org,NP,Lakeview Medical Center,937-555-5822
oc_0139,Staff Member 39,Staff,Member{i},staff39@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-9123
oc_0140,Staff Member 40,Staff,Member{i},staff40@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-9399
oc_0141,Staff Member 41,Staff,Member{i},staff41@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-4163
oc_0142,Staff Member 42,Staff,Member{i},staff42@lakeviewmedical.org,LPN,Lakeview Medical Center,937-555-3833
oc_0143,Staff Member 43,Staff,Member{i},staff43@lakeviewmedical.org,CNA,Lakeview Medical Center,937-555-5605
oc_0144,Staff Member 44,Staff,Member{i},staff44@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-2685
oc_0145,Staff Member 45,Staff,Member{i},staff45@lakeviewmedical.org,PA,Lakeview Medical Center,937-555-6105
oc_0146,Staff Member 46,Staff,Member{i},staff46@lakeviewmedical.org,CNA,Lakeview Medical Center,937-555-4372
oc_0147,Staff Member 47,Staff,Member{i},staff47@lakeviewmedical.org,NP,Lakeview Medical Center,937-555-8992
oc_0148,Staff Member 48,Staff,Member{i},staff48@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-8309
oc_0149,Staff Member 49,Staff,Member{i},staff49@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-5451
oc_0150,Staff Member 50,Staff,Member{i},staff50@lakeviewmedical.org,Admin,Lakeview Medical Center,937-555-6222
oc_0151,Staff Member 51,Staff,Member{i},staff51@lakeviewmedical.org,PA,Lakeview Medical Center,937-555-2762
oc_0152,Staff Member 52,Staff,Member{i},staff52@lakeviewmedical.org,PA,Lakeview Medical Center,937-555-7275
oc_0153,Staff Member 53,Staff,Member{i},staff53@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-4272
oc_0154,Staff Member 54,Staff,Member{i},staff54@lakeviewmedical.org,PA,Lakeview Medical Center,937-555-6782
oc_0155,Staff Member 55,Staff,Member{i},staff55@lakeviewmedical.org,LPN,Lakeview Medical Center,937-555-2052
oc_0156,Staff Member 56,Staff,Member{i},staff56@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-3740
oc_0157,Staff Member 57,Staff,Member{i},staff57@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-9378
oc_0158,Staff Member 58,Staff,Member{i},staff58@lakeviewmedical.org,LPN,Lakeview Medical Center,937-555-7714
oc_0159,Staff Member 59,Staff,Member{i},staff59@lakeviewmedical.org,LPN,Lakeview Medical Center,937-555-9691
oc_0160,Staff Member 60,Staff,Member{i},staff60@lakeviewmedical.org,LPN,Lakeview Medical Center,937-555-7525
oc_0161,Staff Member 61,Staff,Member{i},staff61@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-2878
oc_0162,Staff Member 62,Staff,Member{i},staff62@lakeviewmedical.org,CNA,Lakeview Medical Center,937-555-6286
oc_0163,Staff Member 63,Staff,Member{i},staff63@lakeviewmedical.org,MD,Lakeview Medical Center,937-555-4046
oc_0164,Staff Member 64,Staff,Member{i},staff64@lakeviewmedical.org,LPN,Lakeview Medical Center,937-555-5019
oc_0165,Staff Member 65,Staff,Member{i},staff65@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-4525
oc_0166,Staff Member 66,Staff,Member{i},staff66@lakeviewmedical.org,NP,Lakeview Medical Center,937-555-7089
oc_0167,Staff Member 67,Staff,Member{i},staff67@lakeviewmedical.org,LPN,Lakeview Medical Center,937-555-3376
oc_0168,Staff Member 68,Staff,Member{i},staff68@lakeviewmedical.org,Admin,Lakeview Medical Center,937-555-6151
oc_0169,Staff Member 69,Staff,Member{i},staff69@lakeviewmedical.org,RN,Lakeview Medical Center,937-555-1157
oc_0170,Staff Member 70,Staff,Member{i},staff70@lakeviewmedical.org,LPN,Lakeview Medical Center,937-555-1178
oc_0171,Staff Member 71,Staff,Member{i},staff71@lakeviewmedical.org,NP,Lakeview Medical Center,937-555-6388
oc_0172,Staff Member 72,Staff,Member{i},staff72@lakeviewmedical.org,CNA,Lakeview Medical Center,937-555-8624
oc_0173,Staff Member 73,Staff,Member{i},staff73@lakeviewmedical.org,PA,Lakeview Medical Center,937-555-6268
