id,first_name,last_name,email,phone,company,title,source,created_at
CAN001,Fritz,Rush,fritz.rush@Finthesiss.ai,+1-404-555-0101,Glenwood College PID,PID Fellow PGY-6,Self-tracking,2026-06-01T09:00:00Z
CAN002,Reference,Candidate2,ref-candidate-2@example.com,+1-800-555-1002,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN003,Reference,Candidate3,ref-candidate-3@example.com,+1-800-555-1003,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN004,Reference,Candidate4,ref-candidate-4@example.com,+1-800-555-1004,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN005,Reference,Candidate5,ref-candidate-5@example.com,+1-800-555-1005,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN006,Reference,Candidate6,ref-candidate-6@example.com,+1-800-555-1006,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN007,Reference,Candidate7,ref-candidate-7@example.com,+1-800-555-1007,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN008,Reference,Candidate8,ref-candidate-8@example.com,+1-800-555-1008,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN009,Reference,Candidate9,ref-candidate-9@example.com,+1-800-555-1009,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN010,Reference,Candidate10,ref-candidate-10@example.com,+1-800-555-1010,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN011,Reference,Candidate11,ref-candidate-11@example.com,+1-800-555-1011,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN012,Reference,Candidate12,ref-candidate-12@example.com,+1-800-555-1012,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN013,Reference,Candidate13,ref-candidate-13@example.com,+1-800-555-1013,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN014,Reference,Candidate14,ref-candidate-14@example.com,+1-800-555-1014,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN015,Reference,Candidate15,ref-candidate-15@example.com,+1-800-555-1015,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN016,Reference,Candidate16,ref-candidate-16@example.com,+1-800-555-1016,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN017,Reference,Candidate17,ref-candidate-17@example.com,+1-800-555-1017,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN018,Reference,Candidate18,ref-candidate-18@example.com,+1-800-555-1018,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN019,Reference,Candidate19,ref-candidate-19@example.com,+1-800-555-1019,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN020,Reference,Candidate20,ref-candidate-20@example.com,+1-800-555-1020,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN021,Reference,Candidate21,ref-candidate-21@example.com,+1-800-555-1021,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN022,Reference,Candidate22,ref-candidate-22@example.com,+1-800-555-1022,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN023,Reference,Candidate23,ref-candidate-23@example.com,+1-800-555-1023,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN024,Reference,Candidate24,ref-candidate-24@example.com,+1-800-555-1024,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN025,Reference,Candidate25,ref-candidate-25@example.com,+1-800-555-1025,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN026,Reference,Candidate26,ref-candidate-26@example.com,+1-800-555-1026,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN027,Reference,Candidate27,ref-candidate-27@example.com,+1-800-555-1027,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN028,Reference,Candidate28,ref-candidate-28@example.com,+1-800-555-1028,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN029,Reference,Candidate29,ref-candidate-29@example.com,+1-800-555-1029,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN030,Reference,Candidate30,ref-candidate-30@example.com,+1-800-555-1030,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN031,Reference,Candidate31,ref-candidate-31@example.com,+1-800-555-1031,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN032,Reference,Candidate32,ref-candidate-32@example.com,+1-800-555-1032,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN033,Reference,Candidate33,ref-candidate-33@example.com,+1-800-555-1033,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN034,Reference,Candidate34,ref-candidate-34@example.com,+1-800-555-1034,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
CAN035,Reference,Candidate35,ref-candidate-35@example.com,+1-800-555-1035,Reference Institution,Reference,Peer benchmark,2025-08-01T09:00:00Z
