Date	Member_ID	Member	Type	Amount	Method	Balance_After
2025-10-04	BCC-015	Owen Brady	Dues	50.00	Cash	2505.00
2025-10-04	BCC-021	Frank Mendez	Dues	50.00	Cash	2555.00
2025-10-10		Ridgemont Community Center	Room rental Oct	-120.00	Check	2435.00
2025-10-11		Fall Classic	Entry fees collected	375.00	Cash	2810.00
2025-10-11		Trophy and supplies	Fall Classic awards	-210.00	Check	2600.00
2025-11-05	BCC-028	Bianca Russo	Dues	50.00	Card	2650.00
2025-11-05	BCC-031	Raj Malhotra	Dues	50.00	Card	2700.00
2025-11-10		Ridgemont Community Center	Room rental Nov	-120.00	Check	2580.00
2025-12-03	BCC-036	Karl Brenner	Dues	50.00	Cash	2630.00
2025-12-10		Ridgemont Community Center	Room rental Dec	-120.00	Check	2510.00
2026-01-07	BCC-005	Walter Boyd	Dues	50.00	Cash	2560.00
2026-01-07	BCC-006	Dennis Pruitt	Dues	50.00	Cash	2610.00
2026-01-07	BCC-008	Harold Quinn	Dues	50.00	Cash	2660.00
2026-01-10		Ridgemont Community Center	Room rental Jan	-120.00	Check	2540.00
2026-01-14	BCC-011	Greg Olsen	Dues	50.00	Card	2590.00
2026-01-21	BCC-024	Mateo Silva	Dues	50.00	Card	2640.00
2026-02-04	BCC-038	Pavlo Hrytsenko	Dues	50.00	Cash	2690.00
2026-02-04		Boards and clocks	Replacement sets	-90.00	Card	2600.00
2026-02-10		Ridgemont Community Center	Room rental Feb	-120.00	Check	2480.00
2026-02-11	BCC-040	Margaret Shaw	Dues	50.00	Cash	2530.00
