employee_id,employee_name,entity_code,role,annual_salary_sek,bamboohr_present,skatteverket_tax_filing_present,badge_entries_last_180d,vpn_sessions_last_180d,gusto_present,hire_date,salary_bank_iban,forensic_flag
E-1201,Erik Lindstrom,VG-SE1,Senior Analyst,780000,true,true,142,168,true,2019-03-14,SE89 3000 001201 0000 1201,
E-1202,Katarina Andersson,VG-SE1,Controller,860000,true,true,156,141,true,2018-08-22,SE89 3000 001202 0000 1202,
E-1203,Lars Fredriksson,VG-SE2,Operations Lead,720000,true,true,138,155,true,2020-01-11,SE89 3000 001203 0000 1203,
E-1487,Anna Berg,VG-SE4,Consultant,620000,true,false,0,0,true,2022-11-04,SE45 8000 0811 9600 0000 0118,GHOST_no_footprint
E-1488,Magnus Ohlin,VG-SE4,Sales,690000,true,true,144,132,true,2021-06-30,SE89 3000 001488 0000 1488,
E-1489,Sofia Lundgren,VG-SE4,HR Partner,710000,true,true,159,161,true,2019-11-27,SE89 3000 001489 0000 1489,
E-1520,Karl Bergstrom,VG-SE5,Engineer,820000,true,true,148,177,true,2017-05-12,SE89 3000 001520 0000 1520,
E-1602,Nils Andersson,VG-SE2,Analyst,560000,true,true,141,163,true,2021-02-18,SE89 3000 001602 0000 1602,
E-1618,Emma Sjostrand,VG-SE2,Sales,640000,true,true,152,145,true,2020-09-08,SE89 3000 001618 0000 1618,
E-1622,Johan Karlsson,VG-SE2,Consultant,540000,true,false,0,0,true,2023-01-16,SE45 8000 0811 9600 0000 0118,GHOST_no_footprint
E-1623,Rebecka Molin,VG-SE2,Product Manager,780000,true,true,164,171,true,2018-04-05,SE89 3000 001623 0000 1623,
E-1701,Peter Nilsson,VG-SE1,Director,1120000,true,true,168,187,true,2015-08-14,SE89 3000 001701 0000 1701,
E-1704,Petra Nyman,VG-SE1,Analyst,480000,true,false,0,0,true,2023-05-22,EE47 2200 2210 2014 5685,GHOST_no_footprint
E-1710,Helena Sjoholm,VG-SE1,Senior Consultant,890000,true,true,151,158,true,2016-12-03,SE89 3000 001710 0000 1710,
E-1804,Marcus Lindqvist,VG-EE1,Regional Lead,940000,true,true,102,148,true,2019-07-18,SE89 3000 001804 0000 1804,
E-1810,Jaan Tamm,VG-EE1,Analyst,410000,true,true,118,124,true,2021-11-05,SE89 3000 001810 0000 1810,
E-1811,Mikael Sjoberg,VG-EE1,Consultant,760000,true,false,0,0,true,2022-08-09,EE47 2200 2210 2014 5685,GHOST_no_footprint
E-1812,Kristina Roos,VG-EE1,Operations,520000,true,true,127,132,true,2020-03-27,SE89 3000 001812 0000 1812,
E-1901,Fredrik Wallin,VG-SE3,Head of Ops,1240000,true,true,171,192,true,2014-02-11,SE89 3000 001901 0000 1901,
E-1930,Ida Bergman,VG-SE3,Analyst,510000,true,true,144,151,true,2022-01-24,SE89 3000 001930 0000 1930,
E-1931,Alexander Berg,VG-SE3,Sales,660000,true,true,148,157,true,2020-06-15,SE89 3000 001931 0000 1931,
E-1932,Sara Lindberg,VG-SE3,Consultant,720000,true,false,0,0,true,2023-03-12,SE12 6000 0000 0007 1520 152,GHOST_no_footprint
E-1933,Oskar Ekstrom,VG-SE3,Engineer,820000,true,true,159,166,true,2018-10-08,SE89 3000 001933 0000 1933,
E-2011,Anders Lundmark,VG-SE6,VP Finance,1420000,true,true,175,194,true,2013-04-22,SE89 3000 002011 0000 2011,
E-2012,Charlotte Ohlsson,VG-SE6,Controller,910000,true,true,161,148,true,2017-09-16,SE89 3000 002012 0000 2012,
E-2101,Andreas Ekstrand,VG-SE7,COO,1580000,true,true,178,192,true,2012-11-30,SE89 3000 002101 0000 2101,
E-2205,Lisa Bergman,VG-SE8,Operations,690000,true,true,142,151,true,2019-08-14,SE89 3000 002205 0000 2205,
E-2314,Henrik Johansson,VG-SE9,Senior Analyst,780000,true,true,151,168,true,2018-01-11,SE89 3000 002314 0000 2314,
E-2415,Camilla Petterson,VG-SE10,Product Lead,910000,true,true,158,171,true,2016-05-27,SE89 3000 002415 0000 2415,
E-2516,Viktor Sjogren,VG-SE11,Engineer,820000,true,true,148,164,true,2020-02-04,SE89 3000 002516 0000 2516,
E-3407,Tobias Falk,VG-SE7,Consultant,680000,true,true,3,2,true,2023-09-01,SE12 6000 0000 0007 1520 152,GHOST_subtle_thin_footprint
E-3408,Rikard Ahlberg,VG-EE1,Consultant,690000,true,true,4,1,true,2023-09-01,EE47 2200 2210 2014 5685,GHOST_subtle_thin_footprint
E-3409,Malin Ekstrom,VG-SE4,Analyst,560000,true,true,2,3,true,2023-09-01,SE45 8000 0811 9600 0000 0118,GHOST_subtle_thin_footprint
E-5000,Erik Jansson,VG-SE10,Senior Analyst,718000,true,true,176,186,true,2016-02-14,SE89 3000 005001 0000 5001,
E-5001,Johanna Roos,VG-EE1,Operations,615000,true,true,174,163,true,2017-10-06,SE89 3000 005002 0000 5002,
E-5002,Karin Larsson,VG-SE10,Product Manager,855000,true,true,137,129,true,2022-11-17,SE89 3000 005003 0000 5003,
E-5003,Andreas Eriksson,VG-SE2,Senior Analyst,757000,true,true,183,173,true,2013-01-15,SE89 3000 005004 0000 5004,
E-5004,Nils Olsson,VG-SE7,Director,1042000,true,true,180,132,true,2024-09-26,SE89 3000 005005 0000 5005,
E-5005,Leo Pettersson,VG-SE4,Director,1253000,true,true,164,159,true,2015-05-21,SE89 3000 005006 0000 5006,
E-5006,Tobias Sjoberg,VG-SE14,Controller,844000,true,true,111,165,true,2013-08-06,SE89 3000 005007 0000 5007,
E-5007,Viktor Lindqvist,VG-SE5,HR Partner,734000,true,true,113,155,true,2015-04-15,SE89 3000 005008 0000 5008,
E-5008,Martin Gustafsson,VG-SE4,Analyst,550000,true,true,134,115,true,2016-05-23,SE89 3000 005009 0000 5009,
E-5009,Sofia Olsson,VG-EE1,Controller,880000,true,true,159,168,true,2021-02-25,SE89 3000 005010 0000 5010,
E-5010,Josefin Jonsson,VG-SE11,Consultant,739000,true,true,124,127,true,2016-06-26,SE89 3000 005011 0000 5011,
E-5011,Sara Roos,VG-SE3,Product Manager,800000,true,true,101,151,true,2019-11-05,SE89 3000 005012 0000 5012,
E-5012,Elin Palmberg,VG-SE9,Controller,883000,true,true,174,188,true,2020-06-23,SE89 3000 005013 0000 5013,
E-5013,Camilla Eriksson,VG-SE7,Product Manager,929000,true,true,100,196,true,2022-01-09,SE89 3000 005014 0000 5014,
E-5014,Malin Ekstrom,VG-SE1,Director,988000,true,true,156,129,true,2018-06-19,SE89 3000 005015 0000 5015,
E-5015,Marcus Andersson,VG-SE2,Operations,644000,true,true,144,192,true,2017-01-03,SE89 3000 005016 0000 5016,
E-5016,Martin Lindqvist,VG-SE10,Sales,722000,true,true,140,178,true,2024-08-12,SE89 3000 005017 0000 5017,
E-5017,Tobias Tamm,VG-SE6,HR Partner,674000,true,true,185,186,true,2019-08-04,SE89 3000 005018 0000 5018,
E-5018,Wilma Lindqvist,VG-SE9,Controller,942000,true,true,122,129,true,2023-12-13,SE89 3000 005019 0000 5019,
E-5019,Cecilia Bengtsson,VG-SE6,Controller,839000,true,true,109,140,true,2016-11-11,SE89 3000 005020 0000 5020,
E-5020,Leo Sjoberg,VG-SE14,Engineer,645000,true,true,155,127,true,2013-08-24,SE89 3000 005021 0000 5021,
E-5021,Elin Karlsson,VG-SE1,Sales,681000,true,true,139,196,true,2023-06-16,SE89 3000 005022 0000 5022,
E-5022,Cecilia Lundgren,VG-SE1,Analyst,554000,true,true,117,169,true,2016-03-18,SE89 3000 005023 0000 5023,
E-5023,Hugo Hansson,VG-SE6,Product Manager,737000,true,true,141,140,true,2021-12-15,SE89 3000 005024 0000 5024,
E-5024,Johanna Tamm,VG-SE7,Operations,669000,true,true,186,191,true,2020-07-04,SE89 3000 005025 0000 5025,
E-5025,Klara Hansen,VG-SE1,Controller,810000,true,true,151,172,true,2022-12-04,SE89 3000 005026 0000 5026,
E-5026,Charlotte Svensson,VG-SE12,Operations,514000,true,true,118,108,true,2020-10-28,SE89 3000 005027 0000 5027,
E-5027,Viktor Jansson,VG-SE1,Sales,734000,true,true,177,137,true,2018-10-13,SE89 3000 005028 0000 5028,
E-5028,Axel Sandberg,VG-SE5,Controller,947000,true,true,161,129,true,2024-04-21,SE89 3000 005029 0000 5029,
E-5029,Sofia Lindberg,VG-SE10,Sales,736000,true,true,126,110,true,2017-10-12,SE89 3000 005030 0000 5030,
E-5030,Johanna Sjoberg,VG-SE1,Product Manager,879000,true,true,180,132,true,2021-10-22,SE89 3000 005031 0000 5031,
E-5031,Henrik Roos,VG-SE13,Senior Analyst,771000,true,true,112,111,true,2021-12-21,SE89 3000 005032 0000 5032,
E-5032,Henrik Larsson,VG-SE1,Consultant,774000,true,true,163,123,true,2017-02-02,SE89 3000 005033 0000 5033,
