courseId,userId,fullName,emailAddress,photoUrl
course-ceu-0,provider-ceu,CEU Provider,provider@ceu.example.com,
course-ceu-1,provider-ceu,CEU Provider,provider@ceu.example.com,
course-ceu-2,provider-ceu,CEU Provider,provider@ceu.example.com,
course-ceu-3,provider-ceu,CEU Provider,provider@ceu.example.com,
course-ceu-4,provider-ceu,CEU Provider,provider@ceu.example.com,
course-ceu-5,provider-ceu,CEU Provider,provider@ceu.example.com,
course-ceu-6,provider-ceu,CEU Provider,provider@ceu.example.com,
course-ceu-7,provider-ceu,CEU Provider,provider@ceu.example.com,
course-ceu-8,provider-ceu,CEU Provider,provider@ceu.example.com,
course-ceu-9,provider-ceu,CEU Provider,provider@ceu.example.com,
course-ceu-0,teacher-0,Instructor 0,instructor0@ceu.example.com,
course-ceu-1,teacher-1,Instructor 1,instructor1@ceu.example.com,
course-ceu-2,teacher-2,Instructor 2,instructor2@ceu.example.com,
course-ceu-3,teacher-3,Instructor 3,instructor3@ceu.example.com,
course-ceu-4,teacher-4,Instructor 4,instructor4@ceu.example.com,
course-ceu-5,teacher-5,Instructor 5,instructor5@ceu.example.com,
course-ceu-6,teacher-6,Instructor 6,instructor6@ceu.example.com,
course-ceu-7,teacher-7,Instructor 7,instructor7@ceu.example.com,
course-ceu-8,teacher-8,Instructor 8,instructor8@ceu.example.com,
course-ceu-9,teacher-9,Instructor 9,instructor9@ceu.example.com,
course-ceu-0,teacher-10,Instructor 10,instructor10@ceu.example.com,
course-ceu-1,teacher-11,Instructor 11,instructor11@ceu.example.com,
course-ceu-2,teacher-12,Instructor 12,instructor12@ceu.example.com,
course-ceu-3,teacher-13,Instructor 13,instructor13@ceu.example.com,
course-ceu-4,teacher-14,Instructor 14,instructor14@ceu.example.com,
course-ceu-5,teacher-15,Instructor 15,instructor15@ceu.example.com,
course-ceu-6,teacher-16,Instructor 16,instructor16@ceu.example.com,
course-ceu-7,teacher-17,Instructor 17,instructor17@ceu.example.com,
course-ceu-8,teacher-18,Instructor 18,instructor18@ceu.example.com,
course-ceu-9,teacher-19,Instructor 19,instructor19@ceu.example.com,
course-ceu-0,teacher-20,Instructor 20,instructor20@ceu.example.com,
course-ceu-1,teacher-21,Instructor 21,instructor21@ceu.example.com,
course-ceu-2,teacher-22,Instructor 22,instructor22@ceu.example.com,
course-ceu-3,teacher-23,Instructor 23,instructor23@ceu.example.com,
course-ceu-4,teacher-24,Instructor 24,instructor24@ceu.example.com,
course-ceu-5,teacher-25,Instructor 25,instructor25@ceu.example.com,
course-ceu-6,teacher-26,Instructor 26,instructor26@ceu.example.com,
course-ceu-7,teacher-27,Instructor 27,instructor27@ceu.example.com,
course-ceu-8,teacher-28,Instructor 28,instructor28@ceu.example.com,
course-ceu-9,teacher-29,Instructor 29,instructor29@ceu.example.com,
course-ceu-0,teacher-30,Instructor 30,instructor30@ceu.example.com,
course-ceu-1,teacher-31,Instructor 31,instructor31@ceu.example.com,
course-ceu-2,teacher-32,Instructor 32,instructor32@ceu.example.com,
course-ceu-3,teacher-33,Instructor 33,instructor33@ceu.example.com,
course-ceu-4,teacher-34,Instructor 34,instructor34@ceu.example.com,
course-ceu-5,teacher-35,Instructor 35,instructor35@ceu.example.com,
course-ceu-6,teacher-36,Instructor 36,instructor36@ceu.example.com,
course-ceu-7,teacher-37,Instructor 37,instructor37@ceu.example.com,
course-ceu-8,teacher-38,Instructor 38,instructor38@ceu.example.com,
course-ceu-9,teacher-39,Instructor 39,instructor39@ceu.example.com,
course-ceu-0,teacher-40,Instructor 40,instructor40@ceu.example.com,
course-ceu-1,teacher-41,Instructor 41,instructor41@ceu.example.com,
course-ceu-2,teacher-42,Instructor 42,instructor42@ceu.example.com,
course-ceu-3,teacher-43,Instructor 43,instructor43@ceu.example.com,
course-ceu-4,teacher-44,Instructor 44,instructor44@ceu.example.com,
course-ceu-5,teacher-45,Instructor 45,instructor45@ceu.example.com,
course-ceu-6,teacher-46,Instructor 46,instructor46@ceu.example.com,
course-ceu-7,teacher-47,Instructor 47,instructor47@ceu.example.com,
course-ceu-8,teacher-48,Instructor 48,instructor48@ceu.example.com,
course-ceu-9,teacher-49,Instructor 49,instructor49@ceu.example.com,
course-ceu-0,teacher-50,Instructor 50,instructor50@ceu.example.com,
course-ceu-1,teacher-51,Instructor 51,instructor51@ceu.example.com,
course-ceu-2,teacher-52,Instructor 52,instructor52@ceu.example.com,
course-ceu-3,teacher-53,Instructor 53,instructor53@ceu.example.com,
course-ceu-4,teacher-54,Instructor 54,instructor54@ceu.example.com,
course-ceu-5,teacher-55,Instructor 55,instructor55@ceu.example.com,
course-ceu-6,teacher-56,Instructor 56,instructor56@ceu.example.com,
course-ceu-7,teacher-57,Instructor 57,instructor57@ceu.example.com,
course-ceu-8,teacher-58,Instructor 58,instructor58@ceu.example.com,
course-ceu-9,teacher-59,Instructor 59,instructor59@ceu.example.com,
course-ceu-0,teacher-60,Instructor 60,instructor60@ceu.example.com,
course-ceu-1,teacher-61,Instructor 61,instructor61@ceu.example.com,
course-ceu-2,teacher-62,Instructor 62,instructor62@ceu.example.com,
course-ceu-3,teacher-63,Instructor 63,instructor63@ceu.example.com,
course-ceu-4,teacher-64,Instructor 64,instructor64@ceu.example.com,
course-ceu-5,teacher-65,Instructor 65,instructor65@ceu.example.com,
course-ceu-6,teacher-66,Instructor 66,instructor66@ceu.example.com,
course-ceu-7,teacher-67,Instructor 67,instructor67@ceu.example.com,
course-ceu-8,teacher-68,Instructor 68,instructor68@ceu.example.com,
course-ceu-9,teacher-69,Instructor 69,instructor69@ceu.example.com,
course-ceu-0,teacher-70,Instructor 70,instructor70@ceu.example.com,
course-ceu-1,teacher-71,Instructor 71,instructor71@ceu.example.com,
course-ceu-2,teacher-72,Instructor 72,instructor72@ceu.example.com,
course-ceu-3,teacher-73,Instructor 73,instructor73@ceu.example.com,
course-ceu-4,teacher-74,Instructor 74,instructor74@ceu.example.com,
course-ceu-5,teacher-75,Instructor 75,instructor75@ceu.example.com,
course-ceu-6,teacher-76,Instructor 76,instructor76@ceu.example.com,
course-ceu-7,teacher-77,Instructor 77,instructor77@ceu.example.com,
course-ceu-8,teacher-78,Instructor 78,instructor78@ceu.example.com,
course-ceu-9,teacher-79,Instructor 79,instructor79@ceu.example.com,
course-ceu-0,teacher-80,Instructor 80,instructor80@ceu.example.com,
course-ceu-1,teacher-81,Instructor 81,instructor81@ceu.example.com,
course-ceu-2,teacher-82,Instructor 82,instructor82@ceu.example.com,
course-ceu-3,teacher-83,Instructor 83,instructor83@ceu.example.com,
course-ceu-4,teacher-84,Instructor 84,instructor84@ceu.example.com,
course-ceu-5,teacher-85,Instructor 85,instructor85@ceu.example.com,
course-ceu-6,teacher-86,Instructor 86,instructor86@ceu.example.com,
course-ceu-7,teacher-87,Instructor 87,instructor87@ceu.example.com,
course-ceu-8,teacher-88,Instructor 88,instructor88@ceu.example.com,
course-ceu-9,teacher-89,Instructor 89,instructor89@ceu.example.com,
course-ceu-0,teacher-90,Instructor 90,instructor90@ceu.example.com,
course-ceu-1,teacher-91,Instructor 91,instructor91@ceu.example.com,
course-ceu-2,teacher-92,Instructor 92,instructor92@ceu.example.com,
course-ceu-3,teacher-93,Instructor 93,instructor93@ceu.example.com,
course-ceu-4,teacher-94,Instructor 94,instructor94@ceu.example.com,
course-ceu-5,teacher-95,Instructor 95,instructor95@ceu.example.com,
course-ceu-6,teacher-96,Instructor 96,instructor96@ceu.example.com,
course-ceu-7,teacher-97,Instructor 97,instructor97@ceu.example.com,
course-ceu-8,teacher-98,Instructor 98,instructor98@ceu.example.com,
course-ceu-9,teacher-99,Instructor 99,instructor99@ceu.example.com,
