volunteer_name,role_preference,shirt_size,shirt_style,availability_am,availability_pm,event_assignment,parking_pass_needed,dietary,accessibility_needs,emergency_contact_on_file,orientation_complete,years_volunteering,notes
Deborah Kessler,Registration lead,M,crew-neck,Y,Y,both,Y,none,none,Y,Y,5,Has the master sign-in binder; trains new greeters
Grace Okonkwo,Hospitality,L,crew-neck,Y,Y,both,Y,vegetarian,none,Y,Y,7,Coordinates coffee urns and welcome table
Nathan Beal,Youth greeter,XL,crew-neck,Y,N,meal,N,none,none,Y,Y,5,Leaves by noon for youth group
Priya Ramaswamy,Partner welcome table,S,v-neck,Y,Y,both,Y,gluten-free,none,Y,Y,3,Speaks Hindi + Telugu; greets partner reps
Alicia Nwosu,Photo & social,M,crew-neck,N,Y,fair,N,none,none,Y,Y,3,Get media consent before posting faces; drafts only until Ben signs off
Marcus Trulove,A/V + site desk,L,crew-neck,Y,Y,both,Y,none,none,Y,Y,4,Runs the on-site coverage laptop; church-site work only
Renee Okafor,General volunteer (applicant),M,crew-neck,Y,Y,unassigned,N,vegan,none,N,N,0,Application pending Pastor Crawford approval; do not schedule until advanced and approved
Tom Alvarez,Setup crew (applicant),XL,crew-neck,Y,N,unassigned,Y,none,none,N,N,0,Application pending Pastor Crawford approval; do not schedule until advanced and approved
Harold Simms,-,L,crew-neck,N,N,none,N,none,none,Y,Y,9,On leave; listed for shirt count only
Keisha Board,Kitchen help,M,crew-neck,Y,Y,meal,N,none,none,Y,Y,5,ServSafe certified; confirmed for meal event only
Devon Pratt,Setup & parking,XL,crew-neck,Y,Y,both,Y,none,none,Y,Y,3,Leads setup crew; needs the loading-dock pass
Anthony Delgado,Accessibility marshal,XL,crew-neck,Y,Y,both,Y,none,none,Y,Y,2,Coordinates ramp + ASL; point of contact for access requests
Yolanda Reese,Donation table,M,v-neck,Y,Y,both,N,none,uses reading glasses,Y,Y,8,Staffs voluntary donation table; registration itself is free
Miriam Cho,Prayer & care,S,v-neck,Y,N,fair,N,none,none,Y,Y,7,Opt-in prayer follow-up only
Louis Ferreira,Meal floor lead,L,crew-neck,Y,Y,meal,Y,none,none,Y,Y,6,Runs meal floor plan; coordinates food sourcing
Gabriel Osei,Data desk,L,crew-neck,N,Y,fair,N,none,none,Y,Y,2,Tracks live signups vs capacity; reports numbers only
Serena Whitfield,Floater / notes,M,v-neck,Y,Y,both,N,none,none,Y,Y,3,Records attendance counts for the committee log
Tanya Bright,Greeter,S,crew-neck,Y,Y,both,N,vegetarian,none,Y,Y,1,New greeter; pair with Deborah first shift
Isaiah Monroe,Youth helper,M,crew-neck,Y,N,meal,N,none,none,Y,Y,1,Under-18 waiver on file; works alongside Nathan
Carol Nkemelu,Kitchen help,L,crew-neck,Y,Y,meal,N,none,none,Y,Y,4,Backup for Keisha
