Name	Role	Location	Status	Annual pay or rate	Start year
Yusuf Erdogan	Head chef	Main Street	Salaried	50000	2014
Osman Celik	Head chef	Wayne	Salaried	48000	2021
Derya Aksoy	Front of house manager	Wayne	Salaried	45000	2021
Line cook 1	Line cook	Main Street	Hourly	18.50	2018
Line cook 2	Line cook	Main Street	Hourly	17.00	2022
Server 1	Server	Main Street	Hourly plus tips	11.00	2019
Server 2	Server	Main Street	Hourly plus tips	11.00	2021
Server 3	Server	Main Street	Hourly plus tips	11.00	2023
Busser	Busser	Main Street	Hourly plus tips	11.00	2024
Dishwasher	Dishwasher	Main Street	Hourly	15.50	2020
Cashier and host	Cashier	Main Street	Hourly	15.00	2022
Emre Rivera	Busser, part time	Main Street	Hourly	11.00	2024
Line cook 3	Line cook	Wayne	Hourly	18.00	2021
Line cook 4	Line cook	Wayne	Hourly	16.50	2023
Server 4	Server	Wayne	Hourly plus tips	11.00	2021
Server 5	Server	Wayne	Hourly plus tips	11.00	2022
Prep cook	Prep	Wayne	Hourly	16.00	2022
Dishwasher 2	Dishwasher	Wayne	Hourly	15.50	2021
