record_id,rsvp_status,tier_code,tier_name,guest_name,party_size,table_assignment,dietary_notes,confirmed_by,confirm_date,sponsor_tier,notes
FG-0001,confirmed,BRD,Board Member +1,Robert Mitchell,1,Table 01,dairy-free,Eventbrite,2026-09-19,,
FG-0002,confirmed,BRD,Board Member +1,Tara McGrath,1,Table 01,,Eventbrite,2026-09-12,,
FG-0003,confirmed,BRD,Board Member +1,Michelle Stewart,2,Table 01,,Eventbrite,2026-09-20,,
FG-0004,confirmed,BRD,Board Member +1,Julia Abbott,2,Table 01,kosher,Eventbrite,2026-09-23,,
FG-0005,confirmed,BRD,Board Member +1,Abel Evans,2,Table 01,dairy-free,Eventbrite,2026-09-24,,
FG-0006,confirmed,BRD,Board Member +1,Sofia Richardson,1,Table 01,,Eventbrite,2026-10-01,,
FG-0007,confirmed,BRD,Board Member +1,Owen Green,1,Table 01,,Eventbrite,2026-09-27,,
FG-0008,confirmed,BRD,Board Member +1,Alan Evans,2,Table 02,,Eventbrite,2026-09-27,,
FG-0009,confirmed,BRD,Board Member +1,William Wilcox,1,Table 02,standard,Eventbrite,2026-09-18,,
FG-0010,confirmed,BRD,Board Member +1,Cynthia Edwards,1,Table 02,,Eventbrite,2026-09-09,,
FG-0011,confirmed,BRD,Board Member +1,Abel Ross,1,Table 02,,Eventbrite,2026-09-23,,
FG-0012,confirmed,BRD,Board Member +1,William Yang,1,Table 02,gluten-free,Eventbrite,2026-09-11,,
FG-0013,confirmed,BRD,Board Member +1,Rita Cook,1,Table 02,,Eventbrite,2026-09-16,,
FG-0014,confirmed,BRD,Board Member +1,Aria Phillips,2,Table 02,dairy-free,Eventbrite,2026-09-28,,
FG-0015,confirmed,CNL,Council Colleague,Richard Delacroix,1,Table 02,,Eventbrite,2026-09-25,,
FG-0016,confirmed,CNL,Council Colleague,Diana Kim,1,Table 03,dairy-free,Eventbrite,2026-09-29,,
FG-0017,confirmed,CNL,Council Colleague,Bruno Cox,1,Table 03,,Eventbrite,2026-09-10,,
FG-0018,confirmed,CNL,Council Colleague,Emily Reyes,1,Table 03,standard,Eventbrite,2026-09-27,,
FG-0019,confirmed,CNL,Council Colleague,Kelvin Katz,1,Table 03,gluten-free,Eventbrite,2026-09-06,,
FG-0020,confirmed,CNL,Council Colleague,Isla Bracken,2,Table 03,,Eventbrite,2026-10-02,,
FG-0021,confirmed,CNL,Council Colleague,Rick Bhatia,1,Table 03,kosher,Eventbrite,2026-09-28,,
FG-0022,confirmed,CNL,Council Colleague,Amy Reyes,1,Table 03,,Eventbrite,2026-09-23,,
FG-0023,confirmed,CNL,Council Colleague,Edward Price,2,Table 03,standard,Eventbrite,2026-09-14,,
FG-0024,confirmed,CNL,Council Colleague,Cesar Rojas,2,Table 04,,Eventbrite,2026-09-26,,
FG-0025,confirmed,CNL,Council Colleague,Dora Cook,1,Table 04,,Eventbrite,2026-09-05,,
FG-0026,confirmed,CNL,Council Colleague,Cynthia Bracken,1,Table 04,,Eventbrite,2026-09-18,,
FG-0027,no-response,CNL,Council Colleague,[3 invited unconfirmed],-,-,-,Eventbrite,-,-,3 invited did not respond by Oct 3 cutoff
FG-0028,confirmed,SPN,Corporate Sponsor,Robert Kowalski,2,Table 04,dairy-free,Eventbrite,2026-09-24,Platinum,Diana Kowalski's husband; Platinum sponsor confirmed
FG-0029,confirmed,SPN,Corporate Sponsor,Marla Morrison,2,Table 04,,Eventbrite,2026-09-06,Gold,Rick Morrison's family - Gold sponsor confirmed
FG-0030,confirmed,SPN,Corporate Sponsor,Thomas Marisa,2,Table 04,kosher,Eventbrite,2026-09-11,Silver,
FG-0031,confirmed,SPN,Corporate Sponsor,Emily Mitchell,2,Table 04,standard,Eventbrite,2026-09-16,Platinum,
FG-0032,confirmed,SPN,Corporate Sponsor,Aria Hoffman,2,Table 05,standard,Eventbrite,2026-09-07,Platinum,
FG-0033,confirmed,SPN,Corporate Sponsor,Cesar Powell,1,Table 05,,Eventbrite,2026-09-21,Gold,
FG-0034,confirmed,SPN,Corporate Sponsor,Deborah Delacroix,1,Table 05,,Eventbrite,2026-09-26,Silver,
FG-0035,confirmed,SPN,Corporate Sponsor,Mark Stewart,2,Table 05,,Eventbrite,2026-09-12,Gold,
FG-0036,confirmed,SPN,Corporate Sponsor,Beverly Vasquez,1,Table 05,,Eventbrite,2026-09-25,Platinum,
FG-0037,confirmed,SPN,Corporate Sponsor,David Katz,1,Table 05,,Eventbrite,2026-09-29,Gold,
FG-0038,confirmed,SPN,Corporate Sponsor,James Watson,2,Table 05,,Eventbrite,2026-09-16,Gold,
FG-0039,confirmed,SPN,Corporate Sponsor,Abel Wilcox,1,Table 05,standard,Eventbrite,2026-09-28,Silver,
FG-0040,confirmed,SPN,Corporate Sponsor,Nathan Marisa,2,Table 06,,Eventbrite,2026-09-13,Gold,
FG-0041,confirmed,SPN,Corporate Sponsor,Colin Alvarez,1,Table 06,standard,Eventbrite,2026-09-21,Silver,
FG-0042,confirmed,SPN,Corporate Sponsor,Elena Mitchell,2,Table 06,kosher,Eventbrite,2026-09-30,Silver,
FG-0043,confirmed,SPN,Corporate Sponsor,Barbara Hart,1,Table 06,,Eventbrite,2026-09-20,Silver,
FG-0044,confirmed,SPN,Corporate Sponsor,Anthony Bright,2,Table 06,standard,Eventbrite,2026-09-10,Gold,
FG-0045,confirmed,SPN,Corporate Sponsor,Katherine Pierce,1,Table 06,,Eventbrite,2026-09-26,Gold,
FG-0046,confirmed,SPN,Corporate Sponsor,Priscilla James,2,Table 06,,Eventbrite,2026-09-13,Platinum,
FG-0047,confirmed,SPN,Corporate Sponsor,Isla Collins,2,Table 06,dairy-free,Eventbrite,2026-09-29,Platinum,
FG-0048,confirmed,SPN,Corporate Sponsor,Elena Ross,1,Table 07,standard,Eventbrite,2026-09-30,Silver,
FG-0049,confirmed,SPN,Corporate Sponsor,Vera Campbell,2,Table 07,,Eventbrite,2026-09-07,Silver,
FG-0050,confirmed,SPN,Corporate Sponsor,James Alvarez,2,Table 07,,Eventbrite,2026-09-08,Platinum,
FG-0051,confirmed,SPN,Corporate Sponsor,Dora Reed,1,Table 07,,Eventbrite,2026-09-29,Gold,
FG-0052,confirmed,SPN,Corporate Sponsor,Wendy Thompson,2,Table 07,,Eventbrite,2026-09-07,Silver,
FG-0053,confirmed,SPN,Corporate Sponsor,Grant Reed,1,Table 07,standard,Eventbrite,2026-09-10,Gold,
FG-0054,confirmed,SPN,Corporate Sponsor,Ronald Bright,1,Table 07,,Eventbrite,2026-09-22,Silver,
FG-0055,confirmed,SPN,Corporate Sponsor,Dora Ellis,1,Table 07,,Eventbrite,2026-09-15,Platinum,
FG-0056,no-response,SPN,Corporate Sponsor,[7 invited unconfirmed],-,-,-,Eventbrite,-,-,7 invited did not respond by Oct 3 cutoff
FG-0057,confirmed,VLA,Volunteer Alumni,Sofia Phillips,1,Table 08,,Eventbrite,2026-09-29,,
FG-0058,confirmed,VLA,Volunteer Alumni,Andrew Kelly,2,Table 08,standard,Eventbrite,2026-09-19,,
FG-0059,confirmed,VLA,Volunteer Alumni,Diana Wilson,2,Table 08,,Eventbrite,2026-09-13,,
FG-0060,confirmed,VLA,Volunteer Alumni,Marisol Campbell,2,Table 08,,Eventbrite,2026-09-10,,
FG-0061,confirmed,VLA,Volunteer Alumni,Angelique Kowalski,2,Table 08,,Eventbrite,2026-09-11,,
FG-0062,confirmed,VLA,Volunteer Alumni,Vera Gill,1,Table 08,standard,Eventbrite,2026-09-17,,
FG-0063,confirmed,VLA,Volunteer Alumni,Owen Gill,1,Table 08,standard,Eventbrite,2026-09-05,,
FG-0064,confirmed,VLA,Volunteer Alumni,Beth Parker,1,Table 09,,Eventbrite,2026-09-20,,
FG-0065,confirmed,VLA,Volunteer Alumni,Jasmine Baker,2,Table 09,,Eventbrite,2026-09-19,,
FG-0066,confirmed,VLA,Volunteer Alumni,Michelle Rojas,1,Table 09,,Eventbrite,2026-09-10,,
FG-0067,confirmed,VLA,Volunteer Alumni,Kevin Roberts,1,Table 09,,Eventbrite,2026-09-27,,
FG-0068,confirmed,VLA,Volunteer Alumni,Vera Wilson,2,Table 09,,Eventbrite,2026-09-19,,
FG-0069,confirmed,VLA,Volunteer Alumni,Joshua Alvarez,1,Table 09,standard,Eventbrite,2026-09-22,,
FG-0070,confirmed,VLA,Volunteer Alumni,Colin Reyes,2,Table 09,,Eventbrite,2026-09-22,,
FG-0071,confirmed,VLA,Volunteer Alumni,Paige Sanchez,2,Table 09,standard,Eventbrite,2026-09-25,,
FG-0072,confirmed,VLA,Volunteer Alumni,Umberto Mitchell,1,Table 10,,Eventbrite,2026-09-28,,
FG-0073,confirmed,VLA,Volunteer Alumni,Michael Barnes,2,Table 10,,Eventbrite,2026-09-30,,
FG-0074,confirmed,VLA,Volunteer Alumni,Kevin Richardson,1,Table 10,,Eventbrite,2026-09-30,,
FG-0075,confirmed,VLA,Volunteer Alumni,Ezra Nakamura,1,Table 10,dairy-free,Eventbrite,2026-09-09,,
FG-0076,confirmed,VLA,Volunteer Alumni,Priscilla Yang,2,Table 10,,Eventbrite,2026-09-22,,
FG-0077,confirmed,VLA,Volunteer Alumni,Jennifer Green,2,Table 10,,Eventbrite,2026-09-14,,
FG-0078,confirmed,VLA,Volunteer Alumni,Salvador Ross,1,Table 10,kosher,Eventbrite,2026-10-02,,
FG-0079,confirmed,VLA,Volunteer Alumni,Deborah Chen,1,Table 10,vegetarian,Eventbrite,2026-09-12,,
FG-0080,confirmed,VLA,Volunteer Alumni,Ezra Sanchez,2,Table 11,dairy-free,Eventbrite,2026-09-17,,
FG-0081,confirmed,VLA,Volunteer Alumni,Steven Phillips,2,Table 11,,Eventbrite,2026-09-29,,
FG-0082,confirmed,VLA,Volunteer Alumni,Sam Wood,1,Table 11,vegetarian,Eventbrite,2026-10-02,,
FG-0083,confirmed,VLA,Volunteer Alumni,Aria Baker,1,Table 11,standard,Eventbrite,2026-09-30,,
FG-0084,confirmed,VLA,Volunteer Alumni,Rita Ross,1,Table 11,,Eventbrite,2026-09-30,,
FG-0085,confirmed,VLA,Volunteer Alumni,Trevor Kim,1,Table 11,,Eventbrite,2026-09-25,,
FG-0086,confirmed,VLA,Volunteer Alumni,Ronald Sen,1,Table 11,gluten-free,Eventbrite,2026-09-25,,
FG-0087,confirmed,VLA,Volunteer Alumni,Nathan Bell,2,Table 11,,Eventbrite,2026-09-29,,
FG-0088,confirmed,VLA,Volunteer Alumni,Jason Sullivan,2,Table 12,gluten-free,Eventbrite,2026-09-08,,
FG-0089,confirmed,VLA,Volunteer Alumni,Yolanda Gray,1,Table 12,,Eventbrite,2026-09-13,,
FG-0090,confirmed,VLA,Volunteer Alumni,Kevin Wilcox,2,Table 12,,Eventbrite,2026-09-09,,
FG-0091,confirmed,VLA,Volunteer Alumni,Oscar Wilson,2,Table 12,,Eventbrite,2026-09-07,,
FG-0092,confirmed,VLA,Volunteer Alumni,Reggie Vasquez,1,Table 12,,Eventbrite,2026-09-05,,
FG-0093,confirmed,VLA,Volunteer Alumni,Judith Nelson,1,Table 12,,Eventbrite,2026-09-22,,
FG-0094,confirmed,VLA,Volunteer Alumni,Terrence Kelly,1,Table 12,standard,Eventbrite,2026-09-06,,
FG-0095,confirmed,VLA,Volunteer Alumni,Colin Barnes,1,Table 12,,Eventbrite,2026-09-18,,
