snapshot_id,week_start,employee_id,employee_name,location,location_code,role,accrual_rate_hrs_per_week,balance_start_hrs,accrued_hrs,used_hrs,balance_end_hrs,request_status,notes
PTO-0001,2026-07-06,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,50.80,2.20,0,53.00,-,
PTO-0002,2026-07-13,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,53.00,2.20,0,55.20,-,
PTO-0003,2026-07-20,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,55.20,2.20,0,57.40,-,
PTO-0004,2026-07-27,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,57.40,2.20,0,59.60,-,
PTO-0005,2026-08-03,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,59.60,2.20,0,61.80,-,
PTO-0006,2026-08-10,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,61.80,2.20,0,64.00,-,
PTO-0007,2026-08-17,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,64.00,2.20,0,66.20,-,
PTO-0008,2026-08-24,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,66.20,2.20,0,68.40,-,
PTO-0009,2026-08-31,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,68.40,2.20,0,70.60,-,
PTO-0010,2026-09-07,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,70.60,2.20,0,72.80,-,
PTO-0011,2026-09-14,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,72.80,2.20,8,67.00,approved,sick day - Sam covered by Marisol
PTO-0012,2026-09-21,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,67.00,2.20,0,69.20,-,
PTO-0013,2026-09-28,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,69.20,2.20,0,71.40,-,
PTO-0014,2026-10-05,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,71.40,2.20,0,73.60,-,
PTO-0015,2026-10-12,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,73.60,2.20,0,75.80,-,
PTO-0016,2026-10-19,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,75.80,2.20,0,78.00,-,
PTO-0017,2026-10-26,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,78.00,2.20,0,80.20,-,
PTO-0018,2026-11-02,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,80.20,2.20,0,82.40,-,
PTO-0019,2026-11-09,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,82.40,2.20,0,84.60,-,
PTO-0020,2026-11-16,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,84.60,2.20,0,86.80,-,
PTO-0021,2026-11-23,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,86.80,2.20,0,89.00,-,
PTO-0022,2026-11-30,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,89.00,2.20,0,91.20,-,
PTO-0023,2026-12-07,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,91.20,2.20,0,93.40,-,
PTO-0024,2026-12-14,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,93.40,2.20,0,95.60,-,
PTO-0025,2026-12-21,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,95.60,2.20,0,97.80,-,
PTO-0026,2026-12-28,E-101,Sam Abbott,Greenfield Fuel & Market,GF,Store Manager,2.20,97.80,2.20,0,100.00,-,
PTO-0027,2026-07-06,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,28.70,1.65,0,30.35,-,
