id,name,login,role,status,language,timezone,space_amount,space_used,max_upload_size,job_title,phone,created_at
11446498,Brian Henderson,brian.henderson@voissync.ai,admin,active,en,America/New_York,53687091200,8400000000,5368709120,Biostatistician,,2024-10-18T14:47:28+00:00
11500000,Mark Stevens,mark.stevens@gmail.com,user,active,en,America/New_York,10737418240,800000000,5368709120,"Senior Biostatistician, Windbridge Partners, Cambridge MA",+16175550245,2026-02-26T16:28:28+00:00
11500013,Sarah Henderson,sarah.henderson.design@gmail.com,user,active,en,America/New_York,10737418240,850000000,5368709120,"Freelance graphic designer, Cambridge MA",+16175550134,2026-03-11T10:48:23+00:00
11500026,Robert Henderson,henderson.hardware@gmail.com,user,active,en,America/New_York,10737418240,900000000,5368709120,"Owner, Henderson Hardware, Stamford CT",+12035550156,2025-11-13T07:09:58+00:00
11500039,Patricia Henderson,patricia.henderson.ct@gmail.com,user,active,en,America/New_York,10737418240,950000000,5368709120,"Middle school English teacher, Stamford CT",+12035550167,2025-12-27T16:57:57+00:00
11500052,Dorothy Henderson,,user,active,en,America/New_York,10737418240,1000000000,5368709120,Family member,,2025-12-01T09:03:42+00:00
11500065,Scott Henderson,scott.henderson.law@gmail.com,user,active,en,America/New_York,10737418240,1050000000,5368709120,"Law student, Windham Institute",+12035550178,2025-11-21T23:48:36+00:00
11500078,Mike Torres,mike.torres.data@gmail.com,user,active,en,America/New_York,10737418240,1100000000,5368709120,"Data scientist, Blackthorn Corp, Somerville MA",+16175550189,2026-03-06T21:01:17+00:00
11500091,James Cooper,j.cooper@gmail.com,user,active,en,America/New_York,10737418240,1150000000,5368709120,"Reproductive Endocrinologist, Boston IVF",+16175550198,2026-03-30T18:58:45+00:00
11500104,Thomas Walsh,,user,active,en,America/New_York,10737418240,1200000000,5368709120,"Primary Care Physician, Hickoryville Healthcare, Cambridge MA",+16175550205,2025-02-19T21:39:17+00:00
11500117,Lisa Cheng,dr.cheng@gmail.com,user,active,en,America/New_York,10737418240,1250000000,5368709120,"Psychiatrist, telemedicine",,2025-11-06T01:35:05+00:00
11500130,Karen Miller,k.miller@gmail.com,user,active,en,America/New_York,10737418240,1300000000,5368709120,Therapist,,2025-01-14T16:00:07+00:00
