Name	Relation	Phone	Email	Channel
Marco Cruz	Husband	(718) 555-0134	marco.cruz.dev@gmail.com	Text and call
Roberto Cruz (Papa)	Father	(718) 555-0156	none	Call and WhatsApp
Elena Cruz (Mama)	Mother	(718) 555-0157	none	Call only
Miguel Cruz	Brother	(347) 555-0178	miguel.cruz.cpa@gmail.com	Text and call
Dr. Patricia Garcia	Colleague and friend	(212) 555-0193	patricia.garcia.md@gmail.com	Text and call
Carmen Lopez	Practice manager	(718) 555-0215	carmen.lopez@gmail.com	Text, call, email
Maria Santos	Medical assistant	(718) 555-0228	none	Text
Jennifer Liu	Billing specialist	(718) 555-0239	jliu.billing@gmail.com	Email
Ana Bernal	Receptionist and translator	(718) 555-0327	none	Text
Natalie Perez	Friend	(347) 555-0247	natalie.perez.esq@gmail.com	Text and WhatsApp
Dr. Richard Hensley	Mount Sinai supervisor	(212) 555-0261	rhensley@mssm.edu	Email
Dr. Arun Mehta	Papa cardiologist	(718) 555-0289	none	Office phone
Pastor Thomas Rivera	St. Michael's	(718) 555-0318	pastor.thomas@gmail.com	Call
