id,createdTime,Name,Email,Phone,RSVPStatus,Skill,Notes,SignupTask
recVol0000000001,2026-09-03T12:07:00.000Z,Tasha Williams,twilliams@gmail.com,(267) 802-2990,Yes,Plumbing assist,Bringing a wheelbarrow.,drain_irrigation
recVol0000000002,2026-09-05T15:14:00.000Z,Marcus Greer,marcus_greer2@gmail.com,484-276-5150,Yes,Translation,"First time volunteer, can arrive by 8.",drain_irrigation
recVol0000000003,2026-09-07T18:21:00.000Z,Aisha Patel,aishap@yahoo.com,+1 610 864 0407,Yes,Kid wrangling,Will park on Trenton Ave.,drain_irrigation
recVol0000000004,2026-09-09T21:28:00.000Z,Daniel O'Sullivan,daniel.osullivan14@protonmail.com,+18563968719,Yes,Outreach,"Allergic to bee stings, has Epi.",drain_irrigation
recVol0000000005,2026-09-12T00:35:00.000Z,Jenny Nguyen,jenny.nguyen@outlook.com,215.263.9252,Yes,First aid,Vegetarian for lunch please.,drain_irrigation
recVol0000000006,2026-09-14T03:42:00.000Z,Reggie Brooks,rbrooks@aol.com,(267) 288-5646,Yes,Sign making,Coming with teen son who counts as helper.,drain_irrigation
recVol0000000007,2026-09-16T06:49:00.000Z,Sofia Castellanos,sofia_castellanos7@gmail.com,215-724-8343,Yes,Tool maintenance,Has truck if hauling needed.,drain_irrigation
recVol0000000008,2026-09-17T09:56:00.000Z,Brendan Murphy,brendanm@gmail.com,+1 267 827 5784,Yes,Food prep,Knows basic Spanish.,drain_irrigation
recVol0000000009,2026-09-19T12:03:00.000Z,Layla Hassan,layla.hassan19@gmail.com,+14846088336,Yes,Compost turning,"Strong back, weak knees.",tarps
recVol0000000010,2026-09-21T15:10:00.000Z,Tyrell Foster,tyrell.foster@yahoo.com,610.363.2954,Yes,Hauling,Confirmed via text Thursday.,tarps
recVol0000000011,2026-09-23T18:17:00.000Z,Mei Lin,mlin@protonmail.com,(856) 684-7223,Yes,Photography,Lives two blocks away.,tarps
recVol0000000012,2026-09-25T21:24:00.000Z,Kwame Adeyemi,kwame_adeyemi12@outlook.com,215-698-9653,Yes,General labor,Bringing extra gloves.,tarps
