id,customer,subscription,amount_due,amount_paid,currency,status,number,charge,created,due_date
in_1140,cus_who_global,,220000,220000,usd,paid,WHO-2026-Q1,STR-CHRG-1140,1739620800,1739620800
in_1207,cus_unicef_esa,,180000,180000,usd,paid,UNICEF-2026-Q1,STR-CHRG-1207,1743120000,1743120000
in_1355,cus_unicef_esa,,250000,250000,usd,paid,UNICEF-2026-Q2,STR-CHRG-1355,1750534800,1750534800
in_1489,cus_unicef_esa,,150000,150000,usd,paid,UNICEF-2026-Q3,STR-CHRG-1489,1758290400,1758290400
in_1501,cus_unicef_esa,,40000,40000,usd,paid,STUB-1,STR-CHRG-1501,1704867200,1704867200
in_1502,cus_who_global,,50000,50000,usd,paid,STUB-2,STR-CHRG-1502,1705667200,1705667200
in_1503,cus_unicef_esa,,40000,40000,usd,paid,STUB-3,STR-CHRG-1503,1706467200,1706467200
in_1504,cus_who_global,,50000,50000,usd,paid,STUB-4,STR-CHRG-1504,1707267200,1707267200
in_1505,cus_unicef_esa,,40000,40000,usd,paid,STUB-5,STR-CHRG-1505,1708067200,1708067200
in_1506,cus_who_global,,50000,50000,usd,paid,STUB-6,STR-CHRG-1506,1708867200,1708867200
in_1507,cus_unicef_esa,,40000,40000,usd,paid,STUB-7,STR-CHRG-1507,1709667200,1709667200
in_1508,cus_who_global,,50000,50000,usd,paid,STUB-8,STR-CHRG-1508,1710467200,1710467200
in_1509,cus_unicef_esa,,40000,40000,usd,paid,STUB-9,STR-CHRG-1509,1711267200,1711267200
in_1510,cus_who_global,,50000,50000,usd,paid,STUB-10,STR-CHRG-1510,1712067200,1712067200
in_1511,cus_unicef_esa,,40000,40000,usd,paid,STUB-11,STR-CHRG-1511,1712867200,1712867200
in_1512,cus_who_global,,50000,50000,usd,paid,STUB-12,STR-CHRG-1512,1713667200,1713667200
in_1513,cus_unicef_esa,,40000,40000,usd,paid,STUB-13,STR-CHRG-1513,1714467200,1714467200
in_1514,cus_who_global,,50000,50000,usd,paid,STUB-14,STR-CHRG-1514,1715267200,1715267200
in_1515,cus_unicef_esa,,40000,40000,usd,paid,STUB-15,STR-CHRG-1515,1716067200,1716067200
in_1516,cus_who_global,,50000,50000,usd,paid,STUB-16,STR-CHRG-1516,1716867200,1716867200
in_1517,cus_unicef_esa,,40000,40000,usd,paid,STUB-17,STR-CHRG-1517,1717667200,1717667200
in_1518,cus_who_global,,50000,50000,usd,paid,STUB-18,STR-CHRG-1518,1718467200,1718467200
in_1519,cus_unicef_esa,,40000,40000,usd,paid,STUB-19,STR-CHRG-1519,1719267200,1719267200
in_1520,cus_who_global,,50000,50000,usd,paid,STUB-20,STR-CHRG-1520,1720067200,1720067200
in_1521,cus_unicef_esa,,40000,40000,usd,paid,STUB-21,STR-CHRG-1521,1720867200,1720867200
in_1522,cus_who_global,,50000,50000,usd,paid,STUB-22,STR-CHRG-1522,1721667200,1721667200
in_1523,cus_unicef_esa,,40000,40000,usd,paid,STUB-23,STR-CHRG-1523,1722467200,1722467200
in_1524,cus_who_global,,50000,50000,usd,paid,STUB-24,STR-CHRG-1524,1723267200,1723267200
in_1525,cus_unicef_esa,,40000,40000,usd,paid,STUB-25,STR-CHRG-1525,1724067200,1724067200
in_1526,cus_who_global,,50000,50000,usd,paid,STUB-26,STR-CHRG-1526,1724867200,1724867200
in_1527,cus_unicef_esa,,40000,40000,usd,paid,STUB-27,STR-CHRG-1527,1725667200,1725667200
in_1528,cus_who_global,,50000,50000,usd,paid,STUB-28,STR-CHRG-1528,1726467200,1726467200
in_1529,cus_unicef_esa,,40000,40000,usd,paid,STUB-29,STR-CHRG-1529,1727267200,1727267200
in_1530,cus_who_global,,50000,50000,usd,paid,STUB-30,STR-CHRG-1530,1728067200,1728067200
in_1531,cus_unicef_esa,,40000,40000,usd,paid,STUB-31,STR-CHRG-1531,1728867200,1728867200
in_1532,cus_who_global,,50000,50000,usd,paid,STUB-32,STR-CHRG-1532,1729667200,1729667200
in_1533,cus_unicef_esa,,40000,40000,usd,paid,STUB-33,STR-CHRG-1533,1730467200,1730467200
in_1534,cus_who_global,,50000,50000,usd,paid,STUB-34,STR-CHRG-1534,1731267200,1731267200
in_1535,cus_unicef_esa,,40000,40000,usd,paid,STUB-35,STR-CHRG-1535,1732067200,1732067200
in_1536,cus_who_global,,50000,50000,usd,paid,STUB-36,STR-CHRG-1536,1732867200,1732867200
in_1537,cus_unicef_esa,,40000,40000,usd,paid,STUB-37,STR-CHRG-1537,1733667200,1733667200
in_1538,cus_who_global,,50000,50000,usd,paid,STUB-38,STR-CHRG-1538,1734467200,1734467200
in_1539,cus_unicef_esa,,40000,40000,usd,paid,STUB-39,STR-CHRG-1539,1735267200,1735267200
in_1540,cus_who_global,,50000,50000,usd,paid,STUB-40,STR-CHRG-1540,1736067200,1736067200
in_1541,cus_unicef_esa,,40000,40000,usd,paid,STUB-41,STR-CHRG-1541,1736867200,1736867200
in_1542,cus_who_global,,50000,50000,usd,paid,STUB-42,STR-CHRG-1542,1737667200,1737667200
in_1543,cus_unicef_esa,,40000,40000,usd,paid,STUB-43,STR-CHRG-1543,1738467200,1738467200
in_1544,cus_who_global,,50000,50000,usd,paid,STUB-44,STR-CHRG-1544,1739267200,1739267200
in_1545,cus_unicef_esa,,40000,40000,usd,paid,STUB-45,STR-CHRG-1545,1740067200,1740067200
in_1546,cus_who_global,,50000,50000,usd,paid,STUB-46,STR-CHRG-1546,1740867200,1740867200
in_1547,cus_unicef_esa,,40000,40000,usd,paid,STUB-47,STR-CHRG-1547,1741667200,1741667200
in_1548,cus_who_global,,50000,50000,usd,paid,STUB-48,STR-CHRG-1548,1742467200,1742467200
in_1549,cus_unicef_esa,,40000,40000,usd,paid,STUB-49,STR-CHRG-1549,1743267200,1743267200
in_1550,cus_who_global,,50000,50000,usd,paid,STUB-50,STR-CHRG-1550,1744067200,1744067200
in_1551,cus_unicef_esa,,40000,40000,usd,paid,STUB-51,STR-CHRG-1551,1744867200,1744867200
in_1552,cus_who_global,,50000,50000,usd,paid,STUB-52,STR-CHRG-1552,1745667200,1745667200
in_1553,cus_unicef_esa,,40000,40000,usd,paid,STUB-53,STR-CHRG-1553,1746467200,1746467200
in_1554,cus_who_global,,50000,50000,usd,paid,STUB-54,STR-CHRG-1554,1747267200,1747267200
in_1555,cus_unicef_esa,,40000,40000,usd,paid,STUB-55,STR-CHRG-1555,1748067200,1748067200
in_1556,cus_who_global,,50000,50000,usd,paid,STUB-56,STR-CHRG-1556,1748867200,1748867200
in_1557,cus_unicef_esa,,40000,40000,usd,paid,STUB-57,STR-CHRG-1557,1749667200,1749667200
in_1558,cus_who_global,,50000,50000,usd,paid,STUB-58,STR-CHRG-1558,1750467200,1750467200
in_1559,cus_unicef_esa,,40000,40000,usd,paid,STUB-59,STR-CHRG-1559,1751267200,1751267200
in_1560,cus_who_global,,50000,50000,usd,paid,STUB-60,STR-CHRG-1560,1752067200,1752067200
in_1561,cus_unicef_esa,,40000,40000,usd,paid,STUB-61,STR-CHRG-1561,1752867200,1752867200
in_1562,cus_who_global,,50000,50000,usd,paid,STUB-62,STR-CHRG-1562,1753667200,1753667200
in_1563,cus_unicef_esa,,40000,40000,usd,paid,STUB-63,STR-CHRG-1563,1754467200,1754467200
in_1564,cus_who_global,,50000,50000,usd,paid,STUB-64,STR-CHRG-1564,1755267200,1755267200
in_1565,cus_unicef_esa,,40000,40000,usd,paid,STUB-65,STR-CHRG-1565,1756067200,1756067200
in_1566,cus_who_global,,50000,50000,usd,paid,STUB-66,STR-CHRG-1566,1756867200,1756867200
in_1567,cus_unicef_esa,,40000,40000,usd,paid,STUB-67,STR-CHRG-1567,1757667200,1757667200
in_1568,cus_who_global,,50000,50000,usd,paid,STUB-68,STR-CHRG-1568,1758467200,1758467200
in_1569,cus_unicef_esa,,40000,40000,usd,paid,STUB-69,STR-CHRG-1569,1759267200,1759267200
in_1570,cus_who_global,,50000,50000,usd,paid,STUB-70,STR-CHRG-1570,1760067200,1760067200
in_1571,cus_unicef_esa,,40000,40000,usd,paid,STUB-71,STR-CHRG-1571,1760867200,1760867200
in_1572,cus_who_global,,50000,50000,usd,paid,STUB-72,STR-CHRG-1572,1761667200,1761667200
in_1573,cus_unicef_esa,,40000,40000,usd,paid,STUB-73,STR-CHRG-1573,1762467200,1762467200
in_1574,cus_who_global,,50000,50000,usd,paid,STUB-74,STR-CHRG-1574,1763267200,1763267200
in_1575,cus_unicef_esa,,40000,40000,usd,paid,STUB-75,STR-CHRG-1575,1764067200,1764067200
in_1576,cus_who_global,,50000,50000,usd,paid,STUB-76,STR-CHRG-1576,1764867200,1764867200
in_1577,cus_unicef_esa,,40000,40000,usd,paid,STUB-77,STR-CHRG-1577,1765667200,1765667200
in_1578,cus_who_global,,50000,50000,usd,paid,STUB-78,STR-CHRG-1578,1766467200,1766467200
in_1579,cus_unicef_esa,,40000,40000,usd,paid,STUB-79,STR-CHRG-1579,1767267200,1767267200
in_1580,cus_who_global,,50000,50000,usd,paid,STUB-80,STR-CHRG-1580,1768067200,1768067200
in_1581,cus_unicef_esa,,40000,40000,usd,paid,STUB-81,STR-CHRG-1581,1768867200,1768867200
in_1582,cus_who_global,,50000,50000,usd,paid,STUB-82,STR-CHRG-1582,1769667200,1769667200
in_1583,cus_unicef_esa,,40000,40000,usd,paid,STUB-83,STR-CHRG-1583,1770467200,1770467200
in_1584,cus_who_global,,50000,50000,usd,paid,STUB-84,STR-CHRG-1584,1771267200,1771267200
in_1585,cus_unicef_esa,,40000,40000,usd,paid,STUB-85,STR-CHRG-1585,1772067200,1772067200
