id,email,first_name,last_name,username,role,billing_city,billing_country,date_created,is_paying_customer
wcu_001,tanya.reyburn@gmail.com,Tanya,Reyburn,tanya.r,customer,Columbus,US,2025-04-10T09:00:00-04:00,True
wcu_002,mbrightley74@yahoo.com,Marla,Brightley,mbrightley74,customer,Cincinnati,US,2025-05-14T09:00:00-04:00,True
wcu_003,leah.osgood@icloud.com,Leah,Osgood,leah.o,customer,Toledo,US,2025-06-22T09:00:00-04:00,True
wcu_004,rachaelquade@gmail.com,Rachael,Quade,rachaelq,customer,Dayton,US,2025-07-01T09:00:00-04:00,True
wcu_005,pkendrick.oh@outlook.com,Priscilla,Kendrick,pkendrick,customer,Akron,US,2025-08-19T09:00:00-04:00,True
wcu_006,dana.mcburney@gmail.com,Dana,McBurney,dana.m,customer,Pittsburgh,US,2025-09-05T09:00:00-04:00,True
wcu_007,heather.linley@yahoo.com,Heather,Linley,heather.l,customer,Cleveland,US,2025-09-27T09:00:00-04:00,True
wcu_008,cardellinom@gmail.com,Marisa,Cardellino,cardellinom,customer,Louisville,US,2025-10-14T09:00:00-04:00,True
wcu_009,vera.pettengill@icloud.com,Vera,Pettengill,vera.p,customer,Ann Arbor,US,2025-11-02T09:00:00-04:00,True
wcu_010,shelby.ramaley@gmail.com,Shelby,Ramaley,shelby.r,customer,Indianapolis,US,2025-11-24T09:00:00-04:00,True
wcu_011,ellenwainscott@outlook.com,Ellen,Wainscott,ellenw,customer,Fort Wayne,US,2026-01-19T09:00:00-05:00,True
wcu_012,mona.tibbets@yahoo.com,Mona,Tibbets,mona.t,customer,Erie,US,2026-02-14T09:00:00-05:00,True
wcu_013,jbraden.cbus@gmail.com,Jenny,Braden,jbraden,customer,Columbus,US,2026-03-22T09:00:00-04:00,True
wcu_014,celeste.woodring@icloud.com,Celeste,Woodring,celeste.w,customer,Cincinnati,US,2026-04-11T09:00:00-04:00,True
wcu_015,amberkilgore@gmail.com,Amber,Kilgore,amberk,customer,Toledo,US,2026-05-09T09:00:00-04:00,True
wcu_016,nrudicil.mkt@outlook.com,Nora,Rudicil,nrudicil,customer,Dayton,US,2026-06-27T09:00:00-04:00,True
wcu_017,cassandra.eberle@gmail.com,Cassandra,Eberle,cassandra.e,customer,Akron,US,2026-07-14T09:00:00-04:00,True
wcu_018,lucinda.wray@yahoo.com,Lucinda,Wray,lucinda.w,customer,Cleveland,US,2026-08-30T09:00:00-04:00,True
wcu_019,krisdelacroix@icloud.com,Kristen,Delacroix,krisd,customer,Columbus,US,2026-09-12T09:00:00-04:00,True
wcu_020,parisa.tolentino@gmail.com,Parisa,Tolentino,parisat,customer,Louisville,US,2026-10-19T09:00:00-04:00,True
