id,firstname,lastname,email,phone,jobtitle,company,lifecyclestage,createdate,lastmodifieddate
8001000401,Mike,Henderson,mike.henderson@hendersonranch.com,(541) 555-2963,Owner / Operator,Henderson Ranch,customer,2021-03-04T16:00:00Z,2026-09-22T14:30:00Z
8001000402,Dale,Watson,dale@watson-cattle.example,(541) 555-3120,Owner,Watson Ranch,customer,2020-11-08T18:00:00Z,2026-08-20T19:00:00Z
8001000403,Janek,Krasicki,janek@krasickiranch.example,(541) 555-2845,Owner / Operator,Krasicki Ranch,customer,2020-04-22T15:00:00Z,2026-08-27T18:00:00Z
8001000404,Vendor,Portal (Zoetis),vendororders@zoetis.example,(800) 555-9638,Distributor Notifications,Zoetis Animal Health,vendor,2019-06-12T17:00:00Z,2026-09-18T20:00:00Z
8001000405,Grant,Blackwood,grant@blackwoodcattle.example,(541) 555-4471,Owner / Operator,Blackwood Cattle Co,customer,2022-01-15T16:00:00Z,2026-09-19T11:00:00Z
8001000406,Diane,Mercer,diane@mercerranch.example,(541) 555-3902,Owner,Mercer Family Ranch,customer,2021-08-30T18:00:00Z,2026-09-21T09:00:00Z
8001000407,Roy,Delgado,roy@deltabarranch.example,(541) 555-2218,Owner / Operator,Delta Bar Ranch,customer,2020-09-12T15:00:00Z,2026-09-23T10:00:00Z
8001000408,Pam,Holbrook,,(541) 555-5530,Owner,Holbrook Ranch,customer,2021-05-19T16:00:00Z,2026-09-25T14:00:00Z
8001000409,Curtis,Sanders,curtis@sanderslivestock.example,(541) 555-6677,Owner / Operator,Sanders Livestock,lead,2023-02-08T17:00:00Z,2026-09-25T18:00:00Z
8001000410,Elena,Prieto,elena@prietoheifers.example,(541) 555-7185,Managing Member,Prieto Heifers LLC,customer,2022-11-03T18:00:00Z,2026-09-29T13:00:00Z
8001000411,Hans,Vogel,,(541) 555-8043,Owner,Vogel Cattle,customer,2021-06-27T15:00:00Z,2026-09-30T09:00:00Z
8001000412,Susan,Nichols,susan@nicholsdairy.example,(541) 555-1024,Herd Manager,Nichols Dairy,customer,2019-12-01T17:00:00Z,2026-10-03T11:00:00Z
8001000413,Mike,Henderson,mike@hendersonranch.com,(541) 555-2013,Owner,Henderson Ranch,customer,2020-03-03T16:00:00.000Z,2026-09-14T18:00:00.000Z
8001000414,Dale,Watson,,(541) 555-2026,Owner / Operator,Watson Ranch,customer,2020-10-19T17:00:00.000Z,2026-09-21T14:00:00.000Z
8001000415,Janek,Krasicki,,(541) 555-2039,Herd Manager,Krasicki Ranch,lead,2021-04-04T18:00:00.000Z,2026-09-30T13:00:00.000Z
8001000416,Grant,Blackwood,grant@blackwoodcattle.example,(541) 555-2052,Herd Manager,Blackwood Cattle Co,customer,2024-04-13T18:00:00.000Z,2026-09-19T09:00:00.000Z
8001000417,Diane,Mercer,diane@mercerranch.example,(541) 555-2065,Owner / Operator,Mercer Family Ranch,customer,2023-09-13T18:00:00.000Z,2026-08-10T18:00:00.000Z
8001000418,Roy,Delgado,roy@deltabarranch.example,(541) 555-2078,Herd Manager,Delta Bar Ranch,customer,2023-03-10T16:00:00.000Z,2026-08-20T13:00:00.000Z
8001000419,Pam,Holbrook,,(541) 555-2091,Owner,Holbrook Ranch,customer,2022-05-27T16:00:00.000Z,2026-10-05T10:00:00.000Z
8001000420,Curtis,Sanders,,(541) 555-2104,Owner / Operator,Sanders Livestock,customer,2023-08-23T17:00:00.000Z,2026-09-01T13:00:00.000Z
8001000421,Elena,Prieto,elena@prietoheifers.example,(541) 555-2117,Owner,Prieto Heifers LLC,customer,2022-10-29T17:00:00.000Z,2026-09-11T15:00:00.000Z
8001000422,Hans,Vogel,hans@vogelcattle.example,(541) 555-2130,Owner / Operator,Vogel Cattle,customer,2020-04-03T17:00:00.000Z,2026-08-15T11:00:00.000Z
8001000423,Marco,Ortega,marco@ortegaranch.example,(541) 555-2143,Owner / Operator,Ortega Ranch,customer,2021-11-14T15:00:00.000Z,2026-08-15T16:00:00.000Z
8001000424,Susan,Nichols,,(541) 555-2156,Herd Manager,Nichols Dairy,customer,2024-03-27T15:00:00.000Z,2026-08-24T17:00:00.000Z
8001000425,Travis,Blain,,(541) 555-2169,Owner,Blain Bros Cattle Co,lead,2022-05-06T17:00:00.000Z,2026-08-12T17:00:00.000Z
8001000426,Wade,Foster,wade@crookedrivercattle.example,(541) 555-2182,Owner,Crooked River Cattle,customer,2020-04-05T16:00:00.000Z,2026-09-14T16:00:00.000Z
8001000427,Cody,Mathis,,(541) 555-2195,Herd Manager,High Lonesome Ranch,customer,2022-12-02T18:00:00.000Z,2026-10-01T18:00:00.000Z
8001000428,Rae,Sturgis,rae@juniperhollow.example,(541) 555-2208,Herd Manager,Juniper Hollow Ranch,lead,2020-10-29T15:00:00.000Z,2026-09-25T15:00:00.000Z
8001000429,Dana,Tetherow,dana@tetherowcattle.example,(541) 555-2221,Owner / Operator,Tetherow Cattle Co,customer,2023-11-04T18:00:00.000Z,2026-09-01T13:00:00.000Z
8001000430,Owen,Pruitt,,(541) 555-2234,Herd Manager,Sage Flat Livestock,lead,2022-08-29T16:00:00.000Z,2026-08-29T18:00:00.000Z
8001000431,Lyle,Conway,,(541) 555-2247,Herd Manager,Big Falls Ranch,lead,2023-11-20T16:00:00.000Z,2026-09-01T18:00:00.000Z
8001000432,Garrett,Doyle,garrett@paintedhillscattle.example,(541) 555-2260,Owner / Operator,Painted Hills Cattle,customer,2020-10-24T17:00:00.000Z,2026-09-06T13:00:00.000Z
8001000433,Hank,Mosier,hank@diamondmranch.example,(541) 555-2273,Herd Manager,Diamond M Ranch,lead,2020-03-13T18:00:00.000Z,2026-10-09T13:00:00.000Z
8001000434,Nora,Beckett,nora@wychuscreek.example,(541) 555-2286,Owner,Wychus Creek Ranch,customer,2022-09-03T15:00:00.000Z,2026-09-05T10:00:00.000Z
8001000435,Stu,Harmon,,(541) 555-2299,Herd Manager,Lone Pine Cattle,customer,2020-09-15T16:00:00.000Z,2026-09-29T12:00:00.000Z
8001000436,Greta,Lindqvist,,(541) 555-2312,Owner / Operator,Aspen Valley Ranch,customer,2024-05-27T16:00:00.000Z,2026-09-03T15:00:00.000Z
8001000437,Russ,Calloway,russ@bearcreeklivestock.example,(541) 555-2325,Herd Manager,Bear Creek Livestock,customer,2023-12-16T17:00:00.000Z,2026-09-01T10:00:00.000Z
8001000438,Paul,Okafor,paul@smithrockranch.example,(541) 555-2338,Owner / Operator,Smith Rock Ranch,customer,2021-09-22T15:00:00.000Z,2026-08-07T14:00:00.000Z
8001000439,Mara,Quintana,mara@threesisterscattle.example,(541) 555-2351,Owner / Operator,Three Sisters Cattle,customer,2021-08-10T18:00:00.000Z,2026-09-24T15:00:00.000Z
8001000440,Dell,Yarborough,dell@ochococattle.example,(541) 555-2364,Owner,Ochoco Cattle Co,customer,2024-01-14T17:00:00.000Z,2026-08-08T15:00:00.000Z
8001000441,Cal,Renner,cal@pinemountainranch.example,(541) 555-2377,Owner / Operator,Pine Mountain Ranch,lead,2020-08-04T16:00:00.000Z,2026-09-25T09:00:00.000Z
8001000442,Megan,O'Brien,megan@juniperridgeequine.example,(541) 555-2390,Owner,Juniper Ridge Equine,customer,2021-02-25T17:00:00.000Z,2026-09-11T18:00:00.000Z
8001000443,Joel,Henderson,,(541) 555-2403,Owner,Henderson Ranch,customer,2020-02-01T18:00:00.000Z,2026-09-23T17:00:00.000Z
8001000444,Nina,Watson,nina@watson-cattle.example,(541) 555-2416,Herd Manager,Watson Ranch,customer,2020-10-09T15:00:00.000Z,2026-09-28T13:00:00.000Z
