id,number,status,currency,date_created,total,subtotal,total_tax,customer_id,billing_email,billing_first_name,billing_last_name,payment_method,payment_method_title
wo_bc_3001,3001,completed,USD,2026-11-15T10:22:00-05:00,79.00,79.00,0.00,wcu_001,tanya.reyburn@gmail.com,Tanya,Reyburn,stripe,Credit Card (Stripe)
wo_bc_3002,3002,completed,USD,2026-11-15T14:03:00-05:00,109.00,109.00,0.00,wcu_002,mbrightley74@yahoo.com,Marla,Brightley,stripe,Credit Card (Stripe)
wo_bc_3003,3003,completed,USD,2026-11-16T09:18:00-05:00,65.00,65.00,0.00,wcu_003,leah.osgood@icloud.com,Leah,Osgood,stripe,Credit Card (Stripe)
wo_bc_3004,3004,completed,USD,2026-11-17T11:41:00-05:00,79.00,79.00,0.00,wcu_004,rachaelquade@gmail.com,Rachael,Quade,stripe,Credit Card (Stripe)
wo_bc_3005,3005,completed,USD,2026-11-17T13:12:00-05:00,109.00,109.00,0.00,wcu_005,pkendrick.oh@outlook.com,Priscilla,Kendrick,stripe,Credit Card (Stripe)
wo_bc_3006,3006,completed,USD,2026-11-18T08:29:00-05:00,158.00,158.00,0.00,wcu_006,dana.mcburney@gmail.com,Dana,McBurney,stripe,Credit Card (Stripe)
wo_bc_3007,3007,completed,USD,2026-11-18T15:50:00-05:00,79.00,79.00,0.00,wcu_007,heather.linley@yahoo.com,Heather,Linley,stripe,Credit Card (Stripe)
wo_bc_3008,3008,completed,USD,2026-11-19T10:07:00-05:00,109.00,109.00,0.00,wcu_008,cardellinom@gmail.com,Marisa,Cardellino,stripe,Credit Card (Stripe)
wo_bc_3009,3009,completed,USD,2026-11-19T12:44:00-05:00,65.00,65.00,0.00,wcu_009,vera.pettengill@icloud.com,Vera,Pettengill,stripe,Credit Card (Stripe)
wo_bc_3010,3010,completed,USD,2026-11-20T09:03:00-05:00,79.00,79.00,0.00,wcu_010,shelby.ramaley@gmail.com,Shelby,Ramaley,stripe,Credit Card (Stripe)
wo_bc_3011,3011,completed,USD,2026-11-20T14:17:00-05:00,109.00,109.00,0.00,wcu_011,ellenwainscott@outlook.com,Ellen,Wainscott,stripe,Credit Card (Stripe)
wo_wc_4001,4001,completed,USD,2026-11-21T09:26:00-05:00,79.00,79.00,0.00,wcu_012,mona.tibbets@yahoo.com,Mona,Tibbets,stripe,Credit Card (Stripe)
wo_wc_4002,4002,completed,USD,2026-11-21T15:33:00-05:00,109.00,109.00,0.00,wcu_013,jbraden.cbus@gmail.com,Jenny,Braden,stripe,Credit Card (Stripe)
wo_wc_4003,4003,completed,USD,2026-11-22T10:11:00-05:00,65.00,65.00,0.00,wcu_014,celeste.woodring@icloud.com,Celeste,Woodring,stripe,Credit Card (Stripe)
wo_bc_3014,3014,completed,USD,2026-11-26T09:55:00-05:00,109.00,109.00,0.00,wcu_015,amberkilgore@gmail.com,Amber,Kilgore,stripe,Credit Card (Stripe)
wo_bc_3016,3016,completed,USD,2026-11-27T14:39:00-05:00,109.00,109.00,0.00,wcu_016,nrudicil.mkt@outlook.com,Nora,Rudicil,stripe,Credit Card (Stripe)
wo_bc_3019,3019,completed,USD,2026-11-30T09:36:00-05:00,109.00,109.00,0.00,wcu_017,cassandra.eberle@gmail.com,Cassandra,Eberle,stripe,Credit Card (Stripe)
wo_bc_3020,3020,completed,USD,2026-12-01T09:47:00-05:00,109.00,109.00,0.00,wcu_018,lucinda.wray@yahoo.com,Lucinda,Wray,stripe,Credit Card (Stripe)
wo_bc_3026,3026,completed,USD,2026-12-03T15:37:00-05:00,109.00,109.00,0.00,wcu_019,krisdelacroix@icloud.com,Kristen,Delacroix,stripe,Credit Card (Stripe)
wo_bc_3030,3030,pending,USD,2026-12-05T09:12:00-05:00,109.00,109.00,0.00,wcu_020,parisa.tolentino@gmail.com,Parisa,Tolentino,stripe,Credit Card (Stripe)
wo_wc_4015,4015,pending,USD,2026-12-05T10:44:00-05:00,79.00,79.00,0.00,wcu_001,tanya.reyburn@gmail.com,Tanya,Reyburn,stripe,Credit Card (Stripe)
wo_bc_3033,3033,completed,USD,2026-12-05T16:39:00-05:00,109.00,109.00,0.00,wcu_002,mbrightley74@yahoo.com,Marla,Brightley,stripe,Credit Card (Stripe)
wo_bc_3035,3035,completed,USD,2026-12-06T11:44:00-05:00,109.00,109.00,0.00,wcu_003,leah.osgood@icloud.com,Leah,Osgood,stripe,Credit Card (Stripe)
wo_bc_3037,3037,completed,USD,2026-12-07T09:29:00-05:00,109.00,109.00,0.00,wcu_004,rachaelquade@gmail.com,Rachael,Quade,stripe,Credit Card (Stripe)
wo_bc_3040,3040,completed,USD,2026-12-08T09:13:00-05:00,109.00,109.00,0.00,wcu_005,pkendrick.oh@outlook.com,Priscilla,Kendrick,stripe,Credit Card (Stripe)
wo_amz_5001,5001,completed,USD,2026-11-24T13:12:00-05:00,79.00,79.00,0.00,wcu_006,dana.mcburney@gmail.com,Dana,McBurney,amazon,Amazon Pay
wo_amz_5002,5002,completed,USD,2026-11-27T10:44:00-05:00,109.00,109.00,0.00,wcu_007,heather.linley@yahoo.com,Heather,Linley,amazon,Amazon Pay
wo_amz_5003,5003,completed,USD,2026-12-01T14:03:00-05:00,79.00,79.00,0.00,wcu_008,cardellinom@gmail.com,Marisa,Cardellino,amazon,Amazon Pay
wo_ets_6001,6001,completed,USD,2026-11-28T15:22:00-05:00,79.00,79.00,0.00,wcu_009,vera.pettengill@icloud.com,Vera,Pettengill,paypal,PayPal
wo_ets_6002,6002,completed,USD,2026-12-02T09:47:00-05:00,109.00,109.00,0.00,wcu_011,ellenwainscott@outlook.com,Ellen,Wainscott,paypal,PayPal
