name	relationship	phone	email_or_note
Grace Douglas	Mother	(808) 555-0134	grace.douglas.hi@gmail.com
Kai Douglas	Brother	(808) 555-0156	kai.douglas99@gmail.com
Maya Leong	Best friend	(808) 555-0278	maya.leong.hi@gmail.com
Justin Ota	Running buddy	(808) 555-0312	justin.ota28@gmail.com
Elaine Park	Supervisor	(808) 555-0401	clinic line
Fumiko Douglas	Grandmother	(808) 555-0089	no email
Tad Douglas	Uncle	(808) 555-0091	Mililani landline
Lani Akana	Primary care	(808) 555-0701	patient portal
Wayne Ching	Dentist	(808) 555-0715	office portal
Megan Souza	Eye doctor	(808) 555-0720	office portal
