id,intent,status,amount_value,currency_code,payee_email,description,create_time
ord_001,CAPTURE,APPROVED,26.80,USD,amazon@payments.com,Equipment part,2026-06-23T10:00:00Z
ord_002,CAPTURE,COMPLETED,90.64,USD,tsc@tractorsupply.com,Birthday gift,2026-01-10T10:00:00Z
ord_003,CAPTURE,COMPLETED,175.88,USD,sarah.pratt@gmail.com,Birthday gift,2026-07-15T10:00:00Z
ord_004,CAPTURE,COMPLETED,176.79,USD,tsc@tractorsupply.com,Donation,2026-11-22T10:00:00Z
ord_005,CAPTURE,COMPLETED,87.72,USD,tsc@tractorsupply.com,Ranch supply,2026-03-18T10:00:00Z
ord_006,CAPTURE,COMPLETED,100.66,USD,sarah.pratt@gmail.com,Birthday gift,2026-01-10T10:00:00Z
ord_007,CAPTURE,COMPLETED,79.04,USD,,Ranch supply,2026-04-15T10:00:00Z
ord_008,CAPTURE,COMPLETED,137.14,USD,amazon@payments.com,Ranch supply,2026-01-26T10:00:00Z
ord_009,CAPTURE,COMPLETED,124.88,USD,james.pratt@gmail.com,Online purchase,2026-02-04T10:00:00Z
ord_010,CAPTURE,COMPLETED,89.42,USD,ace@payments.com,Ranch supply,2026-12-02T10:00:00Z
ord_011,CAPTURE,COMPLETED,198.79,USD,ace@payments.com,Donation,2026-03-17T10:00:00Z
ord_012,CAPTURE,COMPLETED,177.11,USD,ace@payments.com,Birthday gift,2026-04-10T10:00:00Z
ord_013,CAPTURE,APPROVED,117.99,USD,tsc@tractorsupply.com,Birthday gift,2026-05-02T10:00:00Z
ord_014,CAPTURE,APPROVED,189.19,USD,sarah.pratt@gmail.com,Donation,2026-01-12T10:00:00Z
ord_015,CAPTURE,COMPLETED,70.48,USD,tsc@tractorsupply.com,Book order,2026-07-05T10:00:00Z
ord_016,CAPTURE,COMPLETED,173.65,USD,tsc@tractorsupply.com,Book order,2026-04-10T10:00:00Z
ord_017,CAPTURE,COMPLETED,194.04,USD,tsc@tractorsupply.com,Birthday gift,2026-09-14T10:00:00Z
ord_018,CAPTURE,COMPLETED,76.10,USD,ebay@payments.com,Book order,2026-05-07T10:00:00Z
ord_019,CAPTURE,COMPLETED,149.05,USD,ace@payments.com,Online purchase,2026-02-18T10:00:00Z
ord_020,CAPTURE,COMPLETED,126.92,USD,amazon@payments.com,Equipment part,2026-07-22T10:00:00Z
ord_021,CAPTURE,COMPLETED,139.22,USD,ace@payments.com,Book order,2026-10-24T10:00:00Z
ord_022,CAPTURE,COMPLETED,192.05,USD,amazon@payments.com,Ranch supply,2026-06-10T10:00:00Z
ord_023,CAPTURE,COMPLETED,153.17,USD,james.pratt@gmail.com,Ranch supply,2026-12-04T10:00:00Z
