id,meeting_id,email,first_name,last_name,status,join_time,create_time
reg-8001112223-Amanda,8001112223,a.torres@coastalcardiology.com,Amanda,Torres,approved,2026-09-25T09:00:00Z,2026-01-15T09:00:00Z
reg-8001112223-James,8001112223,whitfield.james@lakewoodmedresearch.edu,James,Whitfield,approved,2026-09-25T09:00:00Z,2026-01-15T09:00:00Z
reg-8001112223-Sarah,8001112223,diego.davis@humana.com,Sarah,Mayo,approved,2026-09-25T09:00:00Z,2026-01-15T09:00:00Z
reg-8001112224-Amanda,8001112224,a.torres@coastalcardiology.com,Amanda,Torres,approved,2026-09-28T14:00:00Z,2026-09-01T09:00:00Z
reg-8001112224-James,8001112224,whitfield.james@lakewoodmedresearch.edu,James,Whitfield,approved,2026-09-28T14:00:00Z,2026-09-01T09:00:00Z
reg-8001112224-Sarah,8001112224,james.baker@bcbsfl.com,Sarah,Mayo,approved,2026-09-28T14:00:00Z,2026-09-01T09:00:00Z
reg-8001112225-Amanda,8001112225,a.torres@coastalcardiology.com,Amanda,Torres,approved,2026-09-15T18:00:00Z,2026-08-01T09:00:00Z
reg-8001112225-James,8001112225,whitfield.james@lakewoodmedresearch.edu,James,Whitfield,approved,2026-09-15T18:00:00Z,2026-08-01T09:00:00Z
reg-8001112225-Sarah,8001112225,diego.marshall@lakewoodmedresearch.edu,Sarah,Mayo,approved,2026-09-15T18:00:00Z,2026-08-01T09:00:00Z
reg-ref-000,8001112226,paul.brennan@coastalcardio.foundation,First000,Last000,approved,2026-09-23T15:00:00Z,2026-02-10T09:00:00Z
reg-ref-001,8001112227,joseph.chen@aetna.com,First001,Last001,pending,2026-04-16T10:00:00Z,2026-08-17T09:00:00Z
reg-ref-002,8001112228,sarah.garcia@gulfcoaststate.edu,First002,Last002,pending,2026-04-07T12:00:00Z,2026-01-21T09:00:00Z
reg-ref-003,8001112229,matthew.johnson@gulfcoaststate.edu,First003,Last003,pending,2026-05-15T16:00:00Z,2026-06-27T09:00:00Z
reg-ref-004,8001112230,joseph.brennan@humana.com,First004,Last004,pending,2026-08-03T09:00:00Z,2026-06-14T09:00:00Z
reg-ref-005,8001112231,patricia.patel@aetna.com,First005,Last005,approved,2026-02-27T15:00:00Z,2026-04-18T09:00:00Z
reg-ref-006,8001112232,mark.adams@uhc.com,First006,Last006,denied,2026-06-02T10:00:00Z,2026-08-10T09:00:00Z
reg-ref-007,8001112233,william.rivera@humana.com,First007,Last007,approved,2026-09-28T15:00:00Z,2026-05-23T09:00:00Z
reg-ref-008,8001112234,ramesh.rivera@coastalcardiology.com,First008,Last008,approved,2026-03-19T12:00:00Z,2026-04-23T09:00:00Z
reg-ref-009,8001112235,sana.baker@humana.com,First009,Last009,pending,2026-04-01T15:00:00Z,2026-09-27T09:00:00Z
reg-ref-010,8001112236,mark.brennan@riversidemed.com,First010,Last010,approved,2026-09-14T09:00:00Z,2026-06-02T09:00:00Z
reg-ref-011,8001112237,kenneth.miller@uhc.com,First011,Last011,approved,2026-08-11T10:00:00Z,2026-01-07T09:00:00Z
reg-ref-012,8001112238,linda.kim@riversidemed.com,First012,Last012,approved,2026-07-14T17:00:00Z,2026-03-09T09:00:00Z
reg-ref-013,8001112239,priya.johnson@medtronic.com,First013,Last013,denied,2026-06-26T13:00:00Z,2026-09-15T09:00:00Z
reg-ref-014,8001112240,paul.rivera@jaxheart.org,First014,Last014,denied,2026-03-03T15:00:00Z,2026-06-14T09:00:00Z
reg-ref-015,8001112241,karen.baker@jaxheart.org,First015,Last015,approved,2026-04-18T09:00:00Z,2026-03-27T09:00:00Z
reg-ref-016,8001112242,daniel.martinez@coastalcardio.foundation,First016,Last016,approved,2026-01-12T09:00:00Z,2026-08-16T09:00:00Z
reg-ref-017,8001112243,diego.davis@riversidemed.com,First017,Last017,pending,2026-03-13T13:00:00Z,2026-08-20T09:00:00Z
reg-ref-018,8001112244,david.park@edwards.com,First018,Last018,denied,2026-02-27T13:00:00Z,2026-01-14T09:00:00Z
reg-ref-019,8001112245,charles.patel@gulfcoaststate.edu,First019,Last019,pending,2026-05-07T10:00:00Z,2026-05-10T09:00:00Z
reg-ref-020,8001112246,barbara.nair@coastalcardio.foundation,First020,Last020,approved,2026-02-23T08:00:00Z,2026-09-09T09:00:00Z
reg-ref-021,8001112247,kevin.hussain@riversidemed.com,First021,Last021,pending,2026-09-04T11:00:00Z,2026-02-09T09:00:00Z
reg-ref-022,8001112248,james.jones@riversidemed.com,First022,Last022,denied,2026-06-08T08:00:00Z,2026-02-28T09:00:00Z
reg-ref-023,8001112249,daniel.kim@bcbsfl.com,First023,Last023,denied,2026-08-11T16:00:00Z,2026-03-18T09:00:00Z
reg-ref-024,8001112250,ravi.chen@coastalcardio.foundation,First024,Last024,denied,2026-01-13T14:00:00Z,2026-04-06T09:00:00Z
reg-ref-025,8001112251,david.davis@uhc.com,First025,Last025,approved,2026-02-22T13:00:00Z,2026-02-03T09:00:00Z
reg-ref-026,8001112252,james.brown@outlook.com,First026,Last026,pending,2026-01-12T08:00:00Z,2026-05-18T09:00:00Z
reg-ref-027,8001112253,paul.johnson@riversidemed.com,First027,Last027,approved,2026-02-12T14:00:00Z,2026-05-01T09:00:00Z
reg-ref-028,8001112254,joseph.hussain@yahoo.com,First028,Last028,denied,2026-06-18T13:00:00Z,2026-01-23T09:00:00Z
reg-ref-029,8001112255,michael.torres@bcbsfl.com,First029,Last029,denied,2026-08-13T17:00:00Z,2026-04-24T09:00:00Z
reg-ref-030,8001112256,sarah.brennan@summit-heart.org,First030,Last030,pending,2026-06-07T10:00:00Z,2026-06-15T09:00:00Z
reg-ref-031,8001112257,diego.brennan@coastalcardiology.com,First031,Last031,pending,2026-04-01T17:00:00Z,2026-07-13T09:00:00Z
reg-ref-032,8001112258,sana.marshall@aetna.com,First032,Last032,denied,2026-09-10T12:00:00Z,2026-08-04T09:00:00Z
reg-ref-033,8001112259,andrew.torres@riversidemed.com,First033,Last033,denied,2026-07-14T12:00:00Z,2026-04-12T09:00:00Z
reg-ref-034,8001112260,sarah.whitfield@stfrancisjax.org,First034,Last034,approved,2026-04-04T12:00:00Z,2026-04-04T09:00:00Z
reg-ref-035,8001112261,thomas.adams@uhc.com,First035,Last035,denied,2026-01-27T15:00:00Z,2026-02-28T09:00:00Z
reg-ref-036,8001112262,sana.adams@summit-heart.org,First036,Last036,pending,2026-01-10T13:00:00Z,2026-09-26T09:00:00Z
