Recipient	Relationship	Address	City_State_Zip	Card_Type	Sent	Note
Donna West	Mother-in-law	44 Hillcrest Court	Short Pump VA 23233	Family photo card	No	Hand-deliver at Sunday lunch
Sharon West-Mills	Sister	218 Sandbridge Way	Virginia Beach VA 23456	Family photo card	No	Mail by Dec 15
Renee Alvarez	Best friend	1107 Hanover Ave	Richmond VA 23220	Photo card	No	Give on Saturday walk
Aunt Carol Pruitt	Aunt	9 Tidewater Ln	Norfolk VA 23503	Photo card	No	Always sends first
The Hendersons	Neighbors	3410 Westhampton Lane	Richmond VA 23229	Photo card	No	Two doors down
The Marsh family	Neighbors	3416 Westhampton Lane	Richmond VA 23229	Photo card	No	Eric did our gutters
Brookfield Family Medicine	Primary care office	9200 Brook Rd	Richmond VA 23227	Thank-you card	No	Front desk staff
Coach Reynolds	Owen's old coach	Tuckahoe Rec Center	Richmond VA 23229	Photo card	No	If photo cards are left over
Principal Fredericks	Principal	8220 Staples Mill Rd	Richmond VA 23228	Plain holiday card	No	Keep it professional
Maria and Tom Alvarez	Renee's parents	1107 Hanover Ave	Richmond VA 23220	Photo card	No	Renee will pass it along
