id,firstName,lastName,workEmail,department,jobTitle,location,hireDate,status,supervisorId
E000,Jae,Chandler,jae.chandler@Finthesiss.ai,Operations,Owner / Master Electrician,"Milwaukee, WI",2013-08-12,Active,
E001,Ryan,O'Malley,ryan.omalley.elec@gmail.com,Field Crew,Lead Journeyman,"Milwaukee, WI",2020-03-09,Active,E000
E002,Danny,Flores,danny.flores.elec@gmail.com,Field Crew,Journeyman,"Milwaukee, WI",2023-04-17,Active,E001
E003,Jake,Parsons,jake.parsons.apprentice@gmail.com,Field Crew,4th-year Apprentice,"Milwaukee, WI",2022-09-06,Active,E001
104,czfiz,9lgq5x,4rual,Journeyman Electrician,Admin,Active,tom.kor4@contractor.net,+14145553450,
106,lagti,gu9lyu,97t6f,Office Manager,Electrical,Active,tom.ypgt@outlook.com,+14145552482,
108,b0b44,pgg4u9,hz64t,Estimator,Electrical,Active,jane.issd@gmail.com,+14145552099,
110,7w6e9,b5u07s,pqn47,Apprentice,Admin,Active,ann.lmow@chandlerelectric.com,+14145556037,
112,nxh3u,z0lcu6,7p56n,Journeyman Electrician,Admin,Active,ann.sbyz@hotmail.com,+14145557692,
114,lk1k0,g48axr,ko637,Office Manager,Electrical,Active,mark.ugyk@hotmail.com,+14145554370,
116,922m2,5g4u15,1ibeh,Office Manager,Admin,Active,mark.ffl0@contractor.net,+14145555122,
118,746n0,kjzk68,1ffgz,Estimator,Admin,Active,dan.jcu1@gmail.com,+14145553245,
120,cfwz1,trbzwh,7c9cl,Estimator,Admin,Active,dan.y6tb@chandlerelectric.com,+14145555728,
122,4t4fn,8rcusq,gv1fx,Estimator,Electrical,Active,mike.sjm9@contractor.net,+14145559346,
124,uuarx,7xlo5i,i5gk3,Journeyman Electrician,Electrical,Active,dan.pan2@gmail.com,+14145553245,
126,yucmp,a44xih,40gv8,Office Manager,Electrical,Active,bob.m1uk@gmail.com,+14145552891,
128,k5uxx,j7qh2v,lfzni,Office Manager,Admin,Active,amy.hjab@hotmail.com,+14145554347,
130,q721l,c36o0r,iy1yn,Journeyman Electrician,Electrical,Active,sue.mzkx@chandlerelectric.com,+14145558311,
132,r6vwm,lrhdzc,j6qzq,Estimator,Electrical,Active,ann.yguk@gmail.com,+14145555105,
134,kszpd,lr0ho5,h86mi,Estimator,Electrical,Active,lisa.bl37@yahoo.com,+14145555337,
136,mmuuc,huc7u8,r63bd,Apprentice,Electrical,Active,joe.swva@chandlerelectric.com,+14145551502,
138,lew4w,2xa8pj,rzu0c,Apprentice,Electrical,Active,jane.z47g@gmail.com,+14145556481,
140,q4saq,as36xk,utwi1,Office Manager,Electrical,Active,joe.kgq5@chandlerelectric.com,+14145552537,
142,1bk1a,y7287b,2pq0z,Estimator,Electrical,Active,pat.vfq1@contractor.net,+14145559046,
144,julvy,9ahtaq,etklf,Apprentice,Admin,Active,bob.tw2m@hotmail.com,+14145554463,
146,u5isr,0l2u9n,07rfk,Estimator,Electrical,Active,sue.1ttk@contractor.net,+14145556838,
148,7e6am,besjoe,xz9as,Office Manager,Electrical,Active,pat.ffpo@outlook.com,+14145557295,
150,tta5v,raexnb,vq1rx,Estimator,Admin,Active,ann.lqx8@yahoo.com,+14145555132,
152,7gq8k,92n7zv,sjd3f,Apprentice,Admin,Active,john.9l87@chandlerelectric.com,+14145559185,
154,gf86o,l8wr28,k85dp,Office Manager,Electrical,Active,dan.cjlx@contractor.net,+14145558890,
156,zqpu2,e3s58a,6a6qp,Journeyman Electrician,Admin,Active,bob.4zye@contractor.net,+14145555809,
158,0sb9p,3v49r7,ztikb,Apprentice,Electrical,Active,dan.4dm0@contractor.net,+14145552664,
160,wfyc2,bqd0an,hkq00,Journeyman Electrician,Electrical,Active,chris.kenl@outlook.com,+14145554961,
162,s8qf7,s8i8s8,3cz3k,Estimator,Admin,Active,dan.m6ed@outlook.com,+14145559721,
164,krds3,8tsg2f,uh76s,Apprentice,Admin,Active,jane.64v7@outlook.com,+14145557278,
166,7ev81,p9l39l,fkucf,Estimator,Admin,Active,mark.21x5@contractor.net,+14145551441,
168,cyyj0,ygae0o,2uyf1,Apprentice,Admin,Active,ann.mm6c@yahoo.com,+14145556956,
170,g303p,g84p4f,iz6ve,Apprentice,Admin,Active,sarah.9my8@contractor.net,+14145558735,
