tableId,id,name,type
TABL_dcfe29e0,AIRT_27ec1d26,Carlos Whitfield,Office Supplies
TABL_61a16f01,AIRT_dcce468c,June (68),Software
TABL_a296e47b,AIRT_4c022220,Karen (1983),Consulting
TABL_f23d31ca,AIRT_b49c2f59,David (1981),Marketing
TABL_b4a42fd1,AIRT_c059780a,Ethan (2014),Travel
TABL_dfdb1b2f,AIRT_6d36f839,Maya (2016),Equipment
TABL_96df406b,AIRT_916f9aaa,Kevin (1986),Training
TABL_ccfc39e3,AIRT_988c8d51,Robert (1998),Subscriptions
TABL_79d791a2,AIRT_59d29ff2,Helen (2007),Shipping
TABL_6a09de85,AIRT_193e5942,Linda (1957),Utilities
TABL_f525c002,AIRT_0bb4c1d5,Frank (1958),Professional Services
TABL_715033db,AIRT_7716a9e5,Connie (1960),Insurance
TABL_1d0eac4d,AIRT_2f86025f,Doug (1954),Maintenance
TABL_888fbb1e,AIRT_bfa6ebc8,Elena (1960),Legal
TABL_ed34f9b0,AIRT_f1d90178,The family),Advertising
TABL_6e6c04c8,AIRT_7f6cbbf1,Dr. (52),Technology
TABL_51db4ccd,AIRT_ce94d405,Dr. (59),Meals & Entertainment
TABL_c0bb93ba,AIRT_0154a912,Dr. (48),Rent
TABL_3887131d,AIRT_a037924a,William Davis,Telecommunications
TABL_10c7b0fa,AIRT_27eb691b,Dorothy Lee,Cloud Services
TABL_6752806e,AIRT_82066c52,Andrew King,Printing & Reproduction
TABL_6a64712f,AIRT_8f9925b1,Nicole Campbell,Security Services
TABL_d4bc5b9d,AIRT_daecc7af,Nicholas Reyes,Janitorial & Cleaning
TABL_735d6cab,AIRT_27fe97f4,Joan Reed,Parking & Transportation
TABL_96cdec13,AIRT_634c7ee8,Patrick Bennett,Research & Development
TABL_8ce2f75d,AIRT_8f293dab,Grace Foster,Licensing Fees
TABL_bb6a02ca,AIRT_e28adc62,Noah Hernandez,Bank Fees & Charges
TABL_a255db88,AIRT_5411f290,Elizabeth White,Payroll Processing
TABL_6100b47f,AIRT_1a4e07c2,Arthur Torres,Accounting & Bookkeeping
TABL_c4b66129,AIRT_49aba551,Sharon Roberts,Recruiting & Staffing
