page_id,property_name,property_type,value
npg_nabcep_plan,Exam Date,date,2026-10-17
npg_nabcep_plan,Site,text,"Pearson VUE - Glendale, WI"
npg_nabcep_plan,Authorization,text,NABCEP-PV-2026-WI-04412
npg_nabcep_plan,Status,select,On track
npg_solar_design,System size kW,number,8.4
npg_harborview,Contract USD,number,85000
npg_harborview,Status,select,Punch list
npg_bayview,Permit,text,BV-2026-0438
npg_bayview,Status,select,Pre-mob
pg_s2k45g,prop_1wso,rich_text,value 5b8eunzh
pg_7s616a,prop_y2vc,title,value pqec2ibr
pg_l8x8dw,prop_kq0v,title,value 01sq5eab
pg_wo4z2g,prop_o8gz,rich_text,value cl0x9u7h
pg_xnrbow,prop_kzov,rich_text,value b42f8m5m
pg_1khzw1,prop_5v7e,rich_text,value q4u09nir
pg_64jy32,prop_un9h,date,value 7gs5ws97
pg_szji0u,prop_sd5j,rich_text,value kn5mhlf3
pg_eol7gd,prop_5zyt,date,value nt7jr4rq
pg_eqyoxw,prop_ytle,title,value ci21th60
pg_2xc9eb,prop_ssqy,date,value klowem4w
pg_3npr1k,prop_dde1,number,value 3k6nxiua
pg_qtsoag,prop_7mux,title,value qnm6ekh9
pg_lrbvoo,prop_7lkd,date,value op4z3xjd
pg_bhem2a,prop_dy0k,rich_text,value fugpn965
pg_bwj9xs,prop_f7hp,number,value piovaah8
pg_dy91kh,prop_4ur6,number,value 4hiwcuo9
pg_epzipu,prop_x1xu,rich_text,value j1hquu6k
pg_fcgymp,prop_p6kd,date,value 6hp9f8mb
pg_9hw50w,prop_yg6o,rich_text,value 9vnrj6rd
pg_sycqdv,prop_fng5,rich_text,value x5ld8955
pg_dqp0k1,prop_kjpc,rich_text,value gau1r9ll
pg_tuicf1,prop_ndpd,date,value 828ffpq5
pg_6wrfnq,prop_4gsb,rich_text,value gf37b44f
pg_0fr2ga,prop_mmfv,number,value muq2851o
pg_66pmai,prop_3ebj,title,value ik4xm1fb
pg_2ncina,prop_nrb4,rich_text,value ccdf8o7b
pg_dxtjcy,prop_rkq6,title,value nwd1ykdh
pg_mke4sv,prop_xg5f,number,value 9pz8w6et
pg_scwm0x,prop_3mi8,number,value wmuytilj
pg_70xn9l,prop_8x7j,title,value ng3rq5wo
pg_4ophbf,prop_ndit,rich_text,value 5q8pwkve
pg_urh1fh,prop_c0ri,date,value 9qrvgcpp
pg_a3gn56,prop_2y25,date,value q02ia81a
pg_zi4t7o,prop_21fm,date,value wa1k3jyb
pg_nn1dp1,prop_0dj2,number,value 89w4ore6
pg_z25y7r,prop_2vzu,number,value suq271fm
pg_gt649k,prop_jcwa,title,value pqav0utu
pg_i5d6uk,prop_541c,date,value hf9o64v6
pg_ldbhge,prop_dshk,rich_text,value rqstjjeg
pg_mh4wv4,prop_6ken,rich_text,value 5kpjvj5n
pg_aa2o1b,prop_eg1x,date,value e9jphppl
pg_bhkshm,prop_c9zg,number,value rzx2fzpu
pg_4a6ga0,prop_5wqh,number,value hu1kdu8z
pg_swq9jb,prop_tj5s,date,value 1kidi1g1
pg_2jh1bv,prop_kfrq,date,value ry7exy7d
pg_pxxws8,prop_3h5p,number,value pplvtitp
pg_353aio,prop_jg8i,date,value tumuvps8
pg_ex92pq,prop_l1wq,number,value qikvm09k
pg_5jbdc6,prop_t25l,number,value nr1zgvub
pg_npcvli,prop_yugc,number,value ts1097fu
pg_z7ijf9,prop_ckpl,title,value wlha9ex3
pg_uw6476,prop_f9ip,number,value 091sp3mk
pg_h7u7o8,prop_aov0,number,value 9rlmr6od
pg_nxee1b,prop_8yp7,number,value jsl91foo
pg_e6y1z9,prop_3qu3,date,value ygk2mkpp
pg_o6zplm,prop_b3ah,date,value 4v7h5dzb
pg_hyemef,prop_a9z6,title,value yzw487t4
pg_0uld9h,prop_x16u,rich_text,value 2xjrr5yu
pg_k56g2t,prop_qwpa,number,value bmh1v7xw
pg_3ccfyg,prop_966a,date,value n2nltr9s
pg_c791xg,prop_lunt,date,value caxbzoid
pg_p6usxu,prop_nsh5,title,value 26vw1di9
pg_yda25x,prop_9bb4,date,value e0i3wncc
pg_75ta1a,prop_8dhe,date,value wz5hzau4
pg_p7i70k,prop_hogu,rich_text,value rsrvvr2k
pg_p0tq8f,prop_01av,title,value td9622d8
pg_9rt0jf,prop_ls29,number,value ggdb34ke
pg_efl2uz,prop_ue57,rich_text,value 4qmiq0lc
pg_zjffet,prop_8463,title,value jvap334t
pg_qtwgx7,prop_xi10,date,value st8su84r
pg_imcmt3,prop_0ko2,date,value hzetm3ok
pg_r20zt7,prop_wa38,title,value rujnjava
pg_2xitsm,prop_gyh4,date,value 3bub461o
pg_wxfx70,prop_e330,date,value htsdswu0
pg_r9atp1,prop_wyqn,rich_text,value aaniuwde
pg_8v0gw2,prop_i5fe,number,value 6m9o5hsw
pg_shkboi,prop_faa3,date,value u54jjdp9
pg_eyhmcm,prop_x0ar,rich_text,value cj257uwm
pg_5fypon,prop_jag2,date,value 19x4q8tg
pg_ywixvs,prop_45bu,number,value bcftx2w5
