agent_id,name,brokerage,phone,email,license_number,active_listings,sold_last_12mo,rating,reviews
agt_local_ss_1,Renee Alvarez,Long and Foster Silver Spring,301-555-0187,ralvarez@lnf.com,MD-671022,14,62,4.8,142
agt_local_ss_2,Marcus Beckham,Redfin,301-555-0244,mbeckham@redfin.com,MD-742019,9,48,4.6,88
agt_c834ac7cde,Martha Scott,Berkshire Hathaway,301-555-9333,renee74@example.org,MD-253264,4,26,4.1,181
agt_e8beced66d,Tyler Russell,Coldwell Banker,301-555-8630,watkinsfrances@example.net,MD-707604,8,30,4.9,24
agt_595022a286,Traci Jones,Redfin,301-555-4979,morrowdale@example.net,MD-180803,24,17,4.1,52
agt_dbc229f701,Karen Ortega,Coldwell Banker,301-555-3129,webermorgan@example.net,MD-521741,7,12,4.6,97
agt_8a1044a09a,Daniel Butler,Berkshire Hathaway,301-555-1677,wburns@example.com,MD-670156,15,30,4.6,44
agt_12b55a2545,Stanley Porter,Coldwell Banker,301-555-1984,klinethomas@example.org,MD-603293,4,14,4.9,264
agt_7e93410df6,Nicholas Armstrong,Redfin,301-555-9276,canderson@example.org,MD-529659,14,8,5.0,143
agt_6e039a217b,Paul Taylor,Redfin,301-555-2178,kmoore@example.net,MD-450871,4,38,3.9,259
agt_b6b7da5537,Jennifer Knapp,RE/MAX,301-555-5549,jessica88@example.org,MD-870008,3,60,4.8,248
agt_2bf12e3f27,Tanya Wallace,Keller Williams,301-555-5631,qwagner@example.com,MD-594232,21,74,5.0,218
agt_675989d0d5,Greg White,Long and Foster,301-555-1073,heathervaughan@example.com,MD-147681,22,19,4.6,112
agt_ec6b5c09d0,David Mcbride,Long and Foster,301-555-7518,ashleyrodriguez@example.org,MD-259003,15,63,4.2,49
agt_130bf7f201,Kevin Davidson,Coldwell Banker,301-555-8046,kerrstephanie@example.org,MD-629323,1,68,4.7,130
agt_9d68de5103,Gary Harris,Redfin,301-555-2462,xcarter@example.com,MD-718321,18,48,3.9,253
agt_0ad4acc2be,Brittany Brady,RE/MAX,301-555-5709,molinaaustin@example.org,MD-920378,13,65,3.8,16
agt_64cd9ebf0e,Monique Lopez,Long and Foster,301-555-7751,kellybradley@example.com,MD-620210,7,53,4.6,211
agt_232c16478a,Marcus Andrews,Coldwell Banker,301-555-3241,natalie09@example.net,MD-965560,20,56,4.6,150
agt_37f595ca34,Kim Cooper,Berkshire Hathaway,301-555-4823,ryanmoore@example.net,MD-946679,9,75,4.0,107
