transaction_id,account_id,amount,iso_currency_code,date,name,merchant_name,category,pending,payment_channel
txn_jp_0009,acc_jp_chk_001,3450.00,USD,2026-07-01,WILLIAMSBURG PROP MGMT RENT,Williamsburg Property Management,Payment;Rent,false,online
txn_jp_0129,acc_jp_chk_001,34.00,USD,2026-07-02,SWEETLEAF COFFEE,Sweetleaf Coffee,Food;Coffee Shop,false,other
txn_jp_0132,acc_jp_chk_001,72.00,USD,2026-07-02,UBER TRIP,Uber,Travel;Taxi,false,other
txn_jp_0002,acc_jp_chk_001,59.99,USD,2026-07-03,ADOBE *CREATIVE CLOUD,Adobe Creative Cloud,Service;Subscription,false,online
txn_jp_0051,acc_jp_chk_001,6.50,USD,2026-07-03,SWEETLEAF COFFEE,Sweetleaf Coffee,Food;Coffee Shop,false,in store
txn_jp_0075,acc_jp_chk_001,33.00,USD,2026-07-04,MTA RELOAD,MTA,Travel;Public Transit,false,other
txn_jp_0042,acc_jp_chk_001,-1840.00,USD,2026-07-05,ETSY PAYOUT,Etsy,Transfer;Deposit,false,other
txn_jp_0090,acc_jp_chk_001,88.42,USD,2026-07-05,WHOLE FOODS WMSBURG,Whole Foods,Food;Groceries,false,in store
txn_jp_0003,acc_jp_chk_001,24.00,USD,2026-07-06,CAPTURE ONE PRO SUB,Capture One,Service;Subscription,false,online
txn_jp_0052,acc_jp_chk_001,5.00,USD,2026-07-06,SWEETLEAF COFFEE,Sweetleaf Coffee,Food;Coffee Shop,false,in store
txn_jp_0004,acc_jp_chk_001,24.00,USD,2026-07-08,SQUARESPACE PMT,Squarespace,Service;Subscription,false,online
txn_jp_0029,acc_jp_chk_001,-7842.00,USD,2026-07-08,STRIPE TRANSFER,Stripe,Transfer;Deposit,false,other
txn_jp_0138,acc_jp_chk_001,58.00,USD,2026-07-08,SWEETLEAF COFFEE,Sweetleaf Coffee,Food;Coffee Shop,false,other
txn_jp_0053,acc_jp_chk_001,6.50,USD,2026-07-09,SWEETLEAF COFFEE,Sweetleaf Coffee,Food;Coffee Shop,false,in store
txn_jp_0076,acc_jp_chk_001,18.42,USD,2026-07-09,UBER TRIP,Uber,Travel;Taxi,false,other
txn_jp_0091,acc_jp_chk_001,124.50,USD,2026-07-09,TRADER JOES BROOKLYN,Trader Joes,Food;Groceries,false,in store
txn_jp_0005,acc_jp_chk_001,11.99,USD,2026-07-10,DROPBOX*PLUS,Dropbox,Service;Subscription,false,online
