AmazonOrderId,PurchaseDate,LastUpdateDate,OrderStatus,FulfillmentChannel,SalesChannel,ShipServiceLevel,OrderTotal_CurrencyCode,OrderTotal_Amount,NumberOfItemsShipped,NumberOfItemsUnshipped,PaymentMethod,MarketplaceId,ShipmentServiceLevelCategory,OrderType,EarliestShipDate,LatestShipDate,BuyerEmail,BuyerName,ShippingAddress_Name,ShippingAddress_AddressLine1,ShippingAddress_City,ShippingAddress_StateOrRegion,ShippingAddress_PostalCode,ShippingAddress_CountryCode,IsPrime,IsBusinessOrder,IsSoldByAB
114-2604810-BS013,2026-05-14T16:20:00Z,2026-05-16T09:12:00Z,Shipped,MFN,Amazon.com,Standard,USD,32.00,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-05-15T00:00:00Z,2026-05-18T00:00:00Z,buyer.13@examplemail.org,H Ramirez,H Ramirez,,Austin,TX,78704,US,false,false,false
114-2604811-BS014,2026-05-28T11:05:00Z,2026-05-30T14:30:00Z,Shipped,MFN,Amazon.com,Standard,USD,44.30,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-05-29T00:00:00Z,2026-06-01T00:00:00Z,buyer.14@examplemail.org,M Chen,M Chen,,Seattle,WA,98115,US,false,false,false
114-2604812-BS015,2026-06-04T09:40:00Z,2026-06-05T15:22:00Z,Shipped,MFN,Amazon.com,Standard,USD,27.80,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-06-05T00:00:00Z,2026-06-08T00:00:00Z,buyer.15@examplemail.org,T Patel,T Patel,,Boston,MA,02116,US,false,false,false
114-2604813-BS016,2026-06-11T14:15:00Z,2026-06-13T10:44:00Z,Shipped,MFN,Amazon.com,Standard,USD,52.10,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-06-12T00:00:00Z,2026-06-15T00:00:00Z,buyer.16@examplemail.org,R Nguyen,R Nguyen,,Denver,CO,80202,US,false,false,false
114-2604814-BS017,2026-06-14T08:40:00Z,2026-06-16T12:11:00Z,Shipped,MFN,Amazon.com,Standard,USD,38.80,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-06-15T00:00:00Z,2026-06-18T00:00:00Z,buyer.17@examplemail.org,S Brooks,S Brooks,,Portland,OR,97202,US,false,false,false
114-2604815-BS018,2026-06-18T11:22:00Z,2026-06-19T13:05:00Z,Shipped,MFN,Amazon.com,Standard,USD,64.75,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-06-19T00:00:00Z,2026-06-22T00:00:00Z,buyer.18@examplemail.org,J Larsen,J Larsen,,Chicago,IL,60618,US,false,false,false
114-2604816-BS019,2026-06-18T17:12:00Z,2026-06-19T14:08:00Z,Shipped,MFN,Amazon.com,Expedited,USD,105.00,1,0,Other,ATVPDKIKX0DER,Expedited,StandardOrder,2026-06-19T00:00:00Z,2026-06-22T00:00:00Z,buyer.19@examplemail.org,P Rao,P Rao,,Dallas,TX,75201,US,false,false,false
114-2604817-BS020,2026-07-02T09:15:00Z,2026-07-04T11:03:00Z,Shipped,MFN,Amazon.com,Standard,USD,29.90,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-07-03T00:00:00Z,2026-07-06T00:00:00Z,buyer.20@examplemail.org,L Watson,L Watson,,Miami,FL,33130,US,false,false,false
114-2604818-BS021,2026-07-19T15:44:00Z,2026-07-21T10:22:00Z,Shipped,MFN,Amazon.com,Standard,USD,49.50,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-07-20T00:00:00Z,2026-07-23T00:00:00Z,buyer.21@examplemail.org,K Ito,K Ito,,San Diego,CA,92104,US,false,false,false
114-2604819-BS022,2026-08-11T13:00:00Z,2026-08-13T09:45:00Z,Shipped,MFN,Amazon.com,Standard,USD,36.20,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-08-12T00:00:00Z,2026-08-15T00:00:00Z,buyer.22@examplemail.org,N Fowler,N Fowler,,Atlanta,GA,30303,US,false,false,false
114-2604820-BS023,2026-09-24T10:30:00Z,2026-09-29T14:50:00Z,Shipped,MFN,Amazon.com,Standard,USD,52.20,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-09-25T00:00:00Z,2026-09-28T00:00:00Z,buyer.23@examplemail.org,E Malick,E Malick,,Philadelphia,PA,19103,US,false,false,false
114-2604821-BS024,2026-10-07T09:22:00Z,2026-10-09T11:15:00Z,Shipped,MFN,Amazon.com,Standard,USD,42.60,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-10-08T00:00:00Z,2026-10-11T00:00:00Z,buyer.24@examplemail.org,A Sinha,A Sinha,,Houston,TX,77004,US,false,false,false
114-2604822-BS025,2026-10-22T16:45:00Z,2026-10-25T10:33:00Z,Shipped,MFN,Amazon.com,Standard,USD,60.75,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-10-23T00:00:00Z,2026-10-26T00:00:00Z,buyer.25@examplemail.org,C Alvarez,C Alvarez,,Phoenix,AZ,85003,US,false,false,false
