Name	Relation	Phone	Email	City
Charles McKay	Self	(307) 587-1001	charles.mckay@Greenridertech.co	Cody
Robert McKay	Son	(307) 587-1012	robert.mckay.wy@gmail.com	Sheridan
Sarah McKay-Henderson	Daughter	(307) 587-1023	sarah.henderson.csp@gmail.com	Casper
James McKay	Son	(307) 587-1034	james.mckay.fire@gmail.com	Jackson
Katie McKay	Daughter in law	(307) 587-1101	katie.mckay.sh@gmail.com	Sheridan
David Henderson	Son in law	(307) 587-1112		Casper
Roy Patterson	Neighbor and lessee	(307) 587-1045		Cody
Gary Morrison	Superintendent	(307) 587-1056	gary.morrison.bighorn@gmail.com	Cody
Barbara Caldwell	Board chair	(307) 587-1067	barbara.caldwell.board@gmail.com	Cody
Maria Blackhorse	Board member	(307) 587-1078	maria.blackhorse@gmail.com	Fort Washakie
Walt Thorsen	Former ranch hand	(307) 587-1089		Cody
Thomas Crawford	Pastor	(307) 587-1090		Cody
Michael Ashford	Primary care	(307) 587-1123		Cody
Linda Prescott	Dentist	(307) 587-1134		Cody
