id,company_id,first_name,last_name,email,department,job_title,rate,payment_unit,flsa_status,start_date,terminated
gemp-201,comp-001,Amelia,Ortega,amelia.ortega@orbit-labs.com,Engineering,VP of Engineering,210000.00,Year,Exempt,2019-03-04,false
gemp-202,comp-001,Jonas,Pereira,jonas.pereira@orbit-labs.com,Engineering,Staff Software Engineer,185000.00,Year,Exempt,2020-06-15,false
gemp-203,comp-001,Helena,Park,helena.park@orbit-labs.com,Engineering,Senior Software Engineer,165000.00,Year,Exempt,2021-01-11,false
gemp-204,comp-001,Rohit,Bansal,rohit.bansal@orbit-labs.com,Engineering,Software Engineer,140000.00,Year,Exempt,2022-09-19,false
gemp-205,comp-001,Noor,Aziz,noor.aziz@orbit-labs.com,People,People Operations Manager,120000.00,Year,Exempt,2020-02-03,false
gemp-206,comp-001,Diego,Santos,diego.santos@orbit-labs.com,Sales,Account Executive,95000.00,Year,Exempt,2021-11-08,false
gemp-207,comp-001,Tariq,Hassan,tariq.hassan@orbit-labs.com,Support,Support Specialist,32.50,Hour,Nonexempt,2022-03-14,false
gemp-208,comp-001,Lena,Fischer,lena.fischer@orbit-labs.com,People,Recruiter,90000.00,Year,Exempt,2023-10-02,false
gemp-209,comp-001,Ariel,Chen,ariel.chen@brightonballet.org,Instruction,Lead Instructor L1 L2,42.00,Hour,Nonexempt,2021-09-01,false
gemp-210,comp-001,Jamil,Alston,jamil.alston@brightonballet.org,Instruction,Partnering Coach,45.00,Hour,Nonexempt,2022-01-10,false
gemp-211,comp-001,Priya,Nair,priya.nair@orbit-labs.com,Engineering,QA Engineer,128000.00,Year,Exempt,2023-05-15,false
gemp-212,comp-001,Trevor,Boone,trevor.boone@orbit-labs.com,Sales,Sales Development Rep,68000.00,Year,Exempt,2024-02-20,false
gemp-213,comp-001,Sasha,Ivanov,sasha.ivanov@orbit-labs.com,Design,Product Designer,132000.00,Year,Exempt,2022-08-11,false
gemp-214,comp-001,Grace,Okafor,grace.okafor@orbit-labs.com,Finance,Financial Analyst,105000.00,Year,Exempt,2023-01-30,false
