client_id,client_name,address,city,zip,last_job_date,panel_amps,roof_orientation,roof_age_years,property_year_built,warranty_through,solar_fit_score,notes
C001,Janet Kowalski,3128 S Logan Ave,Milwaukee,53207,2023-05-12,200,South,1,1948,2028-05-12,9,Asked about solar Sep 2026
C002,Ron and Kelly Heaton,2451 S Wentworth Ave,Milwaukee,53207,2024-04-08,200,SW,8,1952,2029-04-08,7,Open warranty callback - kitchen breaker
C003,Aaron Beck,4019 S Pine Ave,Milwaukee,53207,2023-09-14,150,South,3,1957,2028-09-14,8,Mentioned battery interest
C004,Hannah Yates,2840 S Howell Ave,Milwaukee,53207,2024-11-02,200,East,12,1960,2029-11-02,4,
C005,Devin Park,3611 S Pennsylvania Ave,St. Francis,53235,2022-07-19,200,South,2,1965,2027-07-19,9,Korean Presbyterian congregation member
C006,Wanda Briscoe,2231 S Whitnall Ave,Milwaukee,53207,2024-02-27,100,North,15,1928,2029-02-27,2,Older home; panel upgrade only
C007,Marco Velasquez,4422 S Wildwood Ave,St. Francis,53235,2023-12-11,200,South,4,1962,2028-12-11,8,
C008,Priya Iyer,3210 S Kinnickinnic Ave,Milwaukee,53207,2024-08-22,200,SW,2,1955,2029-08-22,8,
C009,Bill and Sue Erickson,2725 S Logan Ave,Milwaukee,53207,2022-03-15,200,South,9,1947,2027-03-15,6,
C010,Helen Bjornson,2247 S Kinnickinnic Ave,Milwaukee,53207,,N/A,N/A,N/A,1920,N/A,N/A,Active project - Bay View Historic Home rewire
C011,Stephen Norquist,3601 S New York Ave,Milwaukee,53207,2023-06-04,200,South,5,1958,2028-06-04,8,
C012,Lisa McAllen,2902 S Delaware Ave,Milwaukee,53207,2024-10-19,150,East,11,1942,2029-10-19,3,
C013,Greg Yoon,4111 S Lipton Ave,St. Francis,53235,2022-11-28,200,South,1,1968,2027-11-28,9,Family connection - Pastor Lee referral
C014,Tess McCallister,2117 S Lenox St,Milwaukee,53207,2024-06-13,100,West,7,1935,2029-06-13,3,
C015,Frank Dolesh,3408 S Burrell St,Milwaukee,53207,2023-08-21,200,SE,4,1954,2028-08-21,7,
C016,Jia Nguyen,2533 S Howell Ave,Milwaukee,53207,2024-01-09,200,South,2,1961,2029-01-09,9,Asked about EV charger Sep 2026
C017,Carter Renwick,3019 S Pine Ave,Milwaukee,53207,2023-04-26,150,North,18,1939,2028-04-26,1,
C018,Erika Bohm,4280 S Packard Ave,Cudahy,53110,2022-10-04,200,SW,3,1963,2027-10-04,8,
C019,Don Pulaski,2218 S Allis St,Milwaukee,53207,2024-03-30,200,South,6,1949,2029-03-30,7,
C020,Vivian Tran,3500 S Kinnickinnic Ave,Milwaukee,53207,2024-09-11,200,South,1,1957,2029-09-11,9,
C021,Mark Costello,2705 S Wentworth Ave,Milwaukee,53207,2023-07-17,200,SE,5,1955,2028-07-17,7,
C022,Patty Englund,4715 S Whitnall Ave,Cudahy,53110,2024-12-05,150,East,14,1932,2029-12-05,2,
C023,Bobby Vasquez,3122 S Lipton Ave,Milwaukee,53207,2022-05-22,200,South,4,1960,2027-05-22,8,
C024,Sun-mi Park,2818 S Clement Ave,Milwaukee,53207,2024-04-15,200,South,2,1958,2029-04-15,9,Korean community
C025,Theo Brennan,3915 S Howell Ave,Milwaukee,53207,2023-02-08,200,SW,8,1954,2028-02-08,6,
C026,Mara Lindblom,2410 S Logan Ave,Milwaukee,53207,2024-07-30,100,North,13,1929,2029-07-30,2,Older panel; rewire candidate not solar
C027,Jenna Falkner,3308 S Pine Ave,Milwaukee,53207,2023-11-19,200,South,3,1962,2028-11-19,9,
C028,Phil Anand,4129 S New York Ave,St. Francis,53235,2024-05-04,200,South,1,1965,2029-05-04,9,Highest solar-fit candidate in pipeline
C029,Doreen Mackey,2614 S Wentworth Ave,Milwaukee,53207,2022-08-26,200,East,10,1950,2027-08-26,4,
C030,Cyrus Holman,3007 S Burrell St,Milwaukee,53207,2024-02-12,200,SE,5,1957,2029-02-12,7,
C031,Linda Khan,2920 S Howell Ave,Milwaukee,53207,2023-10-30,200,South,2,1959,2028-10-30,9,
C032,Otis Greenwell,4318 S Packard Ave,Cudahy,53110,2024-08-08,200,South,4,1964,2029-08-08,8,
C033,Rina Fox,2245 S Whitnall Ave,Milwaukee,53207,2023-03-25,150,North,17,1931,2028-03-25,1,Direct neighbor of Bjornson rewire job
C034,Calvin Trees,3814 S Wildwood Ave,St. Francis,53235,2024-11-14,200,South,3,1961,2029-11-14,8,
C035,Yuri Klein,2519 S Lenox St,Milwaukee,53207,2022-12-09,100,West,16,1934,2027-12-09,2,
C036,Hannah Lim,3201 S Logan Ave,Milwaukee,53207,2023-05-31,200,South,2,1956,2028-05-31,9,Korean Presbyterian congregation
C037,Eli Davenport,4225 S Pine Ave,St. Francis,53235,2024-07-05,200,SW,5,1963,2029-07-05,7,
C038,Margo Welch,2710 S Allis St,Milwaukee,53207,2022-06-18,200,SE,7,1953,2027-06-18,6,
C039,Trevor Aoki,3617 S New York Ave,Milwaukee,53207,2023-09-09,200,South,2,1960,2028-09-09,9,
C040,Beth Sandberg,2820 S Pennsylvania Ave,St. Francis,53235,2024-04-23,200,South,3,1962,2029-04-23,8,
C041,Junji Komori,3120 S Howell Ave,Milwaukee,53207,2023-12-02,200,South,1,1965,2028-12-02,9,Asked about solar Mar 2026
C042,Lauren Ott,2438 S Logan Ave,Milwaukee,53207,2024-06-29,150,East,12,1937,2029-06-29,3,
C043,Hector Solana,3905 S Burrell St,Milwaukee,53207,2022-09-14,200,South,4,1958,2027-09-14,8,
C044,Becky Glass,4015 S Packard Ave,Cudahy,53110,2024-01-26,200,SW,6,1961,2029-01-26,7,
C045,Owen Frye,2533 S Wentworth Ave,Milwaukee,53207,2023-04-11,200,South,2,1955,2028-04-11,9,
C046,Mia Carrasco,3329 S Kinnickinnic Ave,Milwaukee,53207,2024-09-23,200,SE,5,1960,2029-09-23,7,
C047,Daniel Pruitt,2729 S Pine Ave,Milwaukee,53207,2023-07-28,100,North,19,1928,2028-07-28,1,
C048,Imelda Vargas,4408 S Whitnall Ave,Cudahy,53110,2022-11-05,200,South,3,1963,2027-11-05,8,
C049,Russ Hooper,2918 S Lipton Ave,Milwaukee,53207,2024-03-17,200,South,1,1965,2029-03-17,9,
C050,Sarah Drechsler,3742 S Howell Ave,Milwaukee,53207,2023-08-02,200,SW,4,1959,2028-08-02,8,
C051,Lin Zhou,2107 S Logan Ave,Milwaukee,53207,2024-10-08,200,South,2,1958,2029-10-08,9,
C052,Brett Hofer,3308 S Wentworth Ave,Milwaukee,53207,2022-07-22,200,SE,8,1954,2027-07-22,6,
C053,Connie Bjelajac,4523 S Packard Ave,Cudahy,53110,2023-11-26,150,East,11,1942,2028-11-26,3,
