id,firstName,lastName,headline,location,industry,connectedAt,organizationId
li_c000,Sarah,Hensley,Practice Manager at Birchwood Animal Hospital,Michigan,Veterinary,1627756200,org_0
li_c001,Meg,Okonkwo,Veterinarian at Northern Michigan Veterinary,Michigan,Veterinary,1559327400,org_1
li_c002,Brianna,Brooks,Receptionist at Great Lakes CC,Michigan,Veterinary,1627756200,org_2
li_c003,Rachel,Reed,Vet Tech Assistant at MVMA,Michigan,Veterinary,1714501800,org_3
li_c004,Amy,Kim,DVM at AVMA,Michigan,Veterinary,1559327400,org_4
li_c005,Mark,Hart,Receptionist at Cherry Capital Vet,Michigan,Veterinary,1559327400,org_5
li_c006,Dave,Ito,Receptionist at Grand Traverse Bay Pet Hospital,Michigan,Veterinary,1559327400,org_6
li_c007,Kelly,Kowalczyk,Vet Tech Assistant at Birchwood Animal Hospital,Michigan,Veterinary,1714501800,org_0
li_c008,Jordan,Lindstrom,Veterinarian at Northern Michigan Veterinary,Michigan,Veterinary,1627756200,org_1
li_c009,Priya,Nguyen,CVT at Great Lakes CC,Michigan,Veterinary,1675189800,org_2
li_c010,Tom,Walsh,Receptionist at MVMA,Michigan,Veterinary,1675189800,org_3
li_c011,Nina,Ruiz,Practice Manager at AVMA,Michigan,Veterinary,1559327400,org_4
li_c012,Chris,Vance,DVM at Cherry Capital Vet,Michigan,Veterinary,1559327400,org_5
li_c013,Erin,Diaz,Practice Manager at Grand Traverse Bay Pet Hospital,Michigan,Veterinary,1627756200,org_6
li_c014,Sam,Torres,CVT at Birchwood Animal Hospital,Michigan,Veterinary,1627756200,org_0
li_c015,Lucia,Jansen,Receptionist at Northern Michigan Veterinary,Michigan,Veterinary,1675189800,org_1
li_c016,Ben,Patel,DVM at Great Lakes CC,Michigan,Veterinary,1675189800,org_2
li_c017,Grace,Cole,DVM at MVMA,Michigan,Veterinary,1627756200,org_3
li_c018,Owen,Fox,Receptionist at AVMA,Michigan,Veterinary,1627756200,org_4
li_c019,Maya,莫,CVT at Cherry Capital Vet,Michigan,Veterinary,1675189800,org_5
li_c020,Sarah,Hensley,Veterinarian at Grand Traverse Bay Pet Hospital,Michigan,Veterinary,1627756200,org_6
