Name	Relation	Phone	Email	Address	Birthday	Notes
Judith Rivera	Wife	(480) 555-0833	judith.rivera@gmail.com	7421 East Pinnacle Vista Drive, Scottsdale, AZ 85255	March 14, 1960	ICE and medical proxy. Shared Google Calendar. Drives to medical appointments by Paul's preference.
Brett Rivera	Son	(303) 555-0416	brett.rivera@gmail.com	4218 South Clarkson Street, Englewood, CO 80113	June 7, 1987	Financial analyst, Denver. Married to Hannah. Father of Owen and Lily. Check in before visits about Hannah's work schedule.
Hannah Rivera	Daughter-in-law	(303) 555-0417	hannah.rivera.art@gmail.com	4218 South Clarkson Street, Englewood, CO 80113	November 22, 1989	Graphic designer, freelance. Coordinates family visit logistics with Judith. Easy to talk to.
Owen Rivera	Grandson			4218 South Clarkson Street, Englewood, CO 80113	September 3, 2018	Brett and Hannah's son. Age 7. Chess club at school. Loves aviation books and plane stickers from Paul.
Lily Rivera	Granddaughter			4218 South Clarkson Street, Englewood, CO 80113	February 19, 2022	Brett and Hannah's daughter. Age 4. Paul keeps a small plastic dinosaur on the patio shelf for her.
Kelsey Rivera-Cho	Daughter	(619) 555-0284	kelsey.cho@gmail.com	2847 Wightman Street, San Diego, CA 92104	October 28, 1990	Communications director, nonprofit. Married to Daniel Cho. FaceTimes every Sunday at 4 PM. Set up OpenClaw for Paul.
Daniel Cho	Son-in-law	(619) 555-0285	daniel.cho.dev@gmail.com	2847 Wightman Street, San Diego, CA 92104	July 15, 1989	Software engineer. Set up Paul's crypto wallets as a teaching exercise. Plays chess with Paul during visits.
Jim Rivera	Brother	(520) 555-0344		Tucson, AZ	August 11, 1954	Retired. Lives in Tucson. Easy relationship, not emotionally deep. See every couple of months.
Tom Hadley	Best friend / Golf partner	(480) 555-0671	tom.hadley.az@gmail.com	Pinnacle Vista Estates, Scottsdale, AZ	December 3, 1955	Retired dentist. Mon/Wed/Fri golf at 6:30 AM. Saturday group anchor. Wife is Sue Hadley. Dry and competitive.
Walt Erikson	Golf partner	(480) 555-0759		Scottsdale, AZ		Retired sales executive. Saturday rounds and occasional weekday fill-in. Talks more than he listens.
Dr. Robert Kaplan	Cardiologist	(480) 555-0910		Desert Cardiology Associates, 9375 E Bell Rd, Suite 210, Scottsdale, AZ 85260		AFib follow-up every 6 months. Judith drives to appointments. Paul trusts him completely.
Dr. Maria Santos	Primary care physician	(480) 555-0820		Pinnacle Family Medicine, 15169 N Hayden Rd, Scottsdale, AZ 85260		Annual physical plus as-needed visits. Prescribed medications coordinated with Dr. Kaplan.
Captain Ed Mulvaney	Former SkyBridge colleague	(602) 555-0198	ed.mulvaney@gmail.com	Phoenix, AZ		Retired SkyBridge captain. Flew together 15 years. Monthly dinner in Phoenix. They talk about everything except flying, which is how they talk about flying.
Sue Hadley	Tom Hadley's wife	(480) 555-0672		Pinnacle Vista Estates, Scottsdale, AZ		Good friend of Judith's. Occasional joint dinner couple.
