id,intent,status,amount_value,currency_code,payee_email,description,create_time
ORDER-0000000000001,CAPTURE,COMPLETED,42.00,USD,carmen.serrano@gmail.com,tamale shipping reimbursement,2026-07-14T00:00:00Z
ORDER-0000000000002,CAPTURE,COMPLETED,38.50,USD,carmen.serrano@gmail.com,pozole shipping reimbursement,2026-08-05T00:00:00Z
ORDER-0000000000003,CAPTURE,COMPLETED,46.75,USD,carmen.serrano@gmail.com,mole negro shipping reimbursement,2026-09-04T00:00:00Z
ORDER-0000000000004,CAPTURE,COMPLETED,51.25,USD,carmen.serrano@gmail.com,carnitas frozen shipping reimbursement,2026-10-05T00:00:00Z
ORDER-0000000000005,CAPTURE,COMPLETED,44.60,USD,carmen.serrano@gmail.com,tamales shipping reimbursement,2026-11-04T00:00:00Z
ORDER-0000000000006,CAPTURE,COMPLETED,39.99,USD,jess.kowalski@gmail.com,utilities dana half,2026-01-13T00:00:00Z
ORDER-0000000000007,CAPTURE,COMPLETED,38.27,USD,jess.kowalski@gmail.com,utilities dana half,2026-02-16T00:00:00Z
ORDER-0000000000008,CAPTURE,COMPLETED,41.08,USD,jess.kowalski@gmail.com,utilities dana half,2026-03-13T00:00:00Z
ORDER-0000000000009,CAPTURE,COMPLETED,38.30,USD,jess.kowalski@gmail.com,utilities dana half,2026-04-15T00:00:00Z
ORDER-0000000000010,CAPTURE,COMPLETED,39.90,USD,jess.kowalski@gmail.com,utilities dana half,2026-05-13T00:00:00Z
ORDER-0000000000011,CAPTURE,COMPLETED,38.95,USD,jess.kowalski@gmail.com,utilities dana half,2026-06-14T00:00:00Z
ORDER-0000000000012,CAPTURE,COMPLETED,38.82,USD,jess.kowalski@gmail.com,utilities dana half,2026-07-13T00:00:00Z
ORDER-0000000000013,CAPTURE,COMPLETED,41.05,USD,jess.kowalski@gmail.com,utilities dana half,2026-08-15T00:00:00Z
ORDER-0000000000014,CAPTURE,COMPLETED,38.77,USD,jess.kowalski@gmail.com,utilities dana half,2026-09-13T00:00:00Z
