Id,DisplayName,GivenName,FamilyName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr,Balance,Active,Job,Notes
2000,Miguel Herrera,Miguel,Herrera,Miguel Herrera Ranch,"{""Address"": ""miguel.herrera000@example.com""}","{""FreeFormNumber"": ""+15755556400""}","{""Line1"": ""100 Church St"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88005""}",0,true,true,Preferred retail buyer
2001,Ana Herrera,Ana,Herrera,,"{""Address"": ""ana.herrera001@example.com""}","{""FreeFormNumber"": ""+15755556401""}","{""Line1"": ""101 Mesquite St"", ""City"": ""Mesilla"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",47,true,false,Ranch tack order
2002,Roberto Herrera,Roberto,Herrera,,"{""Address"": ""roberto.herrera002@example.com""}","{""FreeFormNumber"": ""+15755556402""}","{""Line1"": ""102 Alameda St"", ""City"": ""Anthony"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88005""}",94,true,false,Ranch tack order
2003,Consuelo Herrera,Consuelo,Herrera,,"{""Address"": ""consuelo.herrera003@example.com""}","{""FreeFormNumber"": ""+15755556403""}","{""Line1"": ""103 Solano St"", ""City"": ""Radium Springs"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",141,true,false,Preferred retail buyer
2004,Sofia Herrera,Sofia,Herrera,Sofia Herrera Ranch,"{""Address"": ""sofia.herrera004@example.com""}","{""FreeFormNumber"": ""+15755556404""}","{""Line1"": ""104 Water St"", ""City"": ""Do\u00f1a Ana"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88005""}",188,true,true,Ranch tack order
2005,Diego Herrera,Diego,Herrera,,"{""Address"": ""diego.herrera005@example.com""}","{""FreeFormNumber"": ""+15755556405""}","{""Line1"": ""105 Main St"", ""City"": ""Hatch"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",235,true,false,Ranch tack order
2006,Isabel Herrera,Isabel,Herrera,,"{""Address"": ""isabel.herrera006@example.com""}","{""FreeFormNumber"": ""+15755556406""}","{""Line1"": ""106 Idaho St"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88005""}",282,true,false,Preferred retail buyer
2007,Rafael Herrera,Rafael,Herrera,,"{""Address"": ""rafael.herrera007@example.com""}","{""FreeFormNumber"": ""+15755556407""}","{""Line1"": ""107 Picacho St"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",329,true,false,Ranch tack order
2008,Pilar Herrera,Pilar,Herrera,Pilar Herrera Ranch,"{""Address"": ""pilar.herrera008@example.com""}","{""FreeFormNumber"": ""+15755556408""}","{""Line1"": ""108 Amador St"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88005""}",376,true,true,Ranch tack order
2009,Enrique Herrera,Enrique,Herrera,,"{""Address"": ""enrique.herrera009@example.com""}","{""FreeFormNumber"": ""+15755556409""}","{""Line1"": ""109 Foster St"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",423,true,false,Preferred retail buyer
