Date	Store	Item	Category	Quantity	Unit_Price	Total	Payment_Method
2025-11-02	Missoula Community Food Co-op	Oat milk (half gallon)	Dairy alternative	2	4.29	8.58	Capital One Venture x4487
2025-11-02	Missoula Community Food Co-op	Brown rice (2 lb bag)	Grains	1	3.89	3.89	Capital One Venture x4487
2025-11-02	Missoula Community Food Co-op	Lacinato kale (bunch)	Produce	2	2.49	4.98	Capital One Venture x4487
2025-11-02	Missoula Community Food Co-op	Chickpeas canned	Legumes	3	1.79	5.37	Capital One Venture x4487
2025-11-02	Missoula Community Food Co-op	Zootown Roasters whole bean coffee (12 oz)	Coffee	1	17.50	17.50	Capital One Venture x4487
2025-11-02	Missoula Community Food Co-op	Olive oil (500 ml)	Oils	1	11.99	11.99	Capital One Venture x4487
2025-11-02	Missoula Community Food Co-op	Sourdough loaf	Bread	1	6.50	6.50	Capital One Venture x4487
2025-11-04	Rosauers	Chicken thighs bone-in (2 lb)	Meat	1	7.48	7.48	Capital One Venture x4487
2025-11-04	Rosauers	Greek yogurt plain (32 oz)	Dairy	1	5.99	5.99	Capital One Venture x4487
2025-11-04	Rosauers	Sweet potatoes (3 lb)	Produce	1	4.29	4.29	Capital One Venture x4487
2025-11-04	Rosauers	Broccoli (head)	Produce	2	1.99	3.98	Capital One Venture x4487
2025-11-04	Rosauers	Eggs free range (dozen)	Dairy	2	6.49	12.98	Capital One Venture x4487
2025-11-04	Rosauers	Canned tomatoes (28 oz)	Pantry	3	2.39	7.17	Capital One Venture x4487
2025-11-04	Rosauers	White wine (750 ml)	Wine	1	12.99	12.99	Capital One Venture x4487
2025-11-08	Missoula Community Food Co-op	Tahini (16 oz)	Condiments	1	9.99	9.99	Capital One Venture x4487
2025-11-08	Missoula Community Food Co-op	Dried lentils (1 lb)	Legumes	2	2.79	5.58	Capital One Venture x4487
2025-11-08	Missoula Community Food Co-op	Nutritional yeast	Pantry	1	7.49	7.49	Capital One Venture x4487
2025-11-08	Missoula Community Food Co-op	Lemons	Produce	6	0.79	4.74	Capital One Venture x4487
2025-11-11	Rosauers	Ground beef 90/10 (1 lb)	Meat	1	8.29	8.29	Capital One Venture x4487
2025-11-11	Rosauers	Bell peppers	Produce	3	1.49	4.47	Capital One Venture x4487
2025-11-11	Rosauers	Onions (3 lb bag)	Produce	1	3.49	3.49	Capital One Venture x4487
2025-11-11	Rosauers	Garlic (head)	Produce	3	0.89	2.67	Capital One Venture x4487
2025-11-11	Rosauers	Red wine (750 ml)	Wine	1	14.99	14.99	Capital One Venture x4487
2025-11-15	Missoula Community Food Co-op	Zootown Roasters whole bean coffee (12 oz)	Coffee	1	17.50	17.50	Capital One Venture x4487
2025-11-15	Missoula Community Food Co-op	Butter grass-fed (8 oz)	Dairy	2	6.49	12.98	Capital One Venture x4487
2025-11-15	Missoula Community Food Co-op	Miso paste white (14 oz)	Condiments	1	8.99	8.99	Capital One Venture x4487
2025-11-18	Rosauers	Turkey breast (for Thanksgiving prep)	Meat	1	24.99	24.99	Capital One Venture x4487
2025-11-18	Rosauers	Celery (bunch)	Produce	1	2.29	2.29	Capital One Venture x4487
2025-11-18	Rosauers	Carrots (1 lb)	Produce	2	1.99	3.98	Capital One Venture x4487
2025-11-18	Rosauers	Heavy cream (1 pint)	Dairy	1	4.99	4.99	Capital One Venture x4487
2025-11-18	Rosauers	Russet potatoes (5 lb)	Produce	1	5.49	5.49	Capital One Venture x4487
2025-11-18	Rosauers	Green beans (1 lb)	Produce	1	3.29	3.29	Capital One Venture x4487
2025-11-22	Missoula Community Food Co-op	Honey local (12 oz)	Pantry	1	10.99	10.99	Capital One Venture x4487
2025-11-22	Missoula Community Food Co-op	Cardamom ground	Spices	1	5.49	5.49	Capital One Venture x4487
2025-11-25	Rosauers	Dried cranberries	Pantry	1	4.99	4.99	Capital One Venture x4487
2025-11-25	Rosauers	Sparkling cider (750 ml)	Beverages	2	7.99	15.98	Capital One Venture x4487
2025-12-01	Missoula Community Food Co-op	Zootown Roasters whole bean coffee (12 oz)	Coffee	1	17.50	17.50	Capital One Venture x4487
2025-12-01	Missoula Community Food Co-op	Brown rice (2 lb)	Grains	2	3.89	7.78	Capital One Venture x4487
2025-12-01	Missoula Community Food Co-op	Tofu firm (14 oz)	Protein	2	3.29	6.58	Capital One Venture x4487
2025-12-01	Missoula Community Food Co-op	Soy sauce (10 oz)	Condiments	1	4.49	4.49	Capital One Venture x4487
2025-12-03	Rosauers	Salmon fillet (1 lb)	Seafood	1	13.99	13.99	Capital One Venture x4487
2025-12-03	Rosauers	Spinach baby (5 oz)	Produce	2	4.49	8.98	Capital One Venture x4487
2025-12-03	Rosauers	Mushrooms cremini (8 oz)	Produce	1	3.99	3.99	Capital One Venture x4487
2025-12-03	Rosauers	Pasta (1 lb)	Grains	3	2.29	6.87	Capital One Venture x4487
2025-12-03	Rosauers	Red wine (750 ml)	Wine	1	15.99	15.99	Capital One Venture x4487
2025-12-08	Missoula Community Food Co-op	Dried figs	Snacks	1	7.99	7.99	Capital One Venture x4487
