Date	Service	Plan	Account_ID	Amount	Payment_Method	Status	Next_Billing_Date
2025-01-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2025-02-01
2025-01-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2025-02-01
2025-01-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2025-02-01
2025-01-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2025-02-01
2025-02-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2025-03-01
2025-02-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2025-03-01
2025-02-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2025-03-01
2025-02-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2025-03-01
2025-03-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2025-04-01
2025-03-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2025-04-01
2025-03-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2025-04-01
2025-03-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2025-04-01
2025-04-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2025-05-01
2025-04-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2025-05-01
2025-04-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2025-05-01
2025-04-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2025-05-01
