Name	Relationship	Date_of_Birth	Age	Phone	Email	Location	Notes
Rowan McAllister	Partner	1996-10-12	29	406-555-0312	rowan.mcallister.mt@gmail.com	Missoula, MT	Wildland firefighter (May-Sep); environmental educator (off-season); dating since January 2026
Jude Schultz	Mother	1968-03-22	58	208-555-0188	jude.schultz.boise@gmail.com	Boise, ID	Social worker; closest family member; calls every Sunday 11am MT; birthday March 22
Carter Schultz	Father	1964-08-08	61	208-555-0190	carter.schultz.boise@gmail.com	Boise, ID	Retired firefighter; phone call relationship; birthday August 8; working on pronouns
Willa Schultz	Sister	1999-05-30	27	208-555-0195	willa.schultz.boise@gmail.com	Boise, ID	Dental hygienist; texts daily; dark sense of humor; birthday May 30
Sasha Amin	Best friend	1995-09-04	30	406-555-0334	sasha.amin.mso@gmail.com	Missoula, MT	Physical therapist; met at 2020 conference; cooking nights alternating Thursdays; birthday September 4 (Frank covers dinner)
Dr. Lisa Tran	Supervising OT	N/A	N/A	406-555-0600	N/A	Bitterroot Rehabilitation Center, Missoula	Clinical director; biweekly case consult Wednesdays; text preferred
Dr. Amira Okafor	Primary care physician	N/A	N/A	406-555-0710	N/A	Mountain View Primary Care, Missoula	Annual physical in July; book via Mountain View patient portal
Dr. Kevin Sorensen	ENT	N/A	N/A	406-555-0725	N/A	Western Montana Sinus Center, Missoula	Annual follow-up in October; book via WMT Sinus portal
Dr. Nguyen	Dentist	N/A	N/A	406-555-0730	N/A	Missoula Family Dental, Missoula	Biannual cleanings May and November; book via MFD portal
Dr. Carla Jensen	Therapist	N/A	N/A	406-555-0740	N/A	Missoula Counseling Associates, Missoula	Approximately every three weeks; book via MCA portal; not crisis-based
