Member_ID	Name	Department	Role	Dues_Status	Member_Since
BEU-2201	David A. Russo	History	Building Rep	Current	2019-09
BEU-2202	Patricia Vale	History	Member	Current	2008-09
BEU-1185	Gregory Hahn	English	Steward	Current	2011-09
BEU-2390	Yolanda Pierce	Math	Member	Current	2016-09
BEU-2455	Daniel Ortiz	Science	Member	Current	2018-09
BEU-2511	Aisha Bello	World Languages	Member	Current	2020-09
BEU-1902	Frank Delgado	History	Member	Past Due	2014-09
BEU-2620	Megan Walsh	Special Education	Member	Current	2021-09
BEU-2099	Robert Tanaka	Science	Member	Current	2015-09
BEU-2733	Nadia Khan	English	Member	Current	2022-09
BEU-2810	Owen Bradley	Physical Education	Member	Current	2023-09
BEU-1740	Sandra Mills	Math	Steward	Current	2010-09
