id,createdTime,order_id,customer_name,customer_email,item,pickup_date,pickup_window_start,pickup_window_end,price,status,tracker_last_updated,intake_source,deposit_status,dietary_flags,allergen_note,decoration_notes,priority,last_contact
recHC01Mitchell000,2026-11-22T14:11:00.000Z,KIRUS-2026-1101,Sarah Mitchell,sarah.mitchell.bk@gmail.com,chocolate babka trio,2026-12-06,10:00,11:00,85,In progress,2026-11-22,Typeform,Paid,contains-gluten;contains-dairy,wheat eggs dairy,trio boxed with ribbon,Standard,2026-11-22
recHC02Sharma00000,2026-11-22T15:02:00.000Z,KIRUS-2026-1104,Priya Sharma,priya.sharma.ny@gmail.com,pear frangipane tart,2026-12-04,17:00,18:00,55,In progress,2026-11-22,Typeform,Paid,contains-nuts;contains-gluten,tree nuts (almond) wheat dairy,single 9 inch tart,Standard,2026-11-22
recHC03Baptiste000,2026-11-22T16:41:00.000Z,KIRUS-2026-1108,Jerome Baptiste,jerome.baptiste@outlook.com,sweet potato pie x2,2026-12-08,15:30,16:30,60,Open,2026-11-22,Typeform,Pending,contains-gluten;contains-dairy,wheat eggs dairy,two 9 inch pies,Standard,2026-11-22
recHC04Rossi000000,2026-11-22T18:00:00.000Z,KIRUS-2026-1110,Angela Rossi,angela.rossi@gmail.com,kouign amann box of 24,2026-12-05,09:00,10:00,96,In progress,2026-11-22,Typeform,Paid,contains-gluten;contains-dairy,wheat dairy,box of 24 boxed flat,High,2026-11-22
recHC05ChenM000000,2026-11-23T10:34:00.000Z,KIRUS-2026-1112,Marcus Chen,marcus.chen.bk@gmail.com,chocolate bourbon pecan pie,2026-12-11,16:00,17:00,52,Open,2026-11-23,Typeform,Pending,contains-nuts;contains-gluten,tree nuts (pecan) wheat eggs,single pie bourbon glaze,Standard,2026-11-23
recHC06Washington0,2026-11-23T12:22:00.000Z,KIRUS-2026-1115,Nia Washington,nia.washington@gmail.com,sweet potato pie plus rugelach box,2026-12-07,17:00,18:00,58,Open,2026-11-23,Typeform,Pending,contains-nuts;contains-dairy,tree nuts wheat dairy,pie plus rugelach dozen,Standard,2026-11-23
recHC07Cohen000000,2026-11-23T14:11:00.000Z,KIRUS-2026-1116,Yasmin Cohen,yasmin.cohen@outlook.com,Kwanzaa cake custom design,2026-12-12,11:00,12:00,145,In progress,2026-11-23,Typeform,Paid,contains-gluten;contains-dairy,wheat eggs dairy,custom red green black decor,High,2026-11-23
recHC08OBrien00000,2026-11-23T17:44:00.000Z,KIRUS-2026-1118,Thomas O Brien,thomas.obrien.ny@gmail.com,cranberry orange bundt,2026-12-09,16:30,17:30,48,Open,2026-11-23,Typeform,Pending,contains-gluten;contains-dairy,wheat eggs dairy,single bundt orange glaze,Standard,2026-11-23
recHC09NgRebecca00,2026-11-24T09:12:00.000Z,KIRUS-2026-1119,Rebecca Ng,rebecca.ng.brooklyn@gmail.com,almond horn cookies box of 24,2026-12-08,15:00,16:00,54,Open,2026-11-24,Typeform,Pending,contains-nuts,tree nuts (almond),box of 24 cookies,Standard,2026-11-24
recHC10Alvarez0000,2026-11-24T09:47:00.000Z,KIRUS-2026-1120,Rita Alvarez,rita.alvarez.ny@gmail.com,Southern pound cake,2026-12-08,16:00,17:00,42,Open,2026-11-24,Typeform,Pending,contains-gluten;contains-dairy,wheat eggs dairy,single loaf pound cake,Standard,2026-11-24
recHC11Adams000000,2026-11-24T10:15:00.000Z,KIRUS-2026-1122,Rachel Adams,rachel.adams.bk@gmail.com,chocolate chestnut Yule log,2026-12-05,15:00,16:00,115,In progress,2026-11-24,Typeform,Paid,contains-nuts;contains-dairy,tree nuts (chestnut) wheat dairy,buttercream bark finish,High,2026-11-24
recHC12ParkGrace00,2026-11-24T11:22:00.000Z,KIRUS-2026-1124,Grace Park,grace.park.ny@gmail.com,almond pear tart,2026-12-06,10:00,11:00,50,Open,2026-11-24,Typeform,Pending,contains-nuts;contains-gluten,tree nuts (almond) wheat,single tart,Standard,2026-11-24
recHC13Torres00000,2026-11-24T13:01:00.000Z,KIRUS-2026-1125,Michael Torres,michael.torres.bk@gmail.com,bourbon pecan pie x2,2026-12-12,10:00,11:00,104,In progress,2026-11-24,Typeform,Paid,contains-nuts;contains-gluten,tree nuts (pecan) wheat eggs,two pies bourbon,High,2026-11-24
recHC14Russo000000,2026-11-24T14:33:00.000Z,KIRUS-2026-1127,Anthony Russo,anthony.russo.bk@gmail.com,cannoli tray of 12,2026-12-10,17:00,18:00,54,Open,2026-11-24,Typeform,Pending,contains-gluten;contains-dairy,wheat dairy,tray of 12 filled fresh,Standard,2026-11-24
recHC15ChenEmilyA0,2026-11-24T15:08:00.000Z,KIRUS-2026-1128,Emily Chen,emily.chen.bk@gmail.com,chocolate babka plus Kwanzaa cookies,2026-12-08,16:00,17:00,88,Open,2026-11-24,Typeform,Pending,contains-gluten;contains-dairy,wheat eggs dairy,babka plus cookie box,Standard,2026-11-24
recHC16ChenEmilyB0,2026-11-24T15:34:00.000Z,KIRUS-2026-1131,Emily Chen,emily.chen.bk@gmail.com,chocolate babka plus Kwanzaa cookies,2026-12-08,16:00,17:00,88,Open,2026-11-24,Typeform,Pending,contains-gluten;contains-dairy,wheat eggs dairy,babka plus cookie box,Standard,2026-11-24
recHC17Hassan00000,2026-11-25T09:52:00.000Z,KIRUS-2026-1132,Fatima Hassan,fatima.hassan.ny@gmail.com,sweet potato pie x3,2026-12-11,16:00,17:00,90,Open,2026-11-25,Typeform,Pending,contains-gluten;contains-dairy,wheat eggs dairy,three 9 inch pies,High,2026-11-25
recHC18LeeJasmine0,2026-11-25T11:19:00.000Z,KIRUS-2026-1135,Jasmine Lee,jasmine.lee.bk@gmail.com,chocolate chestnut Yule log,2026-12-12,10:00,11:00,115,In progress,2026-11-25,Typeform,Paid,contains-nuts;contains-dairy,tree nuts (chestnut) wheat dairy,buttercream bark finish,High,2026-11-25
