Reg_Num	Last_Name	First_Name	USCF_ID	Rating	Club_Affiliation	Section	Reg_Date
1	Okonkwo	Chukwuemeka	12918472	2187	Silver Spring Chess Club	Open	2025-05-14
2	Levin	Daniel	10847291	2041	Takoma Park Chess Society	Open	2025-05-18
3	Park	James	11204837	1994	Bethesda Chess Club	Open	2025-05-20
4	Hassan	Omar	13847291	1978	Capitol Hill Chess	Open	2025-05-22
5	Chen	Wei	12047831	1942	Silver Spring Chess Club	Open	2025-06-01
6	Kowalski	Brian	10294817	1920	Montgomery Chess Federation	Open	2025-06-03
7	Nakamura	Kenji	11847291	1888	Bethesda Chess Club	Open	2025-06-05
8	Williams	Marcus	12948172	1872	Capitol Hill Chess	Open	2025-06-07
9	Patel	Rajan	13029481	1851	Silver Spring Chess Club	Open	2025-06-08
10	Torres	Maria	11204837	1844	Arlington Chess Club	Open	2025-06-09
11	Nguyen	Tony Sr.	12847391	1850	MACCF (Director)	Open	2025-05-10
12	Mitchell	Frank	10948271	1840	MACCF Board	Open	2025-05-10
13	Henderson	William	10294817	1790	Takoma Park Chess Society	Open	2025-05-21
14	Alvarez	Pedro	12048371	1782	Silver Spring Chess Club	Open	2025-06-10
15	Diaz	Luis	11847291	1760	Rockville Chess Club	Open	2025-06-10
16	Gomez	Fernando	10384720	1741	Capitol Hill Chess	Open	2025-06-11
17	Brown	Isaiah	12948102	1724	Bethesda Chess Club	Open	2025-06-12
18	Washington	Terrell	11029481	1711	Silver Spring Chess Club	Open	2025-06-13
19	Garcia	Jorge	13847102	1698	Montgomery Chess Federation	Open	2025-06-14
20	Singh	Harpreet	12048192	1681	Arlington Chess Club	Open	2025-06-14
21	Kim	Jae-Won	10284719	1655	Silver Spring Chess Club	Reserve	2025-05-28
22	Osei	Kwame	11847201	1642	Takoma Park Chess Society	Reserve	2025-06-01
23	Morales	Diego	12948102	1630	Rockville Chess Club	Reserve	2025-06-03
24	Ibrahim	Omar	13048201	1617	Capitol Hill Chess	Reserve	2025-06-05
25	Petrov	Nikolai	10384712	1601	Bethesda Chess Club	Reserve	2025-06-07
26	Yusuf	Musa	11294817	1588	Silver Spring Chess Club	Reserve	2025-06-09
27	Richardson	Calvin	12048371	1574	Montgomery Chess Federation	Reserve	2025-06-10
28	Fernandez	Gloria	10294817	1561	Arlington Chess Club	Reserve	2025-06-11
29	Johnson	Amara	13847102	1548	Silver Spring Chess Club	Reserve	2025-06-12
30	Gupta	Vikram	12048192	1534	Capitol Hill Chess	Reserve	2025-06-13
31	Nguyen	Tony Jr.	19284710	2050	Silverbrook Academy	Open	2025-05-12
32	Lee	Soo-Yeon	11847291	1821	Silver Spring Chess Club	Open	2025-06-09
33	Adeola	Taiwo	12948201	1480	MACCF Youth Program	Scholastic	2025-06-01
34	Wang	Li	10384729	1390	MACCF Youth Program	Scholastic	2025-06-01
35	Owusu	Philip	11294817	1340	MACCF Youth Program	Scholastic	2025-06-01
36	Stewart	Maya	12048371	1280	MACCF Youth Program	Scholastic	2025-06-01
37	Thompson	Byron	10294817	1240	MACCF Youth Program	Scholastic	2025-06-01
