Fund_Name	Ticker	Shares_Held	Price_Per_Share_USD	Market_Value_USD	Gain_Loss_USD	Pct_Change
Vanguard Total Stock Market Index Fund	VTSAX	412.840	$120.48	$49,724.50	$2,841.20	6.1%
Vanguard Total International Stock Index Fund	VTIAX	289.610	$34.12	$9,880.49	$381.40	4.0%
Vanguard Total Bond Market Index Fund	VBTLX	618.220	$9.82	$6,070.92	-$124.80	-2.0%
Vanguard Balanced Index Fund Investor Shares	VBINX	894.440	$41.77	$37,354.16	$1,620.90	4.5%
Vanguard Short-Term Bond Index Fund	VBIRX	427.810	$10.54	$4,511.12	$42.80	1.0%
Vanguard GNMA Fund Investor Shares	VFIIX	311.500	$9.48	$2,953.02	-$62.30	-2.1%
Vanguard LifeStrategy Conservative Growth Fund	VSCGX	284.600	$38.11	$10,846.09	$448.20	4.3%
Vanguard Dividend Growth Fund Investor Shares	VDIGX	212.880	$41.62	$8,859.76	$381.40	4.5%
Vanguard Federal Money Market Fund	VMFXX	8,300.000	$1.00	$8,300.00	$0.00	0.0%
Vanguard Target Retirement 2020 Fund	VTWNX	143.800	$40.83	$5,871.35	$214.80	3.8%
TOTAL PORTFOLIO				$154,371.41	$5,743.60	3.9%

Account Number:	Vanguard Account 7483192604					
Account Holder:	Tony Michael Nguyen Sr. (managed by Eric Nguyen, Financial POA)					
Report Period:	Q4 2025 (October 1, 2025 to December 31, 2025)					
