Payment_Date	Amount	Method	Account	Reference_No	Notes
2024-01-10	$1,805.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20240110-4512	2024 benefit rate. Retroactive COLA adjustment included.
2024-02-14	$1,805.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20240214-4513	
2024-03-13	$1,805.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20240313-4514	
2024-04-10	$1,805.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20240410-4515	
2024-05-08	$1,805.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20240508-4516	
2024-06-12	$1,805.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20240612-4517	
2024-07-10	$1,805.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20240710-4518	
2024-08-14	$1,805.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20240814-4519	
2024-09-11	$1,805.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20240911-4520	
2024-10-09	$1,805.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20241009-4521	
2024-11-13	$1,805.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20241113-4522	
2024-12-11	$1,805.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20241211-4523	
2025-01-08	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20250108-4524	2025 benefit rate. COLA adjustment applied - 2.5 percent.
2025-02-12	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20250212-4525	
2025-03-12	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20250312-4526	
2025-04-09	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20250409-4527	
2025-05-14	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20250514-4528	
2025-06-11	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20250611-4529	
2025-07-09	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20250709-4530	
2025-08-13	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20250813-4531	
2025-09-10	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20250910-4532	
2025-10-08	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20251008-4533	
2025-11-12	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20251112-4534	
2025-12-10	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20251210-4535	
2026-01-14	$1,850.00	Direct Deposit	Dacotah Bank Checking 447-188203	SSA-20260114-4536	2026 payment received on schedule.
