id,name,email,description,currency,delinquent,balance,created,phone
cus_marcus_chen,Marcus Chen,marcus.chen@gmail.com,Adult kendo member,usd,False,0,1730700000,+15035550301
cus_lisa_nguyen,Lisa Nguyen,lisa.nguyen@gmail.com,Youth kendo parent (Sam Nguyen),usd,False,0,1739300000,+15035550302
cus_david_park,David Park,david.park@gmail.com,Adult judo member,usd,False,0,1745300000,+15035550303
cus_haruki_tanaka,Haruki Tanaka,haruki.tanaka@gmail.com,Willamette Kendo visitor,usd,False,0,1748900000,+15035550304
cus_rachel_kim,Rachel Kim,rachel.kim@gmail.com,Adult kendo member,usd,False,0,1750100000,+15035550305
cus_jordan_wms,Jordan Williams,jordan.williams@gmail.com,Adult judo member,usd,False,0,1751400000,+15035550306
cus_ashley_brown,Ashley Brown,ashley.brown@gmail.com,Youth judo parent,usd,False,0,1754100000,+15035550307
cus_mateo_alvarez,Mateo Alvarez,mateo.alvarez@gmail.com,Adult kendo member,usd,True,9500,1755800000,+15035550308
cus_beaverton_brew,Beaverton Brewing Co.,sponsorships@beavertonbrewing.com,"Title sponsor (wire, not Stripe)",usd,False,0,1720000000,+15035550401
cus_pnw_cu,Pacific NW Credit Union,sponsorships@pacificnwcu.org,Gold sponsor (Stripe ACH),usd,False,0,1720000000,+15035550402
cus_tanaka_supply,Tanaka Martial Supply,sales@tanakamartial.com,Silver sponsor (Stripe card),usd,False,0,1721000000,+15035550404
cus_oregon_ins,Oregon Trail Insurance,community@oregontrailins.com,Bronze sponsor (Stripe card),usd,False,0,1722000000,+15035550405
cus_green_leaf,Green Leaf Organics,events@greenleaforganics.com,Bronze sponsor (Stripe card),usd,False,0,1722100000,+15035550406
cus_0003013,Miku Moore,miku.moore480@icloud.com,2025-09-12,Sponsor,detail_577,7.82,detail_766,+15034918576
cus_0003014,Jamal Liu,jamal.liu579@gmail.com,2026-03-28,Sponsor,detail_204,183.31,detail_658,+15035578416
cus_0003015,Jack Kobayashi,jack.kobayashi491@protonmail.com,2024-06-07,Sponsor,detail_428,290.47,detail_111,+15034191050
cus_0003016,Emilio Chen,emilio.chen300@hotmail.com,2023-02-06,Drop-in,detail_872,62.04,detail_953,+15033206935
cus_0003017,Sanjay Hernandez,sanjay.hernandez457@hotmail.com,2023-01-16,Sponsor,detail_217,371.13,detail_854,+15032444652
cus_0003018,Priya Huang,priya.huang760@protonmail.com,2024-01-31,Cedar Ridge Membership,detail_212,70.98,detail_513,+15038539209
cus_0003019,Yumi Yoshida,yumi.yoshida231@icloud.com,2026-08-31,Cedar Ridge Membership,detail_126,11.7,detail_513,+15036310024
cus_0003020,Delia Nakamura,delia.nakamura789@outlook.com,2025-08-28,Cedar Ridge Membership,detail_182,103.43,detail_825,+15035394720
cus_0003021,Aiko Huang,aiko.huang90@outlook.com,2025-03-14,Cedar Ridge Membership,detail_838,231.48,detail_497,+15039890599
cus_0003022,Sofia Nair,sofia.nair743@hotmail.com,2023-02-20,Drop-in,detail_994,235.09,detail_175,+15037481979
cus_0003023,Reed Lewis,reed.lewis729@yahoo.com,2025-05-25,Cedar Ridge Membership,detail_214,430.59,detail_700,+15036844234
cus_0003024,Reed Scott,reed.scott733@protonmail.com,2025-12-29,Drop-in,detail_238,495.38,detail_753,+15038753148
cus_0003025,Meera Perez,meera.perez529@icloud.com,2026-06-19,Drop-in,detail_213,341.85,detail_121,+15034386498
cus_0003026,Sora Shah,sora.shah519@yahoo.com,2025-04-20,Drop-in,detail_557,5.06,detail_904,+15037090916
cus_0003027,Juno Garcia,juno.garcia537@protonmail.com,2025-11-28,Sponsor,detail_175,98.58,detail_598,+15038111635
cus_0003028,Rafael Perez,rafael.perez224@icloud.com,2026-04-02,Sponsor,detail_964,110.78,detail_879,+15034129282
