account_id,name,official_name,mask,type,subtype,available,current,limit,iso_currency_code
acc_marcus_hysa,Marcus HYSA House Fund,Marcus by Goldman Sachs High-Yield Savings,8842,depository,savings,38000.00,38000.00,,USD
acc_reed_emergency,Reed Emergency Fund,Ally Online Savings,6201,depository,savings,16000.00,16000.00,,USD
acc_reed_baby,Reed Baby Fund,Ally Online Savings,6250,depository,savings,4500.00,4500.00,,USD
acc_wf_joint_chk,Wells Fargo Joint Checking,Wells Fargo Everyday Checking,3319,depository,checking,12800.00,12800.00,,USD
acc_wf_rsn_biz_chk,Reed Security Notes Business Checking,Wells Fargo Initiate Business Checking,0417,depository,checking,12480.55,12480.55,,USD
acc_chase_sapphire,Chase Sapphire Reserve,Chase Sapphire Reserve Credit Card,9022,credit,credit card,8150.00,-1850.00,10000.00,USD
acc_usaa_auto,USAA Auto Loan,USAA Federal Savings Bank Auto Loan,7104,loan,auto,,-9420.00,,USD
acc_plaid_2850c34e14,Bell-Rodriguez Account,"Melton, Hull and Lambert Savings",7815,credit,401k,10420.63,16622.30,,USD
acc_plaid_64cbbe3173,Jones-Williams Account,Turner-Moreno Savings,2386,credit,checking,24816.72,19522.83,,USD
acc_plaid_16de8d0ecf,"Cervantes, Blackwell and Baker Account","Callahan, Schmidt and Reyes Checking",1532,loan,savings,10068.32,13470.65,,USD
acc_plaid_3dfd4b0500,"Campbell, Russell and Lee Account","Carroll, Roberts and Mercado Checking",4075,loan,checking,25331.90,11549.09,,USD
acc_plaid_db312fda58,"Bennett, Smith and Lynch Account","Perez, Erickson and Harris Checking",2504,investment,auto,13452.68,16455.98,,USD
acc_plaid_2eb8cfed68,"Powell, Rogers and Young Account","Freeman, Russo and Jackson Savings",4961,loan,401k,9997.74,6638.49,,USD
acc_plaid_92d93cff21,Gonzales Inc Account,"Harvey, Wilson and Werner Money Market",6126,loan,brokerage,16086.49,8277.42,,USD
acc_plaid_5b08fa3c51,"Young, Smith and Fitzgerald Account",Perez Group Money Market,3787,investment,401k,20331.02,24302.71,,USD
acc_plaid_d8c3848b4e,"Clark, Cook and Harris Account",Solomon-Martinez Money Market,3478,credit,401k,15029.57,28127.34,,USD
acc_plaid_e5db27675b,"Boyer, Singleton and Richardson Account","Schroeder, Schmidt and Ramsey Checking",1015,depository,brokerage,3494.79,22978.87,,USD
acc_plaid_5fbd87e10c,Marsh-Mendoza Account,Davis Group Savings,2041,credit,auto,25405.06,18931.59,,USD
acc_plaid_626e4f6cf9,Baker Group Account,Elliott-Sanchez Money Market,3642,investment,brokerage,930.22,16241.99,,USD
acc_plaid_8f20a47ad3,Kelley Group Account,Tucker LLC Checking,4128,depository,checking,17432.87,11351.39,,USD
acc_plaid_30ad129b49,"Steele, Mullins and Barker Account","Walker, Hunt and Jones Savings",8544,credit,credit card,25905.75,4890.71,,USD
acc_plaid_2273e59698,Peck Ltd Account,Wolfe-Williams Money Market,5023,credit,checking,6956.25,15978.51,,USD
acc_plaid_808ad072c6,"Reed, Jimenez and Miller Account",Jones Group Money Market,2099,depository,savings,4055.02,21251.34,,USD
acc_plaid_020e61c898,"Weeks, Stewart and Whitney Account",Medina-Arias Money Market,5304,investment,checking,19812.19,26863.92,,USD
acc_plaid_1d9d939e86,Gonzalez Inc Account,"Jackson, Fisher and Watson Checking",8109,loan,savings,14032.96,20525.70,,USD
acc_plaid_4d32e9457c,"Jenkins, Long and Forbes Account",Miller Group Money Market,9829,loan,checking,18239.28,27158.46,,USD
acc_plaid_15cd69ecb5,Reyes Inc Account,"Lawrence, Johnson and Wolf Checking",2493,loan,401k,13093.26,2885.08,,USD
