id,name,login,role,status,language,timezone,space_amount,space_used,max_upload_size,job_title,phone,created_at
bx_u_jae,Jae Chandler,jae.chandler@Finthesiss.ai,user,active,en,America/Chicago,107374182400,8589934592,5368709120,Owner / Master Electrician,(414) 555-6289,2024-09-01T09:00:00-05:00
bx_u_maria,Maria Suarez,maria@harborview-walker.com,user,active,en,America/Chicago,107374182400,21474836480,5368709120,Property Manager,(414) 555-2410,2025-02-10T10:00:00-05:00
bx_u_tyler,Tyler Brown,tyler.brown@harborview-walker.com,admin,active,en,America/Chicago,107374182400,53687091200,5368709120,General Contractor,(414) 555-2811,2024-01-15T09:00:00-05:00
user_oycn,ukra 6crrca,amy.5nrs@yahoo.com,admin,active,en,America/New_York,10737418240,4286021050,52428800,Electrician,+14145558309,2025-09-22T01:57:00
user_oq23,mie9 2g5t7w,mike.ruzi@outlook.com,user,inactive,en,America/New_York,10737418240,1823927077,52428800,Electrician,+14145558697,2025-03-12T22:34:00
user_hb2n,xqh2 259we3,mark.q86l@contractor.net,admin,inactive,en,America/New_York,10737418240,637821238,52428800,Electrician,+14145556308,2026-01-24T23:10:00
user_38y1,79zs 79oc2g,sue.swe7@gmail.com,admin,active,en,America/New_York,10737418240,4845497331,52428800,Electrician,+14145551087,2025-11-02T02:12:00
user_kpik,urdj 91vuv6,amy.rub2@hotmail.com,admin,inactive,en,America/New_York,10737418240,279433274,52428800,Electrician,+14145554773,2025-06-14T03:20:00
user_l02z,jl2n x78p3h,bob.cvot@outlook.com,admin,active,en,America/New_York,10737418240,5072702066,52428800,Electrician,+14145554956,2025-06-25T17:52:00
user_sk1l,7mqw dkhdw7,sarah.t7ya@chandlerelectric.com,user,inactive,en,America/New_York,10737418240,1266121667,52428800,Electrician,+14145553967,2025-06-07T00:21:00
user_8gk6,6i3o sbu6rt,dan.5byo@gmail.com,user,inactive,en,America/New_York,10737418240,747943933,52428800,Electrician,+14145558012,2026-05-29T08:01:00
user_9fm9,05gx tnowt1,mark.iykl@outlook.com,admin,inactive,en,America/New_York,10737418240,469983605,52428800,Electrician,+14145557698,2026-04-25T17:34:00
user_e296,eoau lnyyjt,joe.pbgj@chandlerelectric.com,admin,inactive,en,America/New_York,10737418240,2339008226,52428800,Electrician,+14145557150,2025-12-01T08:45:00
user_1c8n,4p5e 13wbze,lisa.fbal@chandlerelectric.com,user,inactive,en,America/New_York,10737418240,1685028488,52428800,Electrician,+14145552047,2025-11-11T08:57:00
user_s2cr,lygj eij6o7,amy.5xvx@contractor.net,user,inactive,en,America/New_York,10737418240,4690363144,52428800,Electrician,+14145556708,2026-03-30T05:32:00
user_wjoo,i9tz z3f8e6,joe.hnzs@chandlerelectric.com,user,inactive,en,America/New_York,10737418240,3512753389,52428800,Electrician,+14145555747,2025-09-14T09:22:00
user_0h78,3glw zjfyqw,sue.iqsb@outlook.com,user,active,en,America/New_York,10737418240,1816704956,52428800,Electrician,+14145558475,2025-11-14T07:05:00
user_b2b2,oao8 3xfgoq,jane.jzy7@gmail.com,admin,inactive,en,America/New_York,10737418240,4711505292,52428800,Electrician,+14145558741,2025-03-26T07:46:00
user_ku2c,27t4 090s3d,lisa.yn2l@yahoo.com,admin,inactive,en,America/New_York,10737418240,3892656801,52428800,Electrician,+14145552076,2026-09-07T05:43:00
user_6563,0ovl 3wirk6,tom.lv44@gmail.com,user,active,en,America/New_York,10737418240,4472405099,52428800,Electrician,+14145551312,2025-07-06T10:57:00
user_oqs0,ls8r byr7kc,chris.kaqp@contractor.net,admin,active,en,America/New_York,10737418240,3772640073,52428800,Electrician,+14145556049,2025-06-13T07:18:00
user_lltm,i7tb akhxw9,sue.rv3v@gmail.com,user,active,en,America/New_York,10737418240,4037999776,52428800,Electrician,+14145553708,2025-08-16T14:17:00
user_m96t,is6j fy0724,dan.lgkw@hotmail.com,admin,active,en,America/New_York,10737418240,1579883278,52428800,Electrician,+14145554511,2025-08-25T18:19:00
user_wgta,lftt beg0tv,mike.8dgd@chandlerelectric.com,user,active,en,America/New_York,10737418240,4675488625,52428800,Electrician,+14145557566,2026-08-31T19:32:00
user_ebn5,q11t mbtlql,jane.4pkc@contractor.net,admin,active,en,America/New_York,10737418240,4370913501,52428800,Electrician,+14145551378,2025-01-20T00:46:00
