id,name,domain,industry,city,state,numberofemployees,annualrevenue,createdate
hs-co-shibui,Shibui Gallery Kyoto,shibui-gallery.jp,Fine Art Gallery,Kyoto,Kyoto,4,42000000.0,2024-06-01T09:00:00Z
hs-co-terre,Galerie Terre Paris,galerie-terre.fr,Fine Art Gallery,Paris,Ile-de-France,6,68000000.0,2025-01-10T09:00:00Z
hs-co-museum,Kyoto Craft Museum,kyotocraftmuseum.or.jp,Museum,Kyoto,Kyoto,22,210000000.0,2026-02-14T09:00:00Z
hs-co-hcc,Higashiyama Craft Collective,higashiyama-collective.jp,Craft Collective,Kyoto,Kyoto,8,8500000.0,2020-04-01T09:00:00Z
hs-co-priv-001,Kobayashi household private,,Private Collector,Kobe,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-002,Yamamoto household private,,Private Collector,Sapporo,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-003,Sato household private,,Private Collector,Kanazawa,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-004,Yoshida household private,,Private Collector,Tokyo,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-005,Ito household private,,Private Collector,Sendai,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-006,Abe household private,,Private Collector,Kobe,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-007,Nakamura household private,,Private Collector,Sendai,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-008,Matsumoto household private,,Private Collector,Kyoto,Kansai,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-009,Sasaki household private,,Private Collector,Fukuoka,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-010,Yamazaki household private,,Private Collector,Sendai,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-011,Kato household private,,Private Collector,Nagoya,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-012,Abe household private,,Private Collector,Fukuoka,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-013,Matsumoto household private,,Private Collector,Kanazawa,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-014,Watanabe household private,,Private Collector,Tokyo,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-015,Abe household private,,Private Collector,Sendai,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-016,Kato household private,,Private Collector,Kobe,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-017,Sasaki household private,,Private Collector,Kyoto,Kansai,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-018,Kato household private,,Private Collector,Sapporo,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-019,Sasaki household private,,Private Collector,Fukuoka,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-020,Takahashi household private,,Private Collector,Fukuoka,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-021,Hayashi household private,,Private Collector,Fukuoka,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-022,Shimizu household private,,Private Collector,Kyoto,Kansai,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-023,Yamamoto household private,,Private Collector,Fukuoka,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-024,Kato household private,,Private Collector,Osaka,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-025,Yamada household private,,Private Collector,Tokyo,Kanto,1,0.0,2024-06-01T09:00:00Z
hs-co-priv-026,Sasaki household private,,Private Collector,Kanazawa,Kanto,1,0.0,2024-06-01T09:00:00Z
